phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	32	5	0
0	2	31	23	0
0	3	30	85	0
0	4	29	263	0
0	5	28	659	0
0	6	27	1491	0
0	7	26	2775	0
0	8	25	5039	0
0	9	24	8611	0
0	10	23	12272	0
0	11	22	15247	0
0	12	21	17972	0
0	13	20	17756	0
0	14	19	17991	0
0	15	18	16751	0
0	16	17	16457	0
0	17	16	15523	0
0	18	15	13531	0
0	19	14	10831	0
0	20	13	8321	0
0	21	12	6379	0
0	22	11	4267	0
0	23	10	2751	0
0	24	9	0	74
0	25	8	0	73
0	26	7	0	42
0	27	6	0	26
0	28	5	0	17
0	29	4	0	6
0	30	3	0	1
0	31	2	0	1
0	32	1	0	2
0	33	0	0	5
1	0	-1	1	0
1	1	32	5	0
1	2	31	21	0
1	3	30	61	0
1	4	29	149	0
1	5	28	361	0
1	6	27	793	0
1	7	26	1567	0
1	8	25	2677	0
1	9	24	3849	0
1	10	23	5467	0
1	11	22	7679	0
1	12	21	9565	0
1	13	20	11101	0
1	14	19	12163	0
1	15	18	12543	0
1	16	17	12441	0
1	17	16	11795	0
1	18	15	9633	0
1	19	14	7323	0
1	20	13	5571	0
1	21	12	4029	0
1	22	11	2687	0
1	23	10	1717	0
1	24	9	0	13
1	25	8	0	14
1	26	7	0	4
1	27	6	0	2
1	28	5	0	0
1	29	4	0	0
1	30	3	0	0
1	31	2	0	0
1	32	1	0	0
1	33	0	0	2
