phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	32	1	0	0	5	0	0	1.1549043655395508	0	2.5505533449069988	-2	2	1013	-0.99793558081691769	0.75496762529796635
0	2	31	2	1	0	23	0	0	1.1549043655395508	0	2.7027516782915999	-2	2	949	-0.99779635760541363	0.75496762529796635
0	3	30	3	2	0	85	0	0	1.1549043655395508	0	2.624809671798769	-2	2	889	-0.99764763033468795	0.75496762529796635
0	4	29	2859	3	-1	251	0	0.1600351046356738	1.1549043655395508	0	2.6863672386243684	-2	2	40	-1	0
0	5	28	2860	2859	0	561	0.1600351046356738	0.19642167861709456	1.1549043655395508	0.43327130538528835	2.2655432154312813	-1	2	17	-1	0
0	6	27	2861	2860	0	1117	0.19642167861709456	0.19719009641805588	1.1549043655395508	0.060802655225938314	2.1474149531827065	-2	2	7	-1	0
0	7	26	2862	2861	0	1869	0.19719009641805588	0.22249609430351619	1.1549043655395508	-0.31309696432992357	1.9261278120351397	-2	1	3	-1	0
0	8	25	2863	2862	0	3047	0.22249609430351619	0.23742291768973323	1.1549043655395508	0.24589792919532999	1.9434538535210406	-1	2	1	-1	0
0	9	24	94432	2863	1	4803	0.23742291768973323	0.3302022891268403	1.1549043655395508	0.38380982801534747	1.9377051782599988	-1	2	0	0	0
0	10	23	94433	94432	0	6336	0.3302022891268403	0.33024783239933586	1.1549043655395508	-0.012192329298009627	1.6406770800431765	-1	1	0	0	0
0	11	22	94434	94433	0	7461	0.33024783239933586	0.36145397938111268	1.1549043655395508	0.29045615331448704	1.4931280648674417	-1	1	0	0	0
0	12	21	94435	94434	0	8380	0.36145397938111268	0.37697723778691716	1.1549043655395508	0.2013114541144353	1.4392522938259504	-1	1	0	0	0
0	13	20	94436	94435	0	7942	0.37697723778691716	0.37705286111943964	1.1549043655395508	-0.012343952074906477	1.2519753531811733	-1	1	0	0	0
0	14	19	94437	94436	0	7885	0.37705286111943964	0.38654776341293157	1.1549043655395508	0.14696077474676758	1.3301619817233088	-1	1	0	0	0
0	15	18	94438	94437	0	7291	0.38654776341293157	0.40648729897253494	1.1549043655395508	0.20201411121802845	1.254023287794072	-1	1	0	0	0
0	16	17	94439	94438	0	7241	0.40648729897253494	0.43114897997615109	1.1549043655395508	-0.24195102890784123	1.3328705631973115	-1	1	0	0	0
0	17	16	94440	94439	0	6925	0.43114897997615109	0.43705873404222295	1.1549043655395508	-0.1168255787475547	1.2928529814815979	-1	1	0	0	0
0	18	15	94441	94440	-1	6277	0.43705873404222295	0.50095140100651958	1.1549043655395508	-0.63652248143311552	1.2183374025980314	-1	0	0	0	0
0	19	14	94442	94441	0	5237	0.50095140100651958	0.51274674708911316	1.1549043655395508	0.14645382170601509	1.0904823019630558	0	1	0	0	0
0	20	13	94443	94442	-1	4191	0.51274674708911316	0.51404582751081584	1.1549043655395508	-0.95315873102667725	1.0414332823792509	-1	0	0	0	0
0	21	12	94444	94443	1	3405	0.51404582751081584	0.58775290354669485	1.1549043655395508	0.63683818043481832	1.0708451627803612	0	1	0	0	0
0	22	11	94445	94444	0	2431	0.58775290354669485	0.68716406839930533	1.1549043655395508	0.37760248413033604	0.90191744950177066	0	1	0	0	0
0	23	10	94446	94445	0	1709	0.68716406839930533	0.7310983929959346	1.1549043655395508	-0.24683624221093498	0.80539576678442182	-1	0	0	0	0
0	24	9	-1	-1	0	0	0.7310983929959346	0.76944737122129825	1.1549043655395508	0.22442082598571178	0.74605319454938379	0	0	0	0	0
0	25	8	-1	-1	0	0	0.76944737122129825	0.77381576736655933	1.1549043655395508	-0.070992968651461069	0.66687171087367347	0	0	0	0	0
0	26	7	-1	-1	0	0	0.77381576736655933	0.80829602838939429	1.1549043655395508	-0.19165066308994386	0.63714463628003803	0	0	0	0	0
0	27	6	-1	-1	1	0	0.80829602838939429	0.89270640091106779	1.1549043655395508	0.7168108800943378	0.57384969842948386	1	1	0	0	0
0	28	5	-1	-1	1	0	0.89270640091106779	0.8946756748498349	1.1549043655395508	0.95944191209277518	0.46799268350502188	1	1	0	0	0
0	29	4	-1	-1	-1	0	0.8946756748498349	0.89511818744141758	1.1549043655395508	-1.0181862610638788	0.44101990659719131	-1	-1	0	0	0
0	30	3	-1	-1	0	0	0.89511818744141758	0.89513029067860894	1.1549043655395508	0.003036689189302509	0.44489506825469061	0	0	0	0	0
0	31	2	-1	-1	-1	0	0.89513029067860894	0.96371980140344626	1.1549043655395508	-1.2109604126484366	0.41055374426532826	-1	-1	0	0	0
0	32	1	-1	-1	0	0	0.96371980140344626	0.99316664722444004	1.1549043655395508	-0.15998068553918485	0.40763791810032052	0	0	0	0	0
0	33	0	-1	-1	0	0	0.99316664722444004	1.0603351593017578	1.1549043655395508	0.23570790465428601	0.36576061528869064	0	0	0	0	0
