phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000106,38365,38354,11,41,0,0,19180.981365,0.9873579196,0.9873579196,0
0,4.000226,76317,76304,13,78,0,0,18974.860987,0.9873579196,0.9873579196,0
0,6.000334,114999,114981,18,143,0,0,19339.960158,0.9873579196,0.9873579196,0
0,8.000450,153852,153827,25,241,1,0,19425.374164,0.9805293323,0.9805293323,1
0,10.000561,193819,193782,37,394,1,0,19982.392536,0.9805293323,0.9805293323,1
0,12.000676,233367,233321,46,527,1,0,19772.863080,0.9805293323,0.9805293323,1
0,14.000785,273536,273466,70,744,1,0,20083.403496,0.9805293323,0.9805293323,1
0,16.000881,313731,313654,77,1033,1,0,20096.534211,0.9805293323,0.9805293323,1
0,18.001022,353546,353462,84,1271,1,0,19906.098103,0.9805293323,0.9805293323,1
0,20.001149,392403,392319,84,1450,1,0,19427.267505,0.9805293323,0.9805293323,1
0,21.307921,417227,417143,84,1529,1,0,19580.877267,0.9805293323,0.9805293323,1
1,2.000152,38876,38860,16,63,1,0,19436.021706,0.9805293323,0.9805293323,0
1,4.000277,78582,78564,18,171,1,0,19851.755742,0.9805293323,0.9805293323,0
1,6.000396,118855,118835,20,352,1,0,20135.302916,0.9805293323,0.9805293323,0
1,8.000511,157730,157698,32,607,1,0,19436.384079,0.9805293323,0.9805293323,0
1,8.663684,170867,170831,36,699,1,0,19722.292396,0.9805293323,0.9805293323,0
