phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000133,39055,39034,21,71,0,0,19525.705992,1.0289172418,1.0289172418,0
0,4.000254,78575,78542,33,171,0,0,19758.799198,1.0289172418,1.0289172418,0
0,6.000358,117947,117914,33,275,0,0,19684.981430,1.0289172418,1.0289172418,0
0,8.000449,158511,158472,39,421,0,0,20281.068379,1.0289172418,1.0289172418,0
0,10.000540,198497,198458,39,560,0,0,19992.090190,1.0289172418,1.0289172418,0
0,12.000644,240078,240037,41,787,0,0,20789.427442,1.0289172418,1.0289172418,0
0,14.000755,280376,280335,41,1002,0,0,20147.877501,1.0289172418,1.0289172418,0
0,16.000854,321928,321887,41,1282,0,0,20774.974246,1.0289172418,1.0289172418,0
0,18.000954,363834,363785,49,1629,0,1,20951.952287,1.0289172418,1.0289172418,0
0,20.001077,405584,405526,58,2083,2,0,20873.713313,1.0163514733,1.0163514733,2
0,22.001204,447086,447018,68,2539,2,0,20749.688786,1.0163514733,1.0163514733,2
0,24.001320,489487,489395,92,3001,2,0,21199.260797,1.0163514733,1.0163514733,2
0,25.517096,525379,525247,132,3782,2,0,20589.315749,1.0163514733,1.0163514733,2
1,2.000158,41175,41126,49,160,1,0,20585.376009,1.0163514733,1.0163514733,0
1,4.000273,84095,84030,65,452,1,0,21458.763557,1.0163514733,1.0163514733,0
1,6.000381,125158,125063,95,802,1,0,20530.389162,1.0163514733,1.0163514733,0
1,8.000504,165999,165900,99,1169,1,0,20419.247973,1.0163514733,1.0163514733,0
1,10.000616,206789,206688,101,1474,1,0,20393.860707,1.0163514733,1.0163514733,0
1,11.217655,231034,230933,101,1683,1,0,20595.648755,1.0163514733,1.0163514733,0
