phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	33	5	0
0	2	32	21	0
0	3	31	73	0
0	4	30	224	0
0	5	29	579	0
0	6	28	1373	0
0	7	27	3183	0
0	8	26	6474	0
0	9	25	11101	0
0	10	24	18966	0
0	11	23	28524	0
0	12	22	41816	0
0	13	21	53559	0
0	14	20	66026	0
0	15	19	75379	0
0	16	18	84830	0
0	17	17	87687	0
0	18	16	77639	0
0	19	15	61331	0
0	20	14	46188	0
0	21	13	34406	0
0	22	12	22949	0
0	23	11	14045	0
0	24	10	7572	0
0	25	9	0	15
0	26	8	0	36
0	27	7	0	25
0	28	6	0	10
0	29	5	0	4
0	30	4	0	0
0	31	3	0	0
0	32	2	0	0
0	33	1	0	0
0	34	0	0	6
1	0	-1	1	0
1	1	33	5	0
1	2	32	21	0
1	3	31	69	0
1	4	30	185	0
1	5	29	463	0
1	6	28	1025	0
1	7	27	2143	0
1	8	26	3657	0
1	9	25	6437	0
1	10	24	10571	0
1	11	23	16653	0
1	12	22	23365	0
1	13	21	27583	0
1	14	20	32305	0
1	15	19	35301	0
1	16	18	33647	0
1	17	17	30303	0
1	18	16	24201	0
1	19	15	20897	0
1	20	14	16853	0
1	21	13	11679	0
1	22	12	7633	0
1	23	11	4707	0
1	24	10	2707	0
1	25	9	0	21
1	26	8	0	24
1	27	7	0	12
1	28	6	0	2
1	29	5	0	2
1	30	4	0	0
1	31	3	0	0
1	32	2	0	0
1	33	1	0	0
1	34	0	0	2
