phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	33	5	0
0	2	32	21	0
0	3	31	79	0
0	4	30	223	0
0	5	29	567	0
0	6	28	1461	0
0	7	27	3082	0
0	8	26	6453	0
0	9	25	11850	0
0	10	24	18015	0
0	11	23	25718	0
0	12	22	35363	0
0	13	21	43640	0
0	14	20	52248	0
0	15	19	55668	0
0	16	18	58870	0
0	17	17	54171	0
0	18	16	47761	0
0	19	15	39065	0
0	20	14	31224	0
0	21	13	21685	0
0	22	12	14363	0
0	23	11	8731	0
0	24	10	5242	0
0	25	9	0	72
0	26	8	0	72
0	27	7	0	54
0	28	6	0	42
0	29	5	0	19
0	30	4	0	18
0	31	3	0	10
0	32	2	0	8
0	33	1	0	10
0	34	0	0	7
