phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	33	1	0	0	5	0	0	1.2055206298828125	0	2.253053539938854	-2	2	1282	-0.99843566102698045	0.046602255928400782
0	2	32	2	1	0	21	0	0	1.2055206298828125	0	2.5069272728183427	-2	2	1164	-0.99827707683555744	0.046602255928400782
0	3	31	3	2	0	79	0	0	1.2055206298828125	0	2.6071070516619508	-2	2	584	-1	0
0	4	30	5438	3	-1	223	0	0.20518758861968367	1.2055206298828125	0	2.4238837078029283	-2	2	175	-1	0
0	5	29	5439	5438	0	567	0.20518758861968367	0.25649663497091862	1.2055206298828125	0.49677717892937923	2.1934966348390286	-1	2	87	-1	0
0	6	28	5440	5439	0	1456	0.25649663497091862	0.2762682142371195	1.2055206298828125	0.33191438005475682	2.2995559720269112	-1	2	49	-1	0
0	7	27	5441	5440	0	3011	0.2762682142371195	0.27791642537879629	1.2055206298828125	0.087454183162231511	2.0765434094973232	-1	2	39	-1	0
0	8	26	5442	5441	0	6165	0.27791642537879629	0.2855502875797819	1.2055206298828125	0.20015817395275448	2.206391249414148	-2	2	26	-1	0
0	9	25	5443	5442	0	11021	0.2855502875797819	0.30672065505105939	1.2055206298828125	-0.30510564243127408	2.0112819426274831	-2	1	15	-1	0
0	10	24	5444	5443	0	16388	0.30672065505105939	0.33416903851288948	1.2055206298828125	0.30637884424108552	1.7532018214237692	-1	2	8	-1	0
0	11	23	5445	5444	0	22842	0.33416903851288948	0.36220737027784594	1.2055206298828125	-0.30452273301118299	1.6976194720759303	-2	1	4	-1	0
0	12	22	5446	5445	0	30544	0.36220737027784594	0.38422880329469516	1.2055206298828125	-0.2698103900388546	1.6696688537464677	-1	1	2	-1	0
0	13	21	5447	5446	0	36733	0.38422880329469516	0.39057238236562203	1.2055206298828125	0.1346906257925429	1.5325651383248156	-1	1	2	-1	0
0	14	20	5448	5447	0	42760	0.39057238236562203	0.47263729946044108	1.2055206298828125	0.48374937952229013	1.5244271274803163	-1	2	1	-1	0
0	15	19	5449	5448	0	44274	0.47263729946044108	0.48751100264435782	1.2055206298828125	0.18906987795866573	1.3271811673516551	-1	1	1	-1	0
0	16	18	418012	5449	1	45548	0.48751100264435782	0.73694018761472146	1.2055206298828125	0.20272007334838665	1.3527026155307433	-1	1	0	0	0
0	17	17	418013	418012	0	40574	0.73694018761472146	0.73755306697954115	1.2055206298828125	-0.035092762158291067	0.9703359733624497	-1	0	0	0	0
0	18	16	418014	418013	1	34674	0.73755306697954115	0.771469589844201	1.2055206298828125	0.740473395321957	0.9640156838642624	0	1	0	0	0
0	19	15	418015	418014	0	27545	0.771469589844201	0.812706791909661	1.2055206298828125	0.26921190798086508	0.87341384357125529	0	1	0	0	0
0	20	14	418016	418015	0	21343	0.812706791909661	0.82510445576639457	1.2055206298828125	0.14868596228897291	0.83693827350782612	0	0	0	0	0
0	21	13	418017	418016	0	14375	0.82510445576639457	0.9016408604810856	1.2055206298828125	-0.32671593909693641	0.72839302840761566	-1	0	0	0	0
0	22	12	418018	418017	1	9246	0.9016408604810856	0.92085095386186133	1.2055206298828125	0.83876465475979434	0.64127809879217412	1	1	0	0	0
0	23	11	418019	418018	0	5443	0.92085095386186133	1.0301294676902932	1.2055206298828125	-0.35692146924411433	0.57607083106384649	0	0	0	0	0
0	24	10	418020	418019	0	3195	1.0301294676902932	1.032335237761675	1.2055206298828125	0.050702500610019151	0.45211936815270504	0	0	0	0	0
0	25	9	-1	-1	0	0	1.032335237761675	1.03561712906482	1.2055206298828125	-0.060557403840709158	0.43990690642918862	0	0	0	0	0
0	26	8	-1	-1	0	0	1.03561712906482	1.0358973384319266	1.2055206298828125	0.01795142267794371	0.44203709072512892	0	0	0	0	0
0	27	7	-1	-1	0	0	1.0358973384319266	1.0388831482056413	1.2055206298828125	0.056365567653109322	0.42484015689537163	0	0	0	0	0
0	28	6	-1	-1	0	0	1.0388831482056413	1.0426038475586774	1.2055206298828125	-0.061555466245661293	0.41194637223757463	0	0	0	0	0
0	29	5	-1	-1	0	0	1.0426038475586774	1.0639986548058915	1.2055206298828125	-0.15254998434332273	0.42096005776781548	0	0	0	0	0
0	30	4	-1	-1	0	0	1.0639986548058915	1.0641065416598836	1.2055206298828125	-0.0099723666926312422	0.36118184772194739	0	0	0	0	0
0	31	3	-1	-1	-1	0	1.0641065416598836	1.119625678031005	1.2055206298828125	-0.77467864678068321	0.35960633906609135	-1	-1	0	0	0
0	32	2	-1	-1	0	0	1.119625678031005	1.1646275751948587	1.2055206298828125	0.19657082161017558	0.27157354520809163	0	0	0	0	0
0	33	1	-1	-1	0	0	1.1646275751948587	1.1668964314874859	1.2055206298828125	-0.041431960660699756	0.17589632581762377	0	0	0	0	0
0	34	0	-1	-1	0	0	1.1668964314874859	1.1671051979064941	1.2055206298828125	0.011905879671389561	0.16194252544972529	0	0	0	0	0
