phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000128,39952,39805,147,104,4,0,19974.225864,1.0459674678,1.0459674678,2
0,4.000211,78927,78776,151,224,4,0,19486.687220,1.0459674678,1.0459674678,2
0,6.000317,118142,117981,161,365,4,0,19606.463357,1.0459674678,1.0459674678,2
0,8.000430,156216,156051,165,460,4,0,19035.926193,1.0459674678,1.0459674678,2
0,10.000526,193908,193741,167,513,4,0,18845.086833,1.0459674678,1.0459674678,2
0,12.000605,233233,233040,193,619,4,0,19661.729870,1.0459674678,1.0459674678,2
0,14.000720,273374,273173,201,793,4,0,20069.347789,1.0459674678,1.0459674678,2
0,16.000827,313414,313205,209,1035,4,0,20018.924834,1.0459674678,1.0459674678,2
0,18.000943,353989,353766,223,1251,4,0,20286.325351,1.0459674678,1.0459674678,2
0,20.001066,395343,395110,233,1488,4,0,20675.731823,1.0459674678,1.0459674678,2
0,22.001180,437910,437638,272,1937,6,0,21282.286143,1.0291670074,1.0291670074,3
0,24.001299,481961,481649,312,2573,6,0,22024.180928,1.0291670074,1.0291670074,3
0,26.001420,521892,521580,312,2773,6,0,19964.292909,1.0291670074,1.0291670074,3
0,26.709448,535818,535506,312,2891,6,0,20061.025453,1.0291670074,1.0291670074,3
