phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	33	5	0
0	2	32	19	0
0	3	31	67	0
0	4	30	207	0
0	5	29	477	0
0	6	28	1071	0
0	7	27	2217	0
0	8	26	4117	0
0	9	25	7769	0
0	10	24	12815	0
0	11	23	19253	0
0	12	22	26771	0
0	13	21	33475	0
0	14	20	39909	0
0	15	19	42261	0
0	16	18	45363	0
0	17	17	42447	0
0	18	16	39625	0
0	19	15	33753	0
0	20	14	25227	0
0	21	13	18501	0
0	22	12	12665	0
0	23	11	8279	0
0	24	10	5397	0
0	25	9	0	111
0	26	8	0	110
0	27	7	0	54
0	28	6	0	25
0	29	5	0	14
0	30	4	0	2
0	31	3	0	0
0	32	2	0	0
0	33	1	0	0
0	34	0	0	3
