phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000136,38274,38230,44,39,0,0,19135.203313,1.0736177819,1.0736177819,0
0,4.000272,77059,77005,54,98,0,0,19391.175253,1.0736177819,1.0736177819,0
0,6.000393,116567,116509,58,187,0,0,19752.806792,1.0736177819,1.0736177819,0
0,8.000502,155868,155784,84,268,0,0,19649.432328,1.0736177819,1.0736177819,0
0,10.000608,195083,194997,86,357,0,0,19606.461514,1.0736177819,1.0736177819,0
0,12.000696,234317,234229,88,444,0,0,19616.132996,1.0736177819,1.0736177819,0
0,14.000780,273986,273889,97,551,0,0,19833.662315,1.0736177819,1.0736177819,0
0,16.000875,313315,313210,105,657,0,0,19663.565666,1.0736177819,1.0736177819,0
0,18.000966,352982,352875,107,763,0,0,19832.604171,1.0736177819,1.0736177819,0
0,20.001087,392221,392109,112,869,0,0,19618.311572,1.0736177819,1.0736177819,0
0,22.001182,430878,430766,112,949,0,0,19327.579737,1.0736177819,1.0736177819,0
0,24.001268,474431,474255,176,1257,3,0,21775.570216,1.0669692802,1.0669692802,1
0,26.001352,517408,517208,200,1659,4,0,21487.590119,1.0669692802,1.0669692802,1
0,28.001458,561958,561751,207,2290,5,0,22273.821214,1.0493326466,1.0493326466,2
0,30.001547,612001,611696,305,3394,5,0,25020.389620,1.0493326466,1.0493326466,2
0,32.001666,655403,655066,337,4022,5,0,21699.703909,1.0493326466,1.0493326466,2
0,34.001779,697209,696850,359,4425,5,0,20901.827669,1.0493326466,1.0493326466,2
0,36.001907,740017,739646,371,4817,5,0,21402.624828,1.0493326466,1.0493326466,2
0,38.002026,781178,780801,377,5242,5,0,20579.274185,1.0493326466,1.0493326466,2
0,40.002169,821947,821550,397,5438,5,0,20383.047616,1.0493326466,1.0493326466,2
0,42.002292,862412,862015,397,5679,5,0,20231.252025,1.0493326466,1.0493326466,2
0,44.002422,904166,903759,407,6055,5,0,20875.638543,1.0493326466,1.0493326466,2
0,46.002538,947393,946972,421,6673,5,0,21612.246360,1.0493326466,1.0493326466,2
0,48.002630,986295,985874,421,6782,5,0,19450.110430,1.0493326466,1.0493326466,2
0,50.002705,1024556,1024135,421,6905,5,0,19129.785866,1.0493326466,1.0493326466,2
0,52.002801,1063979,1063558,421,7056,5,0,19710.550011,1.0493326466,1.0493326466,2
0,54.002894,1102658,1102231,427,7240,5,0,19338.605425,1.0493326466,1.0493326466,2
0,56.002980,1143644,1143201,443,7506,5,0,20492.116831,1.0493326466,1.0493326466,2
0,58.003062,1184920,1184459,461,7876,5,0,20637.146871,1.0493326466,1.0493326466,2
0,60.003154,1227986,1227511,475,8460,5,0,21532.010141,1.0493326466,1.0493326466,2
0,62.003229,1265591,1265116,475,8538,5,0,18801.799313,1.0493326466,1.0493326466,2
