phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000191,40406,40333,73,176,3,0,20200.575622,1.0450628581,1.0450628581,2
0,4.000362,82183,82101,82,501,3,0,20886.714468,1.0450628581,1.0450628581,2
0,6.000490,120929,120843,86,620,3,0,19371.752740,1.0450628581,1.0450628581,2
0,8.000648,161772,161669,103,788,3,0,20419.891423,1.0450628581,1.0450628581,2
0,10.000773,205230,205091,139,1077,3,0,21727.636124,1.0450628581,1.0450628581,2
0,12.000921,250252,250063,189,1543,3,0,22509.333443,1.0450628581,1.0450628581,2
0,14.001053,292847,292629,218,2009,3,0,21296.096928,1.0450628581,1.0450628581,2
0,16.001180,335611,335374,237,2510,3,0,21380.644916,1.0450628581,1.0450628581,2
0,18.001313,377719,377466,253,2930,3,0,21052.599918,1.0450628581,1.0450628581,2
0,20.001445,419866,419601,265,3384,3,0,21072.105617,1.0450628581,1.0450628581,2
0,22.001631,460460,460192,268,3728,4,0,20295.116065,1.0235000574,1.0235000574,3
0,24.001782,502340,502068,272,4180,4,0,20938.414836,1.0235000574,1.0235000574,3
0,26.001979,541949,541674,275,4400,4,0,19802.551063,1.0235000574,1.0235000574,3
0,28.002107,581128,580853,275,4482,4,0,19588.248526,1.0235000574,1.0235000574,3
0,30.002234,619424,619145,279,4568,4,0,19146.779642,1.0235000574,1.0235000574,3
0,32.002350,658225,657944,281,4689,4,0,19399.383517,1.0235000574,1.0235000574,3
0,34.002457,697731,697450,281,4901,4,0,19751.941869,1.0235000574,1.0235000574,3
0,35.594899,731019,730736,283,5246,4,0,20537.210153,1.0235000574,1.0235000574,3
1,2.000308,38716,38676,40,54,1,0,19354.518533,1.0235000574,1.0235000574,0
1,4.000437,77653,77611,42,122,1,0,19467.241715,1.0235000574,1.0235000574,0
1,6.000571,117965,117899,66,257,1,0,20154.651160,1.0235000574,1.0235000574,0
1,8.000680,158842,158766,76,425,1,0,20437.384671,1.0235000574,1.0235000574,0
1,10.000760,199618,199518,100,626,1,0,20387.184451,1.0235000574,1.0235000574,0
1,12.000838,240234,240114,120,869,1,0,20307.211471,1.0235000574,1.0235000574,0
1,14.000928,279450,279324,126,1079,1,0,19607.119464,1.0235000574,1.0235000574,0
1,16.001095,319851,319719,132,1350,1,0,20198.809158,1.0235000574,1.0235000574,0
1,18.001236,360966,360832,134,1672,1,0,20556.054005,1.0235000574,1.0235000574,0
1,20.001368,399974,399838,136,1842,1,0,19502.716146,1.0235000574,1.0235000574,0
1,22.001476,438733,438591,142,1980,1,0,19378.446413,1.0235000574,1.0235000574,0
1,24.001572,478206,478064,142,2216,1,0,19735.552841,1.0235000574,1.0235000574,0
1,26.001678,516364,516222,142,2296,1,0,19077.992186,1.0235000574,1.0235000574,0
1,28.001799,556132,555984,148,2472,1,0,19882.799904,1.0235000574,1.0235000574,0
1,29.806451,591378,591218,160,2689,1,0,19840.632208,1.0235000574,1.0235000574,0
