phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000146,39147,39110,37,70,0,0,19571.568144,1.0728144437,1.0728144437,0
0,4.000266,78021,77980,41,136,0,0,19435.839797,1.0728144437,1.0728144437,0
0,6.000370,117389,117337,52,218,0,0,19682.974182,1.0728144437,1.0728144437,0
0,8.000489,157100,157034,66,324,0,0,19854.316832,1.0728144437,1.0728144437,0
0,10.000616,197493,197412,81,455,0,0,20195.215413,1.0728144437,1.0728144437,0
0,12.000789,237112,237009,103,593,1,0,19807.792271,1.0137944827,1.0137944827,1
0,14.000942,278484,278369,115,857,2,0,20684.411541,1.0137944827,1.0137944827,1
0,16.001131,322378,322183,195,1497,2,0,21944.926007,1.0137944827,1.0137944827,1
0,18.001298,362472,362259,213,1672,2,0,20045.332559,1.0137944827,1.0137944827,1
0,20.001404,401853,401630,223,1911,2,0,19689.451025,1.0137944827,1.0137944827,1
0,22.001554,439694,439471,223,2006,2,0,18919.084729,1.0137944827,1.0137944827,1
0,24.001651,479524,479293,231,2240,2,0,19914.037256,1.0137944827,1.0137944827,1
0,26.001753,516810,516579,231,2377,2,0,18642.045285,1.0137944827,1.0137944827,1
0,28.001872,554504,554271,233,2459,2,0,18845.883344,1.0137944827,1.0137944827,1
0,30.001991,593695,593456,239,2671,2,0,19594.329494,1.0137944827,1.0137944827,1
0,30.335054,600490,600249,241,2749,2,0,19795.274030,1.0137944827,1.0137944827,1
1,2.000292,39910,39888,22,98,1,0,19951.589063,1.0137944827,1.0137944827,0
1,4.000416,79664,79634,30,203,1,0,19875.761184,1.0137944827,1.0137944827,0
1,6.000573,119799,119763,36,335,1,0,20065.924695,1.0137944827,1.0137944827,0
1,8.000667,158916,158878,38,456,1,0,19557.589223,1.0137944827,1.0137944827,0
1,10.000738,199229,199181,48,679,1,0,20155.781073,1.0137944827,1.0137944827,0
1,12.000834,238576,238520,56,898,1,0,19672.550573,1.0137944827,1.0137944827,0
1,14.000925,278750,278670,80,1171,1,0,20086.087650,1.0137944827,1.0137944827,0
1,16.001017,319224,319138,86,1436,1,0,20236.076456,1.0137944827,1.0137944827,0
1,18.001120,358070,357984,86,1620,1,0,19421.991066,1.0137944827,1.0137944827,0
1,20.001256,396802,396710,92,1764,1,0,19364.689698,1.0137944827,1.0137944827,0
1,21.320212,422518,422420,98,1917,1,0,19817.744157,1.0137944827,1.0137944827,0
