phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	34	5	0
0	2	33	23	0
0	3	32	93	0
0	4	31	285	0
0	5	30	727	0
0	6	29	1569	0
0	7	28	3515	0
0	8	27	7413	0
0	9	26	13791	0
0	10	25	23339	0
0	11	24	39990	0
0	12	23	58002	0
0	13	22	75394	0
0	14	21	98894	0
0	15	20	113411	0
0	16	19	122808	0
0	17	18	133003	0
0	18	17	127517	0
0	19	16	112324	0
0	20	15	92849	0
0	21	14	67286	0
0	22	13	45214	0
0	23	12	27077	0
0	24	11	16378	0
0	25	10	9609	0
0	26	9	0	105
0	27	8	0	75
0	28	7	0	81
0	29	6	0	54
0	30	5	0	33
0	31	4	0	7
0	32	3	0	1
0	33	2	0	1
0	34	1	0	0
0	35	0	0	6
1	0	-1	1	0
1	1	34	5	0
1	2	33	21	0
1	3	32	71	0
1	4	31	187	0
1	5	30	449	0
1	6	29	941	0
1	7	28	2017	0
1	8	27	3789	0
1	9	26	6631	0
1	10	25	10905	0
1	11	24	16447	0
1	12	23	22753	0
1	13	22	27733	0
1	14	21	31529	0
1	15	20	34085	0
1	16	19	33767	0
1	17	18	31429	0
1	18	17	26109	0
1	19	16	23769	0
1	20	15	19495	0
1	21	14	14001	0
1	22	13	9915	0
1	23	12	6443	0
1	24	11	4043	0
1	25	10	2325	0
1	26	9	0	17
1	27	8	0	16
1	28	7	0	10
1	29	6	0	4
1	30	5	0	5
1	31	4	0	1
1	32	3	0	1
1	33	2	0	0
1	34	1	0	0
1	35	0	0	2
