phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000138,40406,40337,69,116,1,0,20201.106447,1.0564095799,1.0564095799,0
0,4.000249,79969,79878,91,214,1,0,19780.399943,1.0564095799,1.0564095799,0
0,6.000369,119744,119623,121,331,1,0,19886.310789,1.0564095799,1.0564095799,0
0,8.000519,162652,162423,229,596,1,0,21452.388926,1.0564095799,1.0564095799,0
0,10.000778,203359,203103,256,784,1,0,20350.869223,1.0564095799,1.0564095799,0
0,12.000887,247017,246750,267,1183,1,0,21827.808693,1.0564095799,1.0564095799,0
0,14.000974,289233,288940,293,1556,1,1,21107.074613,1.0564095799,1.0564095799,0
0,16.001091,331168,330847,321,1936,1,0,20966.278484,1.0564095799,1.0564095799,0
0,18.001207,373475,373138,337,2429,5,0,21152.272512,1.0232218191,1.0232218191,2
0,20.001322,415384,415021,363,2946,5,0,20953.299774,1.0232218191,1.0232218191,2
0,22.001425,455214,454839,375,3189,5,0,19913.973494,1.0232218191,1.0232218191,2
0,24.001517,494457,494076,381,3439,5,0,19620.595343,1.0232218191,1.0232218191,2
0,26.001629,534410,534023,387,3661,5,0,19975.383416,1.0232218191,1.0232218191,2
0,28.001737,573804,573417,387,3896,5,0,19695.931712,1.0232218191,1.0232218191,2
0,30.001862,612641,612252,389,4003,5,0,19417.285138,1.0232218191,1.0232218191,2
0,32.001990,652237,651844,393,4184,5,0,19796.733088,1.0232218191,1.0232218191,2
0,34.002090,693219,692824,395,4565,5,0,20489.981791,1.0232218191,1.0232218191,2
0,36.002201,730607,730208,399,4615,5,0,18692.954653,1.0232218191,1.0232218191,2
0,38.002327,768869,768470,399,4709,5,0,19129.800523,1.0232218191,1.0232218191,2
0,40.002451,808450,808047,403,4869,5,0,19789.274490,1.0232218191,1.0232218191,2
0,41.517461,838374,837965,409,5089,5,0,20193.312135,1.0232218191,1.0232218191,2
1,2.000160,40300,40276,24,113,1,0,20147.891261,1.0232218191,1.0232218191,0
1,4.000283,79716,79684,32,202,1,0,19706.784348,1.0232218191,1.0232218191,0
1,6.000406,119380,119346,34,308,1,0,19830.776907,1.0232218191,1.0232218191,0
1,8.000538,159633,159587,46,441,1,0,20125.175260,1.0232218191,1.0232218191,0
1,10.000668,201051,200983,68,644,1,0,20707.654417,1.0232218191,1.0232218191,0
1,12.000796,241469,241393,76,839,1,0,20207.711799,1.0232218191,1.0232218191,0
1,14.000929,281188,281100,88,1029,1,0,19858.177664,1.0232218191,1.0232218191,0
1,16.001053,322712,322612,100,1365,1,0,20760.708072,1.0232218191,1.0232218191,0
1,18.001199,364375,364267,108,1751,1,0,20829.986014,1.0232218191,1.0232218191,0
1,20.001339,404929,404815,114,2069,1,0,20275.579756,1.0232218191,1.0232218191,0
1,22.001461,446128,446008,120,2390,1,0,20598.235701,1.0232218191,1.0232218191,0
1,24.001594,486106,485986,120,2650,1,0,19987.675587,1.0232218191,1.0232218191,0
1,26.001717,526231,526109,122,2957,1,0,20061.266613,1.0232218191,1.0232218191,0
1,28.001833,564776,564652,124,3055,1,0,19271.385507,1.0232218191,1.0232218191,0
1,30.001943,604746,604622,124,3287,1,0,19983.895410,1.0232218191,1.0232218191,0
1,32.002057,644958,644828,130,3588,1,0,20104.850726,1.0232218191,1.0232218191,0
1,34.002175,684387,684257,130,3735,1,0,19713.337987,1.0232218191,1.0232218191,0
1,35.630149,716400,716262,138,3941,1,0,20106.590427,1.0232218191,1.0232218191,0
