phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	35	27	0	-1	5	0	0.16790225201386905	1.3129196166992188	0	2.7963453633550364	-2	2	3	-1	0
0	2	34	28	27	0	16	0.16790225201386905	0.17927826290582391	1.3129196166992188	0.25898698446308122	2.5982981004066383	-2	2	1	-1	0
0	3	33	15033	28	-1	31	0.17927826290582391	0.29941779711831618	1.3129196166992188	-0.20204948639725812	2.451155292114171	-2	2	0	0	0
0	4	32	15034	15033	1	49	0.29941779711831618	0.34484453617356686	1.3129196166992188	0.56543096502853374	2.0526516982075189	-1	2	0	0	0
0	5	31	15035	15034	0	78	0.34484453617356686	0.34600879151768932	1.3129196166992188	-0.071251553426785172	2.0545879549076744	-2	1	0	0	0
0	6	30	15036	15035	0	135	0.34600879151768932	0.34697611515899363	1.3129196166992188	0.069817366329273892	2.207347822428122	-2	2	0	0	0
0	7	29	15037	15036	0	209	0.34697611515899363	0.35364459029306849	1.3129196166992188	-0.16359556729789784	1.9689474560567088	-2	1	0	0	0
0	8	28	15038	15037	0	329	0.35364459029306849	0.36065103728222447	1.3129196166992188	0.16750836845559952	1.9600139279493307	-1	2	0	0	0
0	9	27	15039	15038	0	498	0.36065103728222447	0.36981270959538193	1.3129196166992188	0.18651605477128425	1.9015535968455204	-1	2	0	0	0
0	10	26	15040	15039	0	722	0.36981270959538193	0.37599801713219105	1.3129196166992188	0.16065298213255846	1.9837576083620849	-1	2	0	0	0
0	11	25	15041	15040	0	969	0.37599801713219105	0.38987617506566008	1.3129196166992188	-0.22847326545514204	1.8772456288946369	-2	1	0	0	0
0	12	24	15042	15041	1	1210	0.38987617506566008	0.42270061430863803	1.3129196166992188	0.65812829665206596	1.8129071779663124	-1	2	0	0	0
0	13	23	15043	15042	-1	1390	0.42270061430863803	0.43129506895435082	1.3129196166992188	-0.83547473326626753	1.6744487967526234	-2	0	0	0	0
0	14	22	15044	15043	0	1460	0.43129506895435082	0.44624922077531787	1.3129196166992188	0.20805894517147061	1.5975237986100599	-1	1	0	0	0
0	15	21	15045	15044	0	1426	0.44624922077531787	0.45425264952624972	1.3129196166992188	-0.1419061342004633	1.4766926343713676	-1	1	0	0	0
0	16	20	15046	15045	2	1261	0.45425264952624972	0.52159128907120111	1.3129196166992188	1.6205782486799223	1.3548849955584352	1	2	0	0	0
0	17	19	15047	15046	0	1067	0.52159128907120111	0.56317443650228005	1.3129196166992188	-0.29351585013449405	1.2804164229179797	-1	0	0	0	0
0	18	18	15048	15047	1	1007	0.56317443650228005	0.564621444776089	1.3129196166992188	1.0590695618816215	1.3445751602041174	0	2	0	0	0
0	19	17	15049	15048	0	863	0.564621444776089	0.59750357670708676	1.3129196166992188	-0.2572793107036766	1.2273324641775623	-1	0	0	0	0
0	20	16	15050	15049	-1	683	0.59750357670708676	0.6934896068424885	1.3129196166992188	-0.56265806670778529	1.1939783222884819	-1	0	0	0	0
0	21	15	15051	15050	0	526	0.6934896068424885	0.70354826402372028	1.3129196166992188	-0.13484238730748552	1.0581629480113277	-1	0	0	0	0
0	22	14	15052	15051	0	413	0.70354826402372028	0.71944054150084891	1.3129196166992188	-0.16913941197421162	1.0473522345645889	-1	0	0	0	0
0	23	13	15053	15052	-1	296	0.71944054150084891	0.74878576889897674	1.3129196166992188	-1.2118703678279543	0.95280534898793134	-2	-1	0	0	0
0	24	12	15054	15053	-1	209	0.74878576889897674	0.81200556067726326	1.3129196166992188	-0.70407801252753122	0.88397866544488546	-1	0	0	0	0
0	25	11	15055	15054	0	137	0.81200556067726326	0.85945615846883905	1.3129196166992188	0.24530242900478288	0.79700787734666745	0	1	0	0	0
0	26	10	15056	15055	1	94	0.85945615846883905	0.92107615146127597	1.3129196166992188	0.7273062280886643	0.73975097242136001	0	1	0	0	0
0	27	9	-1	-1	2	0	0.92107615146127597	0.9434974211083974	1.3129196166992188	1.8409804054295522	0.66477831633237638	2	2	0	0	0
0	28	8	-1	-1	-1	0	0.9434974211083974	0.96025674255672189	1.3129196166992188	-1.1401038623106468	0.65778412041623502	-1	-1	0	0	0
0	29	7	-1	-1	0	0	0.96025674255672189	0.96120236510199797	1.3129196166992188	0.033062448520903842	0.63849275766712243	0	0	0	0	0
0	30	6	-1	-1	1	0	0.96120236510199797	0.98331029233103862	1.3129196166992188	0.85079821055690574	0.59510946014918342	1	1	0	0	0
0	31	5	-1	-1	-3	0	0.98331029233103862	0.98336234794288857	1.3129196166992188	-3.0071850465903407	0.57173602168397564	-3	-3	0	0	0
0	32	4	-1	-1	-1	0	0.98336234794288857	1.0666996809797384	1.3129196166992188	-0.73235793248249637	0.53223082593364512	-1	-1	0	0	0
0	33	3	-1	-1	-1	0	1.0666996809797384	1.1290180411146529	1.3129196166992188	-1.2352172454016264	0.46754429079414261	-1	-1	0	0	0
0	34	2	-1	-1	1	0	1.1290180411146529	1.1429431065101996	1.3129196166992188	0.90021776925449348	0.36261629164643622	1	1	0	0	0
0	35	1	-1	-1	-2	0	1.1429431065101996	1.2083282087616698	1.3129196166992188	-1.7935627621876482	0.33284580679182257	-2	-2	0	0	0
0	36	0	-1	-1	5	0	1.2083282087616698	1.2091283798217773	1.3129196166992188	5.0235894167458097	0.26969555428767483	5	5	0	0	0
