phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	35	7	0
0	2	34	33	0
0	3	33	125	0
0	4	32	359	0
0	5	31	881	0
0	6	30	1891	0
0	7	29	4090	0
0	8	28	8116	0
0	9	27	14577	0
0	10	26	22792	0
0	11	25	33135	0
0	12	24	44023	0
0	13	23	56593	0
0	14	22	70887	0
0	15	21	83047	0
0	16	20	86234	0
0	17	19	82742	0
0	18	18	80305	0
0	19	17	70055	0
0	20	16	56478	0
0	21	15	43025	0
0	22	14	30109	0
0	23	13	20030	0
0	24	12	12738	0
0	25	11	7371	0
0	26	10	4331	0
0	27	9	0	88
0	28	8	0	121
0	29	7	0	111
0	30	6	0	80
0	31	5	0	42
0	32	4	0	21
0	33	3	0	11
0	34	2	0	6
0	35	1	0	1
0	36	0	0	9
1	0	-1	1	0
1	1	35	5	0
1	2	34	19	0
1	3	33	69	0
1	4	32	211	0
1	5	31	507	0
1	6	30	1187	0
1	7	29	2331	0
1	8	28	4637	0
1	9	27	7973	0
1	10	26	13011	0
1	11	25	19067	0
1	12	24	25889	0
1	13	23	33715	0
1	14	22	39845	0
1	15	21	43025	0
1	16	20	45403	0
1	17	19	41725	0
1	18	18	36515	0
1	19	17	30599	0
1	20	16	24441	0
1	21	15	17539	0
1	22	14	11331	0
1	23	13	6921	0
1	24	12	3783	0
1	25	11	2151	0
1	26	10	1177	0
1	27	9	0	11
1	28	8	0	11
1	29	7	0	7
1	30	6	0	7
1	31	5	0	2
1	32	4	0	1
1	33	3	0	0
1	34	2	0	0
1	35	1	0	0
1	36	0	0	2
