phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	35	5	0
0	2	34	29	0
0	3	33	123	0
0	4	32	395	0
0	5	31	1116	0
0	6	30	2720	0
0	7	29	5562	0
0	8	28	10674	0
0	9	27	22067	0
0	10	26	41640	0
0	11	25	72634	0
0	12	24	110397	0
0	13	23	157964	0
0	14	22	211079	0
0	15	21	260721	0
0	16	20	290844	0
0	17	19	306206	0
0	18	18	288345	0
0	19	17	272005	0
0	20	16	238413	0
0	21	15	177903	0
0	22	14	146997	0
0	23	13	110183	0
0	24	12	77174	0
0	25	11	49261	0
0	26	10	31182	0
0	27	9	0	396
0	28	8	0	393
0	29	7	0	261
0	30	6	0	137
0	31	5	0	80
0	32	4	0	31
0	33	3	0	20
0	34	2	0	15
0	35	1	0	8
0	36	0	0	10
