phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	35	27	0	-1	5	0	0.19381047362902185	1.3253793716430664	0	2.6150589416407475	-2	2	925	-1	0
0	2	34	235	27	1	29	0.19381047362902185	0.24031467240050303	1.3253793716430664	0.46777858918425202	2.6253472794539818	-2	3	439	-1	0
0	3	33	7861	235	-1	123	0.24031467240050303	0.29025344818345905	1.3253793716430664	-0.4644696495177722	2.4962780641954812	-2	2	213	-1	0
0	4	32	7862	7861	0	395	0.29025344818345905	0.29026448110872571	1.3253793716430664	0.0077662526261754392	2.3788264996878397	-2	2	147	-1	0
0	5	31	7863	7862	-1	1116	0.29026448110872571	0.334729666783039	1.3253793716430664	-0.51154836421931116	2.3567080829627702	-2	1	73	-1	0
0	6	30	7864	7863	0	2720	0.334729666783039	0.34138510373914199	1.3253793716430664	0.17923672699830565	2.1867481865594649	-2	2	36	-1	0
0	7	29	7865	7864	0	5562	0.34138510373914199	0.37255466881967964	1.3253793716430664	-0.35429590113492382	1.9906597759915141	-2	1	19	-1	0
0	8	28	2228572	7865	-1	10674	0.37255466881967964	0.54914762724235122	1.3253793716430664	-0.1534125602322356	1.9664895087077536	-2	1	6	-1	0
0	9	27	2228573	2228572	1	22065	0.54914762724235122	0.56839966386407637	1.3253793716430664	0.67989461890448999	2.0325925761753934	-1	2	3	-1	0
0	10	26	2564883	2228573	0	41529	0.56839966386407637	0.65270771516145487	1.3253793716430664	0.63742884315279602	1.9100261110331325	-1	2	1	-1	0
0	11	25	2746846	2564883	0	72083	0.65270771516145487	0.83564093989203247	1.3253793716430664	0.90382833441364296	1.7331702325308145	0	2	0	0	0
0	12	24	2746847	2746846	-1	108811	0.83564093989203247	0.86390826013851207	1.3253793716430664	-1.3204625329035302	1.3338808405093698	-2	0	0	0	0
0	13	23	2746848	2746847	0	154588	0.86390826013851207	0.86457025584053349	1.3253793716430664	0.047896599387745806	1.2645888684547251	-1	1	0	0	0
0	14	22	2746849	2746848	0	205026	0.86457025584053349	0.88428224025238167	1.3253793716430664	-0.25170758692694817	1.2170030413287045	-1	0	0	0	0
0	15	21	2746850	2746849	-2	251378	0.88428224025238167	0.88695234806217416	1.3253793716430664	-1.9115580579985052	1.1367395970189342	-3	-1	0	0	0
0	16	20	2746851	2746850	-1	278214	0.88695234806217416	0.88918442175223134	1.3253793716430664	-0.92482574328440847	1.0535703404743815	-1	0	0	0	0
0	17	19	2746852	2746851	0	290797	0.88918442175223134	0.90358983061837184	1.3253793716430664	0.18451776163356323	1.0153498278584592	0	1	0	0	0
0	18	18	2746853	2746852	2	271978	0.90358983061837184	0.90360261924097507	1.3253793716430664	2.0050615121311246	0.91921330030699888	2	2	0	0	0
0	19	17	2746854	2746853	1	255182	0.90360261924097507	0.90436551429698941	1.3253793716430664	1.0400875395249682	0.94258021632244005	1	1	0	0	0
0	20	16	2746855	2746854	3	222756	0.90436551429698941	0.92999662847246534	1.3253793716430664	2.779802686663607	0.89243474126095035	2	3	0	0	0
0	21	15	2746856	2746855	-1	165960	0.92999662847246534	0.94078983943706529	1.3253793716430664	-0.87493758988087411	0.75693801338647315	-1	-1	0	0	0
0	22	14	2746857	2746856	-1	136734	0.94078983943706529	0.94887645907295892	1.3253793716430664	-1.1215174229985019	0.83801882119517901	-1	-1	0	0	0
0	23	13	2746858	2746857	-2	102492	0.94887645907295892	0.95042207141437873	1.3253793716430664	-1.9507771714918336	0.76824624776094308	-2	-2	0	0	0
0	24	12	2746859	2746858	2	71763	0.95042207141437873	1.0144658001189457	1.3253793716430664	2.3038951104818022	0.73531989200973624	2	3	0	0	0
0	25	11	2746860	2746859	1	45846	1.0144658001189457	1.0182232232961121	1.3253793716430664	1.0679024301075795	0.61767511112085471	1	1	0	0	0
0	26	10	2746861	2746860	1	29035	1.0182232232961121	1.0484821654252745	1.3253793716430664	0.80459936305698676	0.62255641299684961	1	1	0	0	0
0	27	9	-1	-1	-3	0	1.0484821654252745	1.0522181193105036	1.3253793716430664	-2.938151857486357	0.53245780133440956	-3	-3	0	0	0
0	28	8	-1	-1	2	0	1.0522181193105036	1.0595853674730129	1.3253793716430664	1.9139544428385071	0.5239445763323699	2	2	0	0	0
0	29	7	-1	-1	-5	0	1.0595853674730129	1.1144824189353466	1.3253793716430664	-5.2125354354845692	0.46765914318958529	-5	-5	0	0	0
0	30	6	-1	-1	1	0	1.1144824189353466	1.1169151849319305	1.3253793716430664	0.95976311827155769	0.37463582097808079	1	1	0	0	0
0	31	5	-1	-1	1	0	1.1169151849319305	1.232268932856132	1.3253793716430664	0.7162541372148945	0.38144279058636599	1	1	0	0	0
0	32	4	-1	-1	-9	0	1.232268932856132	1.2322691585779169	1.3253793716430664	-8.999620789666217	0.24355251159956268	-9	-9	0	0	0
0	33	3	-1	-1	2	0	1.2322691585779169	1.251441010521589	1.3253793716430664	1.8895026340495564	0.24351098218327683	2	2	0	0	0
0	34	2	-1	-1	0	0	1.251441010521589	1.2526257370799376	1.3253793716430664	-0.025967702577034634	0.20514426301584335	0	0	0	0	0
0	35	1	-1	-1	6	0	1.2526257370799376	1.2697317580722265	1.3253793716430664	6.1019154102764794	0.21018063702006365	6	6	0	0	0
0	36	0	-1	-1	3	0	1.2697317580722265	1.2988743782043457	1.3253793716430664	3.1310556763205262	0.18109848222492198	3	3	0	0	0
