phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000137,39491,39291,200,77,0,0,19743.648853,1.1862133064,1.1862133064,0
0,4.000252,78942,78720,222,157,0,0,19724.360277,1.1862133064,1.1862133064,0
0,6.000353,118881,118488,393,259,4,0,19968.497551,1.1701250212,1.1701250212,1
0,8.000444,164292,163788,504,867,6,0,22704.465789,1.0931023815,1.0931023815,3
0,10.000543,206459,205923,536,1180,6,0,21082.455818,1.0931023815,1.0931023815,3
0,12.000664,245750,245190,560,1368,6,0,19644.308249,1.0931023815,1.0931023815,3
0,14.000760,289206,288625,581,1850,6,0,21726.958497,1.0931023815,1.0931023815,3
0,16.000841,334154,333472,682,2297,6,0,22473.095862,1.0931023815,1.0931023815,3
0,18.000921,374154,373431,723,2494,6,0,19999.198562,1.0931023815,1.0931023815,3
0,20.001038,423871,423040,831,3516,7,0,24857.038220,1.0525128438,1.0525128438,4
0,22.001164,473887,472946,941,4827,7,0,25006.434447,1.0525128438,1.0525128438,4
0,24.001304,519157,518192,965,5536,7,1,22633.413137,1.0525128438,1.0525128438,4
0,26.001516,559833,558856,977,5745,7,0,20335.848040,1.0525128438,1.0525128438,4
0,28.001618,599636,598651,985,5923,7,0,19900.476847,1.0525128438,1.0525128438,4
0,30.001703,640976,639957,1019,6326,7,0,20669.123361,1.0525128438,1.0525128438,4
0,32.001774,683812,682783,1029,6817,7,0,21417.245117,1.0525128438,1.0525128438,4
0,34.001869,722647,721614,1033,6931,7,0,19416.574033,1.0525128438,1.0525128438,4
0,36.001965,762301,761268,1033,7065,7,0,19826.051353,1.0525128438,1.0525128438,4
0,38.002069,804022,802981,1041,7308,7,0,20859.414403,1.0525128438,1.0525128438,4
0,40.002150,845740,844695,1045,7619,7,0,20858.152950,1.0525128438,1.0525128438,4
0,42.002232,887009,885936,1073,7987,7,0,20633.657992,1.0525128438,1.0525128438,4
0,44.002313,928752,927659,1093,8540,7,0,20870.649792,1.0525128438,1.0525128438,4
0,46.002396,967536,966441,1095,8623,7,0,19391.193123,1.0525128438,1.0525128438,4
0,48.002506,1005759,1004664,1095,8714,7,0,19110.452002,1.0525128438,1.0525128438,4
0,50.002641,1044644,1043543,1101,8816,7,0,19441.186165,1.0525128438,1.0525128438,4
0,52.002780,1084085,1082984,1101,8954,7,0,19719.133701,1.0525128438,1.0525128438,4
0,54.002883,1123441,1122328,1113,9108,7,0,19676.982621,1.0525128438,1.0525128438,4
0,56.002990,1163581,1162464,1117,9331,7,0,20068.928701,1.0525128438,1.0525128438,4
0,58.003111,1204083,1202966,1117,9577,7,0,20249.771568,1.0525128438,1.0525128438,4
0,60.003206,1245167,1244034,1133,9970,7,0,20541.029231,1.0525128438,1.0525128438,4
0,62.003323,1289786,1288623,1163,10579,7,0,22308.196621,1.0525128438,1.0525128438,4
0,64.003445,1329992,1328809,1183,10951,7,0,20101.769591,1.0525128438,1.0525128438,4
0,66.003586,1368316,1367131,1185,11004,7,0,19160.646224,1.0525128438,1.0525128438,4
0,68.003706,1406752,1405565,1187,11059,7,0,19216.846269,1.0525128438,1.0525128438,4
0,70.003821,1445630,1444443,1187,11135,7,0,19437.885130,1.0525128438,1.0525128438,4
0,72.003936,1484530,1483339,1191,11210,7,0,19448.884616,1.0525128438,1.0525128438,4
0,74.004058,1523059,1521864,1195,11288,7,0,19263.327971,1.0525128438,1.0525128438,4
0,76.004188,1562120,1560925,1195,11400,7,0,19529.228725,1.0525128438,1.0525128438,4
0,78.004321,1600607,1599404,1203,11505,7,0,19242.216015,1.0525128438,1.0525128438,4
0,80.004440,1640469,1639260,1209,11657,7,0,19929.811197,1.0525128438,1.0525128438,4
0,82.004555,1679566,1678357,1209,11810,7,0,19547.376563,1.0525128438,1.0525128438,4
0,84.004673,1719419,1718200,1219,11981,7,0,19925.326478,1.0525128438,1.0525128438,4
0,86.004749,1758755,1757532,1223,12160,7,0,19667.251809,1.0525128438,1.0525128438,4
0,88.004845,1798172,1796947,1225,12379,7,0,19707.557378,1.0525128438,1.0525128438,4
0,90.004933,1838064,1836833,1231,12626,7,0,19945.120869,1.0525128438,1.0525128438,4
0,92.005025,1879198,1877941,1257,12942,7,0,20566.052974,1.0525128438,1.0525128438,4
0,94.005119,1920154,1918895,1259,13275,7,0,20477.041019,1.0525128438,1.0525128438,4
0,96.005314,1965382,1964085,1297,14084,7,1,22611.798956,1.0525128438,1.0525128438,4
0,98.005451,2001674,2000377,1297,14241,7,0,18144.755406,1.0525128438,1.0525128438,4
0,100.005551,2039359,2038062,1297,14268,7,0,18841.551055,1.0525128438,1.0525128438,4
0,102.005676,2077075,2075776,1299,14308,7,0,18856.821656,1.0525128438,1.0525128438,4
0,104.005806,2115078,2113771,1307,14359,7,0,19000.265192,1.0525128438,1.0525128438,4
0,106.005925,2153476,2152169,1307,14414,7,0,19197.858102,1.0525128438,1.0525128438,4
0,108.006037,2191404,2190094,1310,14451,7,0,18962.937819,1.0525128438,1.0525128438,4
0,110.006150,2229608,2228297,1311,14500,7,0,19100.922880,1.0525128438,1.0525128438,4
0,112.006254,2268066,2266753,1313,14565,7,0,19227.997356,1.0525128438,1.0525128438,4
0,114.006348,2305591,2304278,1313,14601,7,0,18761.622284,1.0525128438,1.0525128438,4
0,116.006426,2343974,2342657,1317,14673,7,0,19190.747627,1.0525128438,1.0525128438,4
0,118.006499,2382492,2381175,1317,14747,7,0,19258.298083,1.0525128438,1.0525128438,4
0,120.006621,2420548,2419231,1317,14808,7,0,19026.843035,1.0525128438,1.0525128438,4
0,122.006739,2459203,2457886,1317,14898,7,0,19326.361194,1.0525128438,1.0525128438,4
0,124.006830,2498665,2497348,1317,15049,7,0,19730.104658,1.0525128438,1.0525128438,4
0,126.006918,2537292,2535975,1317,15193,7,0,19312.648196,1.0525128438,1.0525128438,4
0,128.007018,2575908,2574589,1319,15308,7,0,19307.031279,1.0525128438,1.0525128438,4
0,130.007103,2614271,2612950,1321,15414,7,0,19180.681925,1.0525128438,1.0525128438,4
0,132.007185,2653442,2652119,1323,15543,7,0,19584.699378,1.0525128438,1.0525128438,4
0,134.007253,2693575,2692252,1323,15720,7,0,20065.820341,1.0525128438,1.0525128438,4
0,136.007354,2732764,2731439,1325,15902,7,0,19593.508088,1.0525128438,1.0525128438,4
0,138.007477,2771182,2769850,1332,16123,8,0,19207.824423,1.0419355972,1.0419355972,5
0,140.007587,2811573,2810239,1334,16439,8,0,20194.384371,1.0419355972,1.0419355972,5
0,142.007685,2851823,2850478,1345,16808,9,0,20124.018199,1.0419355972,1.0419355972,5
0,143.725413,2886991,2885640,1351,17122,9,0,20086.857473,1.0419355972,1.0419355972,5
