phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	35	5	0
0	2	34	23	0
0	3	33	81	0
0	4	32	243	0
0	5	31	625	0
0	6	30	1537	0
0	7	29	3397	0
0	8	28	6723	0
0	9	27	12457	0
0	10	26	21201	0
0	11	25	33683	0
0	12	24	52099	0
0	13	23	75892	0
0	14	22	97790	0
0	15	21	117711	0
0	16	20	124480	0
0	17	19	127321	0
0	18	18	121007	0
0	19	17	114801	0
0	20	16	95793	0
0	21	15	76028	0
0	22	14	55480	0
0	23	13	39281	0
0	24	12	27014	0
0	25	11	17044	0
0	26	10	9755	0
0	27	9	0	93
0	28	8	0	36
0	29	7	0	20
0	30	6	0	8
0	31	5	0	4
0	32	4	0	0
0	33	3	0	0
0	34	2	0	0
0	35	1	0	0
0	36	0	0	5
1	0	-1	1	0
1	1	35	5	0
1	2	34	21	0
1	3	33	83	0
1	4	32	241	0
1	5	31	649	0
1	6	30	1697	0
1	7	29	3789	0
1	8	28	7819	0
1	9	27	14101	0
1	10	26	24695	0
1	11	25	39349	0
1	12	24	59713	0
1	13	23	79125	0
1	14	22	97377	0
1	15	21	112945	0
1	16	20	117741	0
1	17	19	114945	0
1	18	18	98035	0
1	19	17	80421	0
1	20	16	60259	0
1	21	15	44317	0
1	22	14	29039	0
1	23	13	18369	0
1	24	12	11273	0
1	25	11	6507	0
1	26	10	3491	0
1	27	9	0	11
1	28	8	0	17
1	29	7	0	8
1	30	6	0	0
1	31	5	0	0
1	32	4	0	0
1	33	3	0	0
1	34	2	0	0
1	35	1	0	0
1	36	0	0	2
