phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	35	27	0	-1	5	0	0.17045249229028822	1.1762170791625977	0	2.6268910616751793	-2	2	257	-1	0
0	2	34	28	27	0	23	0.17045249229028822	0.17382528975832268	1.1762170791625977	0.15196080724993155	2.6241256742038885	-2	2	122	-1	0
0	3	33	10622	28	1	81	0.17382528975832268	0.2999177298567488	1.1762170791625977	0.13950370977071971	2.4261811719481021	-2	2	46	-1	0
0	4	32	10623	10622	-1	243	0.2999177298567488	0.30518607521643076	1.1762170791625977	-0.83073339093173748	2.1830336002321356	-3	1	33	-1	0
0	5	31	10624	10623	0	625	0.30518607521643076	0.3051897348813703	1.1762170791625977	-0.0041794504361663031	2.0389910689858075	-2	2	27	-1	0
0	6	30	10625	10624	1	1537	0.3051897348813703	0.30947191398220242	1.1762170791625977	0.84883673327586651	2.155905643926908	-1	3	14	-1	0
0	7	29	10626	10625	1	3397	0.30947191398220242	0.30997908917323214	1.1762170791625977	0.94964717379908503	2.0815678176265249	-1	3	7	-1	0
0	8	28	1059296	10626	0	6701	0.30997908917323214	0.42344604276146663	1.1762170791625977	-0.70675418730129369	1.9527754473449841	-2	1	3	-1	0
0	9	27	1059297	1059296	1	12321	0.42344604276146663	0.42775883693533484	1.1762170791625977	0.86067309353142063	1.8407172351458483	0	2	2	-1	0
0	10	26	1059298	1059297	0	20763	0.42775883693533484	0.4278660536770712	1.1762170791625977	0.021219699564014649	1.7729305184182309	-1	1	1	-1	0
0	11	25	1141587	1059298	0	32642	0.4278660536770712	0.49535514788532187	1.1762170791625977	0.51959472266448881	1.7302171435083675	-1	2	0	0	0
0	12	24	1141588	1141587	0	49976	0.49535514788532187	0.49699843777260305	1.1762170791625977	-0.081972759619296662	1.6685606247736959	-1	1	0	0	0
0	13	23	1141589	1141588	0	72118	0.49699843777260305	0.51973230041019491	1.1762170791625977	-0.29762567992485506	1.6268165545489586	-1	1	0	0	0
0	14	22	1141590	1141589	1	92099	0.51973230041019491	0.5228782928119764	1.1762170791625977	1.1013728913030985	1.4643851939886887	0	2	0	0	0
0	15	21	1141591	1141590	-1	109826	0.5228782928119764	0.5261915563029812	1.1762170791625977	-1.1005007599212773	1.4112715246920351	-2	0	0	0	0
0	16	20	1141592	1141591	0	115314	0.5261915563029812	0.61223364667189917	1.1762170791625977	-0.46378676904893734	1.274758988961439	-1	0	0	0	0
0	17	19	1141593	1141592	0	117281	0.61223364667189917	0.62035015860715148	1.1762170791625977	-0.14229747359797285	1.1861664795014855	-1	1	0	0	0
0	18	18	1141594	1141593	0	110933	0.62035015860715148	0.66798655323619371	1.1762170791625977	-0.33030932789451384	1.1283317558924719	-1	0	0	0	0
0	19	17	1141595	1141594	1	104717	0.66798655323619371	0.67714039566206941	1.1762170791625977	1.148068537338103	1.1032944754090817	1	2	0	0	0
0	20	16	1141596	1141595	-1	87071	0.67714039566206941	0.71055802284557756	1.1762170791625977	-0.74419531445719445	0.98856295201044597	-1	0	0	0	0
0	21	15	1141597	1141596	0	68893	0.71055802284557756	0.72099306405603392	1.1762170791625977	0.13860484442339174	0.92590270375076111	0	1	0	0	0
0	22	14	1141598	1141597	-1	50275	0.72099306405603392	0.7209934025064455	1.1762170791625977	-1.0007445288154619	0.86346864170529436	-1	-1	0	0	0
0	23	13	1141599	1141598	-1	35613	0.7209934025064455	0.72552934506004063	1.1762170791625977	-0.91455056167681026	0.85602778359418019	-1	-1	0	0	0
0	24	12	1141600	1141599	-1	24601	0.72552934506004063	0.72558392120150927	1.1762170791625977	-1.0093411381468602	0.84886035388494341	-1	-1	0	0	0
0	25	11	1141601	1141600	1	15601	0.72558392120150927	0.72687242915709305	1.1762170791625977	0.95792723898156262	0.78680848266392778	1	1	0	0	0
0	26	10	1141602	1141601	-2	8960	0.72687242915709305	0.72814542506085456	1.1762170791625977	-1.9611439246607654	0.73002077092962558	-2	-2	0	0	0
0	27	9	-1	-1	2	0	0.72814542506085456	0.85394056345209124	1.1762170791625977	2.3723312134794967	0.70270210155272084	2	3	0	0	0
0	28	8	-1	-1	-2	0	0.85394056345209124	0.86102407151699423	1.1762170791625977	-1.9202265665954052	0.53808194239532103	-2	-2	0	0	0
0	29	7	-1	-1	-2	0	0.86102407151699423	0.87300488527087683	1.1762170791625977	-1.9079185212297995	0.47229942178266343	-2	-2	0	0	0
0	30	6	-1	-1	0	0	0.87300488527087683	1.0269998862756176	1.1762170791625977	-0.30755613037735713	0.43156320323310965	0	0	0	0	0
0	31	5	-1	-1	-3	0	1.0269998862756176	1.057722799416424	1.1762170791625977	-2.8547970535560032	0.32000271677950065	-3	-3	0	0	0
0	32	4	-1	-1	-1	0	1.057722799416424	1.0798104450497354	1.1762170791625977	-0.88736732058711953	0.26087856409035243	-1	-1	0	0	0
0	33	3	-1	-1	1	0	1.0798104450497354	1.1215121305280156	1.1762170791625977	1.1571681602870623	0.23896881258683536	1	1	0	0	0
0	34	2	-1	-1	0	0	1.1215121305280156	1.1234733754458361	1.1762170791625977	0.031669777183114596	0.16726011827254436	0	0	0	0	0
0	35	1	-1	-1	2	0	1.1234733754458361	1.1284790759107826	1.1762170791625977	1.9477732363799865	0.16952977934624322	2	2	0	0	0
0	36	0	-1	-1	4	0	1.1284790759107826	1.1339845657348633	1.1762170791625977	4.0660839023297966	0.19459416938979071	4	4	0	0	0
