phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	35	1	0	0	5	0	0	1.2897419929504395	0	2.6486170870467203	-2	2	453	-0.99779249448123619	0
0	2	34	2	1	0	23	0	0	1.2897419929504395	0	2.8137719376072483	-2	2	385	-0.9974025974025974	0
0	3	33	3	2	0	75	0	0	1.2897419929504395	0	2.5598952101411094	-2	2	325	-0.99692307692307691	0
0	4	32	4	3	0	239	0	0	1.2897419929504395	0	2.6574663217154813	-2	2	269	-0.99628252788104088	0
0	5	31	5	4	0	565	0	0	1.2897419929504395	0	2.4081835756594541	-2	2	221	-0.99547511312217196	0
0	6	30	6	5	0	1193	0	0	1.2897419929504395	0	2.4938052538872015	-2	2	179	-0.994413407821229	0
0	7	29	7	6	0	2151	0	0	1.2897419929504395	0	2.2667141146698446	-2	2	143	-0.99300699300699302	0
0	8	28	8	7	0	3511	0	0	1.2897419929504395	0	2.1690728817395373	-2	2	113	-0.99115044247787609	0
0	9	27	9	8	0	5701	0	0	1.2897419929504395	0	2.3219063807802525	-2	2	87	-0.9885057471264368	0
0	10	26	10	9	0	8275	0	0	1.2897419929504395	0	2.1782661600813231	-2	2	65	-0.98461538461538467	0
0	11	25	11	10	0	10313	0	0	1.2897419929504395	0	1.9621354686893593	-1	1	49	-0.97959183673469385	0
0	12	24	12	11	0	13413	0	0	1.2897419929504395	0	2.1496582543259581	-2	2	35	-0.97142857142857142	0
0	13	23	13	12	0	15043	0	0	1.2897419929504395	0	1.9480543485236075	-1	1	25	-0.95999999999999996	0
0	14	22	14	13	0	16135	0	0	1.2897419929504395	0	1.9090209792463897	-1	1	17	-0.94117647058823528	0
0	15	21	90915	14	-1	16581	0	0.36487310532119943	1.2897419929504395	0	1.8800980273778531	-1	1	2	-1	0
0	16	20	90916	90915	0	16263	0.36487310532119943	0.40295367263706866	1.2897419929504395	-0.31860162251378438	1.5701327177619901	-1	1	1	-1	0
0	17	19	169413	90916	1	15086	0.40295367263706866	0.52390528311487838	1.2897419929504395	0.44822584909755747	1.4940512859773902	-1	1	0	0	0
0	18	18	169414	169413	0	12312	0.52390528311487838	0.52660481249353142	1.2897419929504395	-0.074411306745759839	1.2533229500108241	-1	1	0	0	0
0	19	17	169415	169414	0	9870	0.52660481249353142	0.52933086584603117	1.2897419929504395	0.074898555062540423	1.2531630190137533	-1	1	0	0	0
0	20	16	169416	169415	0	7097	0.52933086584603117	0.55224389939640683	1.2897419929504395	0.19550306774082926	1.1262544310751115	0	1	0	0	0
0	21	15	169417	169416	0	5181	0.55224389939640683	0.56251928045562105	1.2897419929504395	0.13573728995306328	1.1499544993820388	-1	1	0	0	0
0	22	14	169418	169417	1	3783	0.56251928045562105	0.70031316875645155	1.2897419929504395	0.50248899254733537	1.1429347398356375	0	1	0	0	0
0	23	13	169419	169418	1	2569	0.70031316875645155	0.75648840009122797	1.2897419929504395	1.2965352691938377	0.96054917840327236	1	2	0	0	0
0	24	12	169420	169419	0	1907	0.75648840009122797	0.80852162542095007	1.2897419929504395	0.30105469850899147	0.96376673266494017	0	1	0	0	0
0	25	11	169421	169420	0	1281	0.80852162542095007	0.80857996622721262	1.2897419929504395	0.0088526229250755206	0.8040031547461618	0	0	0	0	0
0	26	10	169422	169421	-1	862	0.80857996622721262	0.82841858975999538	1.2897419929504395	-0.83673875493288485	0.80403139859043449	-1	-1	0	0	0
0	27	9	-1	-1	0	0	0.82841858975999538	0.84499991107143657	1.2897419929504395	-0.14244752303402572	0.7513600121029218	0	0	0	0	0
0	28	8	-1	-1	0	0	0.84499991107143657	0.97944651479814049	1.2897419929504395	0.3694771671456194	0.67199617264386713	0	1	0	0	0
0	29	7	-1	-1	0	0	0.97944651479814049	1.0267389985574513	1.2897419929504395	0.20627195576860896	0.52836233168874591	0	0	0	0	0
0	30	6	-1	-1	-1	0	1.0267389985574513	1.0282280013402481	1.2897419929504395	-1.0336240158670107	0.44687100212796027	-1	-1	0	0	0
0	31	5	-1	-1	-2	0	1.0282280013402481	1.0285698486242074	1.2897419929504395	-1.9842725963282639	0.43499917352564776	-2	-2	0	0	0
0	32	4	-1	-1	0	0	1.0285698486242074	1.0339431805560155	1.2897419929504395	-0.063727144810652087	0.44428950425412583	0	0	0	0	0
0	33	3	-1	-1	-1	0	1.0339431805560155	1.0391913532648507	1.2897419929504395	-1.060611319655921	0.42315447925930122	-1	-1	0	0	0
0	34	2	-1	-1	0	0	1.0391913532648507	1.0738952650937417	1.2897419929504395	0.15405522517069084	0.41393769349497639	0	0	0	0	0
0	35	1	-1	-1	0	0	1.0738952650937417	1.0840155986403988	1.2897419929504395	0.081664524420069343	0.37714535115960707	0	0	0	0	0
0	36	0	-1	-1	2	0	1.0840155986403988	1.1404104232788086	1.2897419929504395	2.2091068236477205	0.39938668964566143	2	2	0	0	0
