phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	36	28	0	-1	5	0	0.17242182478493781	1.2419295310974121	0	2.6838136567845972	-2	2	81	-1	0
0	2	35	29	28	0	23	0.17242182478493781	0.17250813424389103	1.2419295310974121	0.024031921348657746	2.6751692022925848	-2	2	32	-1	0
0	3	34	30	29	0	103	0.17250813424389103	0.20496630546882147	1.2419295310974121	0.4889849497487202	2.8067769639396691	-2	3	10	-1	0
0	4	33	31	30	0	373	0.20496630546882147	0.20505765588884678	1.2419295310974121	-0.025925186694655041	2.7621565911161676	-2	2	3	-1	0
0	5	32	32	31	0	1101	0.20505765588884678	0.2076038220309927	1.2419295310974121	0.12636284290482949	2.5499905205176221	-2	2	1	-1	0
0	6	31	2806703	32	1	3059	0.2076038220309927	0.26249122924877444	1.2419295310974121	0.37986419680834071	2.6920251171222076	-2	3	0	0	0
0	7	30	2806704	2806703	-1	7565	0.26249122924877444	0.27075653335875843	1.2419295310974121	-0.77207435510701705	2.4811459699912457	-3	1	0	0	0
0	8	29	2806705	2806704	-1	16686	0.27075653335875843	0.31328451780654681	1.2419295310974121	-0.50893732230962474	2.3466473357278352	-2	1	0	0	0
0	9	28	2806706	2806705	0	32686	0.31328451780654681	0.33733910005519213	1.2419295310974121	0.34321207159203276	2.1324974013532088	-1	2	0	0	0
0	10	27	2806707	2806706	0	55492	0.33733910005519213	0.33736613901853063	1.2419295310974121	0.010473309747969905	1.915644531498786	-1	1	0	0	0
0	11	26	2806708	2806707	0	89604	0.33736613901853063	0.34281321636643547	1.2419295310974121	-0.14735943674104077	1.8989594263208407	-2	1	0	0	0
0	12	25	2806709	2806708	1	138817	0.34281321636643547	0.34306228485412132	1.2419295310974121	0.96867231064504999	1.8822482882820237	0	2	0	0	0
0	13	24	2806710	2806709	0	193022	0.34306228485412132	0.35256827023565912	1.2419295310974121	-0.17945325223691649	1.7450205276475343	-1	1	0	0	0
0	14	23	2806711	2806710	0	247903	0.35256827023565912	0.3541274536045978	1.2419295310974121	-0.069362445459934363	1.6565894974088919	-1	1	0	0	0
0	15	22	2806712	2806711	1	293347	0.3541274536045978	0.36164559367341403	1.2419295310974121	0.85492587511668128	1.5764958492102867	0	2	0	0	0
0	16	21	2806713	2806712	-1	332337	0.36164559367341403	0.36713365201055498	1.2419295310974121	-0.8779947834859495	1.5451848060949946	-2	0	0	0	0
0	17	20	2806714	2806713	-1	330871	0.36713365201055498	0.39520179783320736	1.2419295310974121	-0.75143967129404443	1.3876448134406307	-2	0	0	0	0
0	18	19	2806715	2806714	2	291083	0.39520179783320736	0.42296877878283123	1.2419295310974121	1.7755600929241433	1.2393890116228314	1	3	0	0	0
0	19	18	2806716	2806715	-1	237013	0.42296877878283123	0.48293718194659474	1.2419295310974121	-0.68610286272777876	1.1599991133723755	-1	0	0	0	0
0	20	17	2806717	2806716	-1	183440	0.48293718194659474	0.48565938612025128	1.2419295310974121	-1.0648320219485559	1.0825498836488823	-2	0	0	0	0
0	21	16	2806718	2806717	-1	131355	0.48565938612025128	0.48966428763322678	1.2419295310974121	-0.92538165790485383	1.0253878174161042	-1	0	0	0	0
0	22	15	2806719	2806718	0	86412	0.48966428763322678	0.61784324359837839	1.2419295310974121	0.39521650555497123	0.95744141054500098	0	1	0	0	0
0	23	14	2806720	2806719	0	54949	0.61784324359837839	0.61968659760498634	1.2419295310974121	0.046545558095130321	0.85643851255260783	0	0	0	0	0
0	24	13	2806721	2806720	-1	35896	0.61968659760498634	0.63576713543699526	1.2419295310974121	-1.1444896589282634	0.89880704423492497	-2	-1	0	0	0
0	25	12	2806722	2806721	2	22941	0.63576713543699526	0.67523268915685164	1.2419295310974121	1.7725888261451572	0.89124518180174928	1	2	0	0	0
0	26	11	2806723	2806722	2	13520	0.67523268915685164	0.79626293811445537	1.2419295310974121	1.6291855207604637	0.80238927783021741	1	2	0	0	0
0	27	10	2806724	2806723	-1	7139	0.79626293811445537	0.87031395975431136	1.2419295310974121	-1.2596144126983544	0.63689569311455352	-1	-1	0	0	0
