phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000270,37780,37763,17,15,0,0,18886.946117,1.0319814250,1.0319814250,0
0,4.000422,75378,75361,17,24,0,0,18797.575069,1.0319814250,1.0319814250,0
0,6.000557,112701,112684,17,27,0,0,18660.241180,1.0319814250,1.0319814250,0
0,8.000689,150931,150908,23,61,2,0,19113.738455,1.0319814250,1.0319814250,0
0,10.000823,188680,188655,25,80,2,0,18873.234361,1.0319814250,1.0319814250,0
0,12.000957,226416,226391,25,97,2,0,18866.735797,1.0319814250,1.0319814250,0
0,14.001084,264259,264234,25,120,2,0,18920.298760,1.0319814250,1.0319814250,0
0,16.001211,302154,302129,25,142,2,0,18946.298161,1.0319814250,1.0319814250,0
0,18.001335,339987,339958,29,165,2,0,18915.329860,1.0319814250,1.0319814250,0
0,20.001460,377412,377383,29,173,2,0,18711.329691,1.0319814250,1.0319814250,0
0,22.001581,414904,414875,29,179,2,0,18744.864089,1.0319814250,1.0319814250,0
0,24.001704,452871,452842,29,208,2,0,18982.329122,1.0319814250,1.0319814250,0
0,26.001830,490818,490785,33,239,2,0,18972.303123,1.0319814250,1.0319814250,0
0,28.001960,528765,528732,33,268,2,0,18972.268776,1.0319814250,1.0319814250,0
0,30.002089,566681,566648,33,299,2,0,18956.780776,1.0319814250,1.0319814250,0
0,32.002211,604903,604866,37,344,2,0,19109.834023,1.0319814250,1.0319814250,0
0,34.002328,642902,642865,37,381,2,0,18998.389288,1.0319814250,1.0319814250,0
0,36.002438,680623,680586,37,403,2,0,18859.466077,1.0319814250,1.0319814250,0
0,38.002567,718615,718578,37,438,2,0,18994.766053,1.0319814250,1.0319814250,0
0,40.002704,756260,756219,41,463,2,0,18821.214671,1.0319814250,1.0319814250,0
0,42.002840,793954,793913,41,497,2,0,18845.715137,1.0319814250,1.0319814250,0
0,44.002961,831489,831448,41,518,2,0,18766.364982,1.0319814250,1.0319814250,0
0,46.003079,869777,869736,41,585,2,0,19142.874715,1.0319814250,1.0319814250,0
0,48.003212,907818,907777,41,640,2,0,19019.234508,1.0319814250,1.0319814250,0
0,50.003338,946757,946700,57,739,2,0,19468.277548,1.0319814250,1.0319814250,0
0,52.003464,984252,984195,57,784,2,0,18746.312599,1.0319814250,1.0319814250,0
0,54.003595,1021195,1021130,65,816,2,0,18470.290935,1.0319814250,1.0319814250,0
0,56.003787,1058878,1058811,67,848,2,0,18839.694131,1.0319814250,1.0319814250,0
0,58.003878,1096947,1096880,67,911,2,0,19033.633056,1.0319814250,1.0319814250,0
0,60.004005,1134523,1134456,67,944,2,0,18786.810814,1.0319814250,1.0319814250,0
0,62.004131,1172323,1172256,67,979,2,0,18898.803035,1.0319814250,1.0319814250,0
0,64.004266,1210706,1210639,67,1049,2,0,19190.204105,1.0319814250,1.0319814250,0
0,66.004386,1248445,1248378,67,1099,2,0,18868.366502,1.0319814250,1.0319814250,0
0,68.004525,1286740,1286673,67,1199,2,0,19146.170643,1.0319814250,1.0319814250,0
0,70.004674,1324646,1324567,79,1234,2,0,18951.595327,1.0319814250,1.0319814250,0
0,72.004800,1362962,1362883,79,1285,2,0,19156.791944,1.0319814250,1.0319814250,0
0,74.004928,1401046,1400967,79,1325,2,0,19040.776630,1.0319814250,1.0319814250,0
0,76.005050,1439466,1439383,83,1388,2,0,19208.832727,1.0319814250,1.0319814250,0
0,78.005177,1477485,1477402,83,1431,2,0,19008.287899,1.0319814250,1.0319814250,0
0,80.005314,1514862,1514779,83,1444,2,0,18687.221103,1.0319814250,1.0319814250,0
0,82.005444,1553053,1552962,91,1489,2,0,19094.262310,1.0319814250,1.0319814250,0
0,84.005570,1591138,1591047,91,1541,2,0,19041.300579,1.0319814250,1.0319814250,0
0,86.005694,1630174,1630077,97,1693,4,0,19516.789813,1.0102281218,1.0102281218,1
0,88.005793,1670856,1670749,107,1984,4,0,20339.991787,1.0102281218,1.0102281218,1
0,90.005912,1709230,1709117,113,2137,4,0,19185.860034,1.0102281218,1.0102281218,1
0,92.006058,1747221,1747106,115,2298,4,0,18994.113449,1.0102281218,1.0102281218,1
0,94.006193,1785057,1784942,115,2330,4,0,18916.716283,1.0102281218,1.0102281218,1
0,96.006340,1823113,1822998,115,2370,4,0,19026.609288,1.0102281218,1.0102281218,1
0,98.006482,1860810,1860695,115,2393,4,0,18847.160278,1.0102281218,1.0102281218,1
0,100.006642,1898840,1898725,115,2437,4,0,19013.480671,1.0102281218,1.0102281218,1
0,102.006781,1936599,1936484,115,2478,4,0,18878.182595,1.0102281218,1.0102281218,1
0,104.006910,1975073,1974958,115,2543,4,0,19235.764487,1.0102281218,1.0102281218,1
0,106.007053,2011767,2011652,115,2602,4,0,18345.681633,1.0102281218,1.0102281218,1
0,108.007192,2050193,2050078,115,2695,4,0,19211.665183,1.0102281218,1.0102281218,1
0,110.007329,2088514,2088395,119,2812,4,0,19159.187806,1.0102281218,1.0102281218,1
0,112.007461,2125755,2125636,119,2916,4,0,18619.270011,1.0102281218,1.0102281218,1
0,114.007585,2163350,2163231,119,2934,4,0,18796.339533,1.0102281218,1.0102281218,1
0,116.007708,2201245,2201120,125,2962,4,0,18946.334772,1.0102281218,1.0102281218,1
0,118.007837,2238769,2238644,125,2977,4,0,18760.790398,1.0102281218,1.0102281218,1
0,120.007959,2276853,2276728,125,3016,4,0,19040.840879,1.0102281218,1.0102281218,1
0,122.008084,2314512,2314387,125,3043,4,0,18828.316452,1.0102281218,1.0102281218,1
0,124.008207,2352502,2352377,125,3077,4,0,18993.833703,1.0102281218,1.0102281218,1
0,126.008328,2389764,2389639,125,3091,4,0,18629.870471,1.0102281218,1.0102281218,1
0,128.008455,2427972,2427847,125,3134,4,0,19102.789093,1.0102281218,1.0102281218,1
0,130.008596,2465518,2465393,125,3164,4,0,18771.681383,1.0102281218,1.0102281218,1
0,132.008724,2503103,2502978,125,3194,4,0,18791.295140,1.0102281218,1.0102281218,1
0,134.008845,2541175,2541050,125,3257,4,0,19034.849305,1.0102281218,1.0102281218,1
0,136.008976,2579243,2579118,125,3315,4,0,19032.751090,1.0102281218,1.0102281218,1
0,138.009122,2616887,2616762,125,3370,4,0,18820.625219,1.0102281218,1.0102281218,1
0,140.009445,2654929,2654804,125,3450,4,0,19017.932759,1.0102281218,1.0102281218,1
0,142.009563,2693030,2692903,127,3552,4,0,19049.370810,1.0102281218,1.0102281218,1
0,144.009694,2730727,2730600,127,3649,4,0,18847.264496,1.0102281218,1.0102281218,1
0,146.009821,2768004,2767877,127,3657,4,0,18637.321497,1.0102281218,1.0102281218,1
0,148.009964,2805443,2805316,127,3668,4,0,18718.156691,1.0102281218,1.0102281218,1
0,150.010082,2842429,2842301,128,3684,5,0,18491.907794,0.9357528682,0.9357528682,2
0,152.010203,2879468,2879340,128,3690,5,0,18518.384480,0.9357528682,0.9357528682,2
0,154.010328,2916312,2916184,128,3699,5,0,18420.846938,0.9357528682,0.9357528682,2
0,156.010447,2953002,2952874,128,3705,5,0,18343.909014,0.9357528682,0.9357528682,2
0,158.010537,2990022,2989894,128,3712,5,0,18509.166051,0.9357528682,0.9357528682,2
0,160.010640,3027338,3027210,128,3723,5,0,18657.043827,0.9357528682,0.9357528682,2
0,161.542682,3055725,3055597,128,3735,5,0,18915.904655,0.9357528682,0.9357528682,2
1,2.000291,38161,38158,3,30,1,0,19077.222824,0.9357528682,0.9357528682,0
1,4.000413,75909,75906,3,48,1,0,18872.848643,0.9357528682,0.9357528682,0
1,6.000503,113635,113632,3,65,1,0,18862.154164,0.9357528682,0.9357528682,0
1,8.000597,151293,151290,3,85,1,0,18828.115107,0.9357528682,0.9357528682,0
1,10.000712,189184,189181,3,116,1,0,18944.412951,0.9357528682,0.9357528682,0
1,12.000859,227186,227183,3,154,1,0,18999.604090,0.9357528682,0.9357528682,0
1,14.001047,264627,264624,3,184,1,0,18718.734861,0.9357528682,0.9357528682,0
1,16.001178,302083,302080,3,234,1,0,18726.778845,0.9357528682,0.9357528682,0
1,17.425429,327993,327990,3,255,1,0,18822.715602,0.9357528682,0.9357528682,0
