phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	7	0
0	2	35	35	0
0	3	34	139	0
0	4	33	535	0
0	5	32	1793	0
0	6	31	5043	0
0	7	30	12906	0
0	8	29	29081	0
0	9	28	54913	0
0	10	27	102163	0
0	11	26	158767	0
0	12	25	238303	0
0	13	24	320236	0
0	14	23	438212	0
0	15	22	542859	0
0	16	21	609133	0
0	17	20	650361	0
0	18	19	664464	0
0	19	18	634952	0
0	20	17	559113	0
0	21	16	450330	0
0	22	15	363474	0
0	23	14	279339	0
0	24	13	183553	0
0	25	12	120961	0
0	26	11	70001	0
0	27	10	39608	0
0	28	9	0	288
0	29	8	0	190
0	30	7	0	96
0	31	6	0	51
0	32	5	0	17
0	33	4	0	9
0	34	3	0	8
0	35	2	0	0
0	36	1	0	0
0	37	0	0	7
1	0	-1	1	0
1	1	36	7	0
1	2	35	31	0
1	3	34	129	0
1	4	33	435	0
1	5	32	1263	0
1	6	31	3097	0
1	7	30	6725	0
1	8	29	12699	0
1	9	28	23365	0
1	10	27	40725	0
1	11	26	62787	0
1	12	25	87163	0
1	13	24	116475	0
1	14	23	139821	0
1	15	22	154989	0
1	16	21	162099	0
1	17	20	165103	0
1	18	19	151017	0
1	19	18	124409	0
1	20	17	92703	0
1	21	16	69693	0
1	22	15	49959	0
1	23	14	34015	0
1	24	13	21845	0
1	25	12	13087	0
1	26	11	7351	0
1	27	10	3897	0
1	28	9	0	9
1	29	8	0	21
1	30	7	0	12
1	31	6	0	7
1	32	5	0	0
1	33	4	0	0
1	34	3	0	0
1	35	2	0	0
1	36	1	0	0
1	37	0	0	2
