phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000124,38758,38721,37,52,0,0,19377.296505,1.1502987154,1.1502987154,0
0,4.000241,77452,77391,61,103,0,0,19345.875008,1.1502987154,1.1502987154,0
0,6.000331,116562,116487,75,166,0,0,19554.120211,1.1502987154,1.1502987154,0
0,8.000443,154097,154022,75,183,0,0,18766.448197,1.1502987154,1.1502987154,0
0,10.000524,192667,192567,100,229,0,0,19284.219616,1.1502987154,1.1502987154,0
0,12.000619,231424,231314,110,284,0,0,19377.576600,1.1502987154,1.1502987154,0
0,14.000726,269278,269166,112,306,0,0,18925.987715,1.1502987154,1.1502987154,0
0,16.000814,306999,306883,116,323,0,0,18859.663998,1.1502987154,1.1502987154,0
0,18.000916,345439,345302,137,369,0,0,19219.021319,1.1502987154,1.1502987154,0
0,20.000984,384956,384811,145,449,0,0,19757.829419,1.1502987154,1.1502987154,0
0,22.001089,423401,423256,145,494,0,0,19221.496869,1.1502987154,1.1502987154,0
0,24.001219,461834,461689,145,537,0,0,19215.248050,1.1502987154,1.1502987154,0
0,26.001339,500567,500422,145,596,0,0,19365.340859,1.1502987154,1.1502987154,0
0,28.001462,538833,538688,145,639,0,0,19131.815769,1.1502987154,1.1502987154,0
0,30.001592,576231,576086,145,652,0,0,18697.790253,1.1502987154,1.1502987154,0
0,32.001703,613908,613757,151,676,0,0,18837.449756,1.1502987154,1.1502987154,0
0,34.001796,652128,651965,163,713,0,0,19109.111742,1.1502987154,1.1502987154,0
0,36.001897,689814,689647,167,737,0,0,18842.054835,1.1502987154,1.1502987154,0
0,38.001984,727789,727610,179,772,0,0,18986.665973,1.1502987154,1.1502987154,0
0,40.002105,765690,765507,183,807,0,0,18949.361778,1.1502987154,1.1502987154,0
0,42.002213,803857,803653,204,848,0,0,19082.461981,1.1502987154,1.1502987154,0
0,44.002337,841955,841748,207,888,0,0,19047.824035,1.1502987154,1.1502987154,0
0,46.002457,880514,880305,209,946,0,0,19278.346037,1.1502987154,1.1502987154,0
0,48.002652,918771,918552,219,986,0,0,19126.635277,1.1502987154,1.1502987154,0
0,50.002774,956494,956273,221,1012,0,0,18860.341504,1.1502987154,1.1502987154,0
0,52.002900,994978,994753,225,1070,0,0,19240.788013,1.1502987154,1.1502987154,0
0,54.003028,1031881,1031654,227,1099,0,0,18450.318884,1.1502987154,1.1502987154,0
0,56.003147,1069871,1069641,230,1138,0,0,18993.869494,1.1502987154,1.1502987154,0
0,58.003281,1108451,1108218,233,1197,0,0,19288.713809,1.1502987154,1.1502987154,0
0,60.003444,1147182,1146947,235,1258,0,0,19363.915974,1.1502987154,1.1502987154,0
0,62.003556,1184864,1184625,239,1290,0,0,18839.945557,1.1502987154,1.1502987154,0
0,64.003667,1223129,1222886,243,1339,0,0,19131.441649,1.1502987154,1.1502987154,0
0,66.003789,1261853,1261608,245,1406,0,0,19360.823423,1.1502987154,1.1502987154,0
0,68.003913,1299402,1299157,245,1440,0,0,18773.334533,1.1502987154,1.1502987154,0
0,70.004017,1338057,1337808,249,1508,0,0,19326.492848,1.1502987154,1.1502987154,0
0,72.004120,1376150,1375899,251,1549,0,0,19045.521260,1.1502987154,1.1502987154,0
0,74.004211,1414683,1414432,251,1614,0,0,19265.624252,1.1502987154,1.1502987154,0
0,76.004306,1454004,1453751,253,1707,0,0,19659.562445,1.1502987154,1.1502987154,0
0,78.004393,1491987,1491730,257,1751,0,0,18990.669234,1.1502987154,1.1502987154,0
0,80.004487,1530606,1530345,261,1813,0,0,19308.598945,1.1502987154,1.1502987154,0
0,82.004602,1568895,1568634,261,1863,0,0,19143.393780,1.1502987154,1.1502987154,0
0,84.004714,1607162,1606901,261,1929,0,0,19132.432162,1.1502987154,1.1502987154,0
0,86.004820,1645137,1644876,261,1977,0,0,18986.493507,1.1502987154,1.1502987154,0
0,88.004936,1683331,1683068,263,2028,0,0,19095.890586,1.1502987154,1.1502987154,0
0,90.005043,1720999,1720736,263,2055,0,0,18832.991051,1.1502987154,1.1502987154,0
0,92.005156,1759118,1758855,263,2094,0,0,19058.428707,1.1502987154,1.1502987154,0
0,94.005267,1797258,1796995,263,2134,0,0,19068.936678,1.1502987154,1.1502987154,0
0,96.005407,1836205,1835936,269,2209,0,0,19472.140007,1.1502987154,1.1502987154,0
0,98.005525,1874386,1874117,269,2253,0,0,19089.377296,1.1502987154,1.1502987154,0
0,100.005666,1913151,1912880,271,2326,0,0,19381.129221,1.1502987154,1.1502987154,0
0,102.005786,1951575,1951298,277,2392,0,0,19210.851700,1.1502987154,1.1502987154,0
0,104.005879,1989603,1989326,277,2437,0,0,19013.116841,1.1502987154,1.1502987154,0
0,106.005986,2026472,2026186,286,2483,0,0,18433.510434,1.1502987154,1.1502987154,0
0,108.006102,2065928,2065636,292,2590,2,0,19726.850931,1.1380010362,1.1380010362,1
0,110.006219,2106432,2106140,292,2770,2,0,20250.822344,1.1380010362,1.1380010362,1
0,112.006344,2145449,2145157,292,2925,2,0,19507.274085,1.1380010362,1.1380010362,1
0,114.006473,2184998,2184706,292,3064,2,0,19773.231804,1.1380010362,1.1380010362,1
0,116.006616,2224854,2224540,314,3301,2,0,19926.576216,1.1380010362,1.1380010362,1
0,118.006751,2263726,2263412,314,3452,2,0,19434.680949,1.1380010362,1.1380010362,1
0,120.006872,2302711,2302397,314,3539,2,0,19491.321681,1.1380010362,1.1380010362,1
0,122.006988,2342828,2342508,320,3675,2,0,20057.335591,1.1380010362,1.1380010362,1
0,124.007111,2381765,2381445,320,3792,2,0,19467.305671,1.1380010362,1.1380010362,1
0,126.007220,2421536,2421214,322,3941,2,0,19884.412273,1.1380010362,1.1380010362,1
0,128.007308,2461594,2461268,326,4112,2,0,20028.120265,1.1380010362,1.1380010362,1
