phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	36	1	0	0	7	0	0	0.65805268287658691	0	2.8989786513210012	-2	2	5612	-0.99962519441983833	3.4166179534227767
0	2	35	2	1	0	30	0	0	0.65805268287658691	0	2.8762405875449955	-2	2	5498	-0.99961742289635003	3.4166179534227767
0	3	34	3	2	0	117	0	0	0.65805268287658691	0	2.8662618907531554	-2	2	2940	-1	0
0	4	33	4	3	0	390	0	0	0.65805268287658691	0	2.7518687519539848	-2	2	1307	-1	0
0	5	32	1530716	4	-1	1232	0	0.07930847363906128	0.65805268287658691	0	2.8805176207922818	-2	2	407	-1	0
0	6	31	1530717	1530716	0	3404	0.07930847363906128	0.085296118087797121	0.65805268287658691	-0.27510171602502187	2.7046347700346569	-2	2	197	-1	0
0	7	30	1530718	1530717	0	8069	0.085296118087797121	0.10743942429165239	0.65805268287658691	-0.48744725526253607	2.4790850953004573	-2	1	97	-1	0
0	8	29	3696686	1530718	1	17337	0.10743942429165239	0.13795959048399675	0.65805268287658691	0.44450071691608006	2.3594641778479803	-1	2	47	-1	0
0	9	28	3696687	3696686	0	33816	0.13795959048399675	0.13810811652886143	0.65805268287658691	0.036624805796664016	2.1672777143213091	-2	2	35	-1	0
0	10	27	3847513	3696687	-1	57899	0.13810811652886143	0.18816428221466339	0.65805268287658691	-0.3794419397893794	2.000009935578229	-2	1	16	-1	0
0	11	26	3847514	3847513	-1	88444	0.18816428221466339	0.20299227128626385	0.65805268287658691	-1.3134571840938865	1.7645520009091817	-3	0	9	-1	0
0	12	25	3847515	3847514	1	135929	0.20299227128626385	0.20519415585862261	0.65805268287658691	0.87342494413626548	1.8196396062223672	0	2	7	-1	0
0	13	24	3847516	3847515	1	198375	0.20519415585862261	0.20760888035599911	0.65805268287658691	0.86933494409678069	1.7893979661783526	0	2	4	-1	0
0	14	23	3847517	3847516	0	260043	0.20760888035599911	0.21635692129966624	0.65805268287658691	0.23056928323643525	1.6544984094683652	-1	1	2	-1	0
0	15	22	3847518	3847517	1	330547	0.21635692129966624	0.2178035769821704	0.65805268287658691	1.0941556418301268	1.6452252850882696	0	2	1	-1	0
0	16	21	4257804	3847518	-1	390882	0.2178035769821704	0.30931365397086941	0.65805268287658691	-0.28229462925597398	1.5742038750366294	-1	1	0	0	0
0	17	20	4257805	4257804	0	429893	0.30931365397086941	0.30996419820073529	0.65805268287658691	0.057807820301472079	1.3384386109758211	-1	1	0	0	0
0	18	19	4257806	4257805	0	429946	0.30996419820073529	0.31026363933237455	0.65805268287658691	0.036655273091701059	1.2497569482156323	-1	1	0	0	0
0	19	18	4257807	4257806	0	422895	0.31026363933237455	0.31063651986175977	0.65805268287658691	-0.041402354266887265	1.2644397261128986	-1	1	0	0	0
0	20	17	4257808	4257807	-1	394781	0.31063651986175977	0.31215577564683467	0.65805268287658691	-1.0814509601821336	1.2317023462647174	-2	0	0	0	0
0	21	16	4257809	4257808	1	329259	0.31215577564683467	0.32030244096934019	0.65805268287658691	0.82774089156694564	1.1224463626722605	0	1	0	0	0
0	22	15	4257810	4257809	-1	259129	0.32030244096934019	0.32060869702778044	0.65805268287658691	-1.0324272700825583	1.0768764479597739	-2	0	0	0	0
0	23	14	4257811	4257810	1	185467	0.32060869702778044	0.32078441550214326	0.65805268287658691	1.0227374402183536	0.99639996676696174	1	2	0	0	0
0	24	13	4257812	4257811	0	125184	0.32078441550214326	0.32442745563983616	0.65805268287658691	0.10004725922207328	0.96263347162117774	0	1	0	0	0
0	25	12	4257813	4257812	0	78416	0.32442745563983616	0.34348893362201055	0.65805268287658691	-0.21610486801011317	0.90409840982759793	-1	0	0	0	0
0	26	11	4257814	4257813	0	47457	0.34348893362201055	0.40550176415530881	0.65805268287658691	0.38331837500585331	0.86332277335264218	0	1	0	0	0
0	27	10	4257815	4257814	1	28878	0.40550176415530881	0.40555208198404558	0.65805268287658691	0.98877493744620648	0.79524747696803688	1	1	0	0	0
0	28	9	-1	-1	-1	0	0.40555208198404558	0.40762223689306804	0.65805268287658691	-1.0674294549311438	0.74469670909560415	-1	-1	0	0	0
0	29	8	-1	-1	1	0	0.40762223689306804	0.42502394404302463	0.65805268287658691	0.82664778285392893	0.65762306387270242	1	1	0	0	0
0	30	7	-1	-1	3	0	0.42502394404302463	0.46258456261671327	0.65805268287658691	2.7477593018233462	0.62828043281493029	3	3	0	0	0
0	31	6	-1	-1	-1	0	0.46258456261671327	0.56028464835384073	0.65805268287658691	-0.6199345983025466	0.53758709202260258	-1	-1	0	0	0
0	32	5	-1	-1	0	0	0.56028464835384073	0.56626257914384359	0.65805268287658691	0.095028159855706007	0.38430436782397742	0	0	0	0	0
0	33	4	-1	-1	-1	0	0.56626257914384359	0.56678627202526688	0.65805268287658691	-1.0268493782708421	0.35546253077944312	-1	-1	0	0	0
0	34	3	-1	-1	0	0	0.56678627202526688	0.56766118668581089	0.65805268287658691	-0.031887312765052828	0.3256796034009512	0	0	0	0	0
0	35	2	-1	-1	-3	0	0.56766118668581089	0.56824976703976471	0.65805268287658691	-2.9748785496251067	0.3113189924175897	-3	-3	0	0	0
0	36	1	-1	-1	2	0	0.56824976703976471	0.57105808049530038	0.65805268287658691	2.0511993731074503	0.2895256678702422	2	2	0	0	0
0	37	0	-1	-1	0	0	0.57105808049530038	0.65472722053527832	0.65805268287658691	-0.28082859962232187	0.28635504269074596	0	0	0	0	0
