phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	7	0
0	2	35	33	0
0	3	34	131	0
0	4	33	455	0
0	5	32	1359	0
0	6	31	3737	0
0	7	30	9169	0
0	8	29	20319	0
0	9	28	41431	0
0	10	27	73981	0
0	11	26	119085	0
0	12	25	173209	0
0	13	24	233248	0
0	14	23	289795	0
0	15	22	331028	0
0	16	21	366736	0
0	17	20	390092	0
0	18	19	358996	0
0	19	18	318049	0
0	20	17	256433	0
0	21	16	200799	0
0	22	15	146842	0
0	23	14	100020	0
0	24	13	65267	0
0	25	12	38118	0
0	26	11	21876	0
0	27	10	12214	0
0	28	9	0	111
0	29	8	0	134
0	30	7	0	64
0	31	6	0	39
0	32	5	0	14
0	33	4	0	3
0	34	3	0	4
0	35	2	0	0
0	36	1	0	0
0	37	0	0	6
1	0	-1	1	0
1	1	36	5	0
1	2	35	23	0
1	3	34	97	0
1	4	33	305	0
1	5	32	843	0
1	6	31	2091	0
1	7	30	4873	0
1	8	29	11009	0
1	9	28	21539	0
1	10	27	35171	0
1	11	26	52005	0
1	12	25	72593	0
1	13	24	89151	0
1	14	23	109313	0
1	15	22	121531	0
1	16	21	129003	0
1	17	20	120773	0
1	18	19	108975	0
1	19	18	88479	0
1	20	17	73109	0
1	21	16	54109	0
1	22	15	37169	0
1	23	14	23687	0
1	24	13	14881	0
1	25	12	9013	0
1	26	11	5273	0
1	27	10	2883	0
1	28	9	0	19
1	29	8	0	14
1	30	7	0	9
1	31	6	0	3
1	32	5	0	2
1	33	4	0	0
1	34	3	0	0
1	35	2	0	0
1	36	1	0	0
1	37	0	0	2
