phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	36	7	0
0	2	35	35	0
0	3	34	131	0
0	4	33	404	0
0	5	32	1037	0
0	6	31	2356	0
0	7	30	4798	0
0	8	29	9908	0
0	9	28	17157	0
0	10	27	27743	0
0	11	26	45029	0
0	12	25	62134	0
0	13	24	77656	0
0	14	23	83654	0
0	15	22	83142	0
0	16	21	79641	0
0	17	20	69737	0
0	18	19	60195	0
0	19	18	51047	0
0	20	17	40149	0
0	21	16	29512	0
0	22	15	19477	0
0	23	14	12765	0
0	24	13	7819	0
0	25	12	4973	0
0	26	11	2969	0
0	27	10	1692	0
0	28	9	0	21
0	29	8	0	24
0	30	7	0	36
0	31	6	0	22
0	32	5	0	14
0	33	4	0	10
0	34	3	0	8
0	35	2	0	2
0	36	1	0	1
0	37	0	0	3
1	0	-1	1	0
1	1	36	5	0
1	2	35	19	0
1	3	34	69	0
1	4	33	219	0
1	5	32	535	0
1	6	31	1295	0
1	7	30	2779	0
1	8	29	5843	0
1	9	28	10849	0
1	10	27	17701	0
1	11	26	27505	0
1	12	25	40559	0
1	13	24	56261	0
1	14	23	67947	0
1	15	22	75763	0
1	16	21	74953	0
1	17	20	75221	0
1	18	19	65751	0
1	19	18	56207	0
1	20	17	42705	0
1	21	16	29155	0
1	22	15	20845	0
1	23	14	13299	0
1	24	13	8085	0
1	25	12	4819	0
1	26	11	2765	0
1	27	10	1579	0
1	28	9	0	15
1	29	8	0	6
1	30	7	0	0
1	31	6	0	0
1	32	5	0	0
1	33	4	0	0
1	34	3	0	0
1	35	2	0	0
1	36	1	0	0
1	37	0	0	2
