phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	36	1	0	0	7	0	0	1.5605273246765137	0	3.1975221448356739	-3	3	23	-0.95542171535985032	0.23408001197061906
0	2	35	2	1	0	35	0	0	1.5605273246765137	0	3.263199088916406	-3	3	10	-0.89746994532765567	0.23408001197061906
0	3	34	594	2	-1	117	0	0.14523079503296119	1.5605273246765137	0	3.2779802406312126	-3	3	4	-0.74367486331913946	0.23408001197061906
0	4	33	71066	594	1	224	0.14523079503296119	0.470568736294043	1.5605273246765137	-0.48944611943307498	3.1065701225104507	-3	2	0	0	0
0	5	32	71067	71066	0	405	0.470568736294043	0.47219459339879244	1.5605273246765137	0.095238026662336717	2.4658928453659019	-2	2	0	0	0
0	6	31	71068	71067	0	756	0.47219459339879244	0.47723128433150264	1.5605273246765137	0.16170440538386982	2.3770047307543218	-2	2	0	0	0
0	7	30	71069	71068	1	1294	0.47723128433150264	0.50930710202142715	1.5605273246765137	0.6061602749888082	2.2887809452606378	-1	2	0	0	0
0	8	29	71070	71069	0	2276	0.50930710202142715	0.52224313736291728	1.5605273246765137	0.26624238203446066	2.4000674497568566	-2	2	0	0	0
0	9	28	71071	71070	0	3423	0.52224313736291728	0.54018164707848004	1.5605273246765137	-0.28188812997179041	2.1445774169810847	-2	1	0	0	0
0	10	27	71072	71071	0	4825	0.54018164707848004	0.58881002758908174	1.5605273246765137	0.45105337701651049	2.0661255109340613	-1	2	0	0	0
0	11	26	71073	71072	-1	6899	0.58881002758908174	0.6076426014496531	1.5605273246765137	-0.70633439232224493	2.1094450398778171	-2	1	0	0	0
0	12	25	71074	71073	-1	8168	0.6076426014496531	0.61905908857196212	1.5605273246765137	-0.79763739042337478	1.8487756303340617	-2	1	0	0	0
0	13	24	71075	71074	-1	8736	0.61905908857196212	0.63040999173955026	1.5605273246765137	-0.81056957461863932	1.7251917043037757	-2	0	0	0	0
0	14	23	71076	71075	1	8002	0.63040999173955026	0.63133967407370395	1.5605273246765137	1.0484080695808307	1.5311556586315134	0	2	0	0	0
0	15	22	71077	71076	0	6842	0.63133967407370395	0.63151156830735666	1.5605273246765137	-0.019794762270241288	1.4553630714154806	-1	1	0	0	0
0	16	21	71078	71077	-2	5507	0.63151156830735666	0.6553112731877444	1.5605273246765137	-2.2306315142308115	1.4409350465123032	-3	-1	0	0	0
0	17	20	71079	71078	-1	4205	0.6553112731877444	0.70271138831214419	1.5605273246765137	-0.69321700232017036	1.340657097515894	-2	0	0	0	0
0	18	19	71080	71079	-1	3067	0.70271138831214419	0.70460905647079175	1.5605273246765137	-0.93770265534606823	1.3245137027318801	-2	0	0	0	0
0	19	18	71081	71080	1	2239	0.70460905647079175	0.71291010715508063	1.5605273246765137	0.86963280714307312	1.3237864433833078	0	2	0	0	0
0	20	17	71082	71081	0	1495	0.71291010715508063	0.71843809478819021	1.5605273246765137	-0.1005036848106744	1.2445098500910436	-1	1	0	0	0
0	21	16	71083	71082	0	983	0.71843809478819021	0.74352751414215956	1.5605273246765137	0.2053374998131797	1.1896029183380357	0	1	0	0	0
0	22	15	71084	71083	-2	645	0.74352751414215956	0.74532939451462976	1.5605273246765137	-1.9496978816942137	1.0711104956118227	-3	-1	0	0	0
0	23	14	71085	71084	0	391	0.74532939451462976	0.84203704695641468	1.5605273246765137	-0.37619918688429627	1.0922422357174897	-1	0	0	0	0
0	24	13	71086	71085	-1	250	0.84203704695641468	0.87364235608493146	1.5605273246765137	-1.2024018465206838	0.96503907147812173	-2	-1	0	0	0
0	25	12	71087	71086	-2	175	0.87364235608493146	0.88171683421984848	1.5605273246765137	-2.110740832970579	1.0213922559171904	-3	-2	0	0	0
0	26	11	71088	71087	-1	131	0.88171683421984848	0.8985021212278671	1.5605273246765137	-0.84835883592451278	0.96433292834483031	-1	0	0	0	0
0	27	10	71089	71088	1	93	0.8985021212278671	0.90238693404531345	1.5605273246765137	0.93054171124561746	0.90672646557948677	1	1	0	0	0
0	28	9	-1	-1	1	0	0.90238693404531345	0.94230925056142945	1.5605273246765137	1.2131951395128708	0.86562283560421804	1	2	0	0	0
0	29	8	-1	-1	-3	0	0.94230925056142945	0.95762187144674638	1.5605273246765137	-2.8755429715751886	0.79079790705626618	-3	-3	0	0	0
0	30	7	-1	-1	-1	0	0.95762187144674638	0.99263250296010963	1.5605273246765137	-0.79566664348287974	0.84793761809128476	-1	0	0	0	0
0	31	6	-1	-1	0	0	0.99263250296010963	0.99839339949381622	1.5605273246765137	0.074380986269402191	0.73850059462609319	0	0	0	0	0
0	32	5	-1	-1	0	0	0.99839339949381622	1.0036974036116308	1.5605273246765137	-0.064874024139485051	0.66786519271616251	0	0	0	0	0
0	33	4	-1	-1	1	0	1.0036974036116308	1.0061664660442635	1.5605273246765137	1.0396140044412785	0.5949000317047568	1	1	0	0	0
0	34	3	-1	-1	2	0	1.0061664660442635	1.0328744946615032	1.5605273246765137	1.8689566962997213	0.59702180945376448	2	2	0	0	0
0	35	2	-1	-1	-2	0	1.0328744946615032	1.0898690118487369	1.5605273246765137	-2.1859574736780729	0.56581080127112748	-2	-2	0	0	0
0	36	1	-1	-1	2	0	1.0898690118487369	1.0983310674245517	1.5605273246765137	1.9273976696783901	0.54145889257381197	2	2	0	0	0
0	37	0	-1	-1	-1	0	1.0983310674245517	1.1054344177246094	1.5605273246765137	-0.93796487272381579	0.50040227284816885	-1	-1	0	0	0
