phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000293,38733,38659,74,51,0,0,19363.161390,1.1449207676,1.1449207676,0
0,4.000409,76631,76520,111,75,2,0,18947.902888,0.9575438628,0.9575438628,2
0,6.000528,114193,114082,111,106,2,0,18779.882372,0.9575438628,0.9575438628,2
0,8.000639,151937,151824,113,142,2,0,18870.949917,0.9575438628,0.9575438628,2
0,10.000758,190323,190210,113,191,2,0,19191.863026,0.9575438628,0.9575438628,2
0,12.000886,228599,228486,113,259,2,0,19136.777409,0.9575438628,0.9575438628,2
0,14.001005,266823,266710,113,341,2,0,19110.859598,0.9575438628,0.9575438628,2
0,16.001131,304851,304736,115,429,2,0,19012.804579,0.9575438628,0.9575438628,2
0,18.001266,343452,343331,121,547,2,0,19299.198597,0.9575438628,0.9575438628,2
0,20.001411,381029,380908,121,561,2,0,18787.132090,0.9575438628,0.9575438628,2
0,22.001615,418289,418168,121,573,2,0,18628.104153,0.9575438628,0.9575438628,2
0,24.001736,456114,455993,121,616,2,0,18911.356979,0.9575438628,0.9575438628,2
0,26.001855,493836,493713,123,669,2,0,18859.877498,0.9575438628,0.9575438628,2
0,28.001946,530985,530862,123,700,2,0,18573.655744,0.9575438628,0.9575438628,2
0,30.002069,568303,568180,123,709,2,0,18657.848857,0.9575438628,0.9575438628,2
0,32.002209,605831,605708,123,723,2,0,18762.688282,0.9575438628,0.9575438628,2
0,34.002303,643402,643275,127,742,2,0,18784.612408,0.9575438628,0.9575438628,2
0,36.002427,680892,680765,127,762,2,0,18743.836092,0.9575438628,0.9575438628,2
0,38.002540,718150,718023,127,778,2,0,18627.955540,0.9575438628,0.9575438628,2
0,40.002654,755880,755749,131,817,2,0,18863.923521,0.9575438628,0.9575438628,2
0,42.002784,793379,793238,141,870,2,0,18748.279600,0.9575438628,0.9575438628,2
0,42.107717,795309,795168,141,882,2,0,18887.503783,0.9575438628,0.9575438628,2
1,2.000161,37990,37983,7,23,1,0,18992.967249,0.9575438628,0.9575438628,0
1,4.000252,76016,76005,11,51,1,0,19012.141079,0.9575438628,0.9575438628,0
1,6.000377,113970,113959,11,77,1,0,18975.814989,0.9575438628,0.9575438628,0
1,8.000497,151804,151791,13,101,1,0,18915.862003,0.9575438628,0.9575438628,0
1,10.000618,189295,189282,13,114,1,0,18744.363951,0.9575438628,0.9575438628,0
1,12.000728,227379,227363,16,147,1,0,19040.958555,0.9575438628,0.9575438628,0
1,14.000845,265088,265071,17,171,1,0,18853.396520,0.9575438628,0.9575438628,0
1,16.000965,302955,302938,17,199,1,0,18932.358521,0.9575438628,0.9575438628,0
1,18.001092,341401,341384,17,252,1,0,19221.782925,0.9575438628,0.9575438628,0
1,20.001191,379386,379369,17,289,1,0,18991.559149,0.9575438628,0.9575438628,0
1,22.001310,417561,417544,17,346,1,0,19086.367033,0.9575438628,0.9575438628,0
1,24.001442,455970,455953,17,408,1,0,19203.224973,0.9575438628,0.9575438628,0
1,26.001562,493528,493511,17,473,1,0,18777.877308,0.9575438628,0.9575438628,0
1,28.001687,531260,531243,17,563,1,0,18864.818251,0.9575438628,0.9575438628,0
1,30.001806,568479,568462,17,614,1,0,18608.398606,0.9575438628,0.9575438628,0
1,32.001926,606268,606245,23,685,1,0,18893.360201,0.9575438628,0.9575438628,0
1,34.002048,643490,643467,23,726,1,0,18609.869264,0.9575438628,0.9575438628,0
1,36.002171,680342,680319,23,755,1,0,18424.864641,0.9575438628,0.9575438628,0
1,37.215137,702757,702734,23,771,1,0,18883.653550,0.9575438628,0.9575438628,0
