phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000147,38907,38861,46,58,1,0,19451.565924,1.0948512150,1.0948512150,0
0,4.000269,77030,76964,66,88,1,0,19060.344047,1.0948512150,1.0948512150,0
0,6.000388,115400,115308,92,129,1,0,19183.854273,1.0948512150,1.0948512150,0
0,8.000491,153541,153429,112,162,1,0,19069.516709,1.0948512150,1.0948512150,0
0,10.000622,192161,192031,130,214,1,0,19308.741080,1.0948512150,1.0948512150,0
0,12.000774,229735,229605,130,234,1,0,18785.571029,1.0948512150,1.0948512150,0
0,14.000889,268608,268422,186,303,1,0,19435.385604,1.0948512150,1.0948512150,0
0,16.000962,310150,309891,259,552,2,0,20770.231948,1.0740177907,1.0740177907,1
0,18.001054,350157,349836,321,721,2,0,20002.585052,1.0740177907,1.0740177907,1
0,20.001142,391010,390638,372,946,2,0,20425.602713,1.0740177907,1.0740177907,1
0,22.001224,429273,428897,376,1028,2,0,19130.711203,1.0740177907,1.0740177907,1
0,24.001323,469451,469039,412,1255,2,0,20088.006437,1.0740177907,1.0740177907,1
0,26.001436,508498,508050,448,1408,2,0,19522.399952,1.0740177907,1.0740177907,1
0,28.001552,548976,548485,491,1685,2,0,20237.826155,1.0740177907,1.0740177907,1
0,30.001668,589724,589201,523,1928,2,0,20372.816757,1.0740177907,1.0740177907,1
0,32.001780,629382,628843,539,2115,2,0,19827.893643,1.0740177907,1.0740177907,1
0,34.001874,668842,668287,555,2290,2,0,19729.066933,1.0740177907,1.0740177907,1
0,36.001960,706694,706131,563,2316,2,0,18925.189680,1.0740177907,1.0740177907,1
0,38.002072,747314,746723,591,2580,2,0,20308.858591,1.0740177907,1.0740177907,1
0,40.002177,788540,787925,615,2824,2,0,20611.922388,1.0740177907,1.0740177907,1
0,42.002307,829002,828371,631,3155,2,0,20229.682491,1.0740177907,1.0740177907,1
0,44.002425,870125,869488,637,3375,2,0,20560.284507,1.0740177907,1.0740177907,1
0,46.002553,910304,909643,661,3603,2,0,20088.214224,1.0740177907,1.0740177907,1
0,48.002665,950146,949460,686,3868,3,0,19919.883969,1.0702758185,1.0702758185,2
0,50.002759,991134,990412,722,4123,3,0,20493.042340,1.0702758185,1.0702758185,2
0,52.002878,1030656,1029914,742,4361,3,0,19759.818146,1.0702758185,1.0702758185,2
0,54.003011,1071601,1070844,757,4720,4,0,20471.146100,1.0561532269,1.0561532269,3
0,56.003132,1111105,1110338,767,4935,5,0,19750.803506,1.0561532269,1.0561532269,3
0,58.003247,1150074,1149301,773,5042,5,0,19483.382599,1.0561532269,1.0561532269,3
0,60.003357,1190042,1189259,783,5223,5,0,19982.900910,1.0561532269,1.0561532269,3
