phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000137,38079,38047,32,26,0,0,19037.696375,1.1158383339,1.1158383339,0
0,4.000265,75956,75924,32,45,0,0,18937.291384,1.1158383339,1.1158383339,0
0,6.000371,113908,113860,48,70,0,0,18974.990123,1.1158383339,1.1158383339,0
0,8.000468,151565,151511,54,86,0,0,18827.591277,1.1158383339,1.1158383339,0
0,10.000560,189138,189084,54,98,0,0,18785.629305,1.1158383339,1.1158383339,0
0,12.000660,226726,226653,73,110,0,0,18793.059971,1.1158383339,1.1158383339,0
0,14.000752,264407,264329,78,127,0,0,18839.637719,1.1158383339,1.1158383339,0
0,16.000820,302265,302187,78,150,0,0,18928.356597,1.1158383339,1.1158383339,0
0,18.000896,339918,339840,78,164,0,0,18825.784893,1.1158383339,1.1158383339,0
0,20.001024,377235,377157,78,168,0,0,18657.302444,1.1158383339,1.1158383339,0
0,22.001116,415159,415081,78,193,0,0,18961.126366,1.1158383339,1.1158383339,0
0,24.001191,452456,452368,88,201,0,0,18647.803635,1.1158383339,1.1158383339,0
0,26.001262,490076,489988,88,220,0,0,18809.333143,1.1158383339,1.1158383339,0
0,28.001345,527665,527570,95,233,0,0,18793.719788,1.1158383339,1.1158383339,0
0,30.001436,565822,565718,104,268,0,0,19077.635888,1.1158383339,1.1158383339,0
0,32.001554,603458,603353,105,291,0,0,18816.888533,1.1158383339,1.1158383339,0
0,34.001676,640916,640805,111,304,0,0,18727.859024,1.1158383339,1.1158383339,0
0,36.001795,678785,678663,122,325,0,0,18933.373635,1.1158383339,1.1158383339,0
0,38.001912,716921,716799,122,355,0,0,19066.884511,1.1158383339,1.1158383339,0
0,40.002019,754658,754536,122,372,0,0,18867.487552,1.1158383339,1.1158383339,0
0,42.002101,792562,792440,122,396,0,0,18951.220062,1.1158383339,1.1158383339,0
0,44.002182,830224,830102,122,411,0,0,18830.235370,1.1158383339,1.1158383339,0
0,46.002258,868658,868536,122,450,0,0,19216.275652,1.1158383339,1.1158383339,0
0,48.002350,906179,906057,122,462,0,0,18759.631223,1.1158383339,1.1158383339,0
0,50.002456,943867,943740,127,479,0,0,18843.007388,1.1158383339,1.1158383339,0
0,52.002566,981931,981798,133,512,1,0,19030.949996,1.0624551716,1.0624551716,1
0,54.002663,1019320,1019187,133,548,1,0,18693.596436,1.0624551716,1.0624551716,1
0,56.002758,1057489,1057353,136,592,1,0,19083.594045,1.0624551716,1.0624551716,1
0,58.002993,1095414,1095278,136,634,1,0,18960.272623,1.0624551716,1.0624551716,1
0,60.003079,1134100,1133963,137,719,1,0,19342.166333,1.0624551716,1.0624551716,1
0,62.003204,1172634,1172495,139,787,1,0,19265.794087,1.0624551716,1.0624551716,1
0,64.003332,1210909,1210765,144,853,1,0,19136.271528,1.0624551716,1.0624551716,1
0,66.003454,1249230,1249085,145,930,1,0,19159.337651,1.0624551716,1.0624551716,1
0,68.003559,1288461,1288310,151,1094,2,0,19614.464611,1.0438448453,1.0438448453,2
0,70.003663,1327737,1327578,159,1249,2,0,19636.983825,1.0438448453,1.0438448453,2
