phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	37	7	0
0	2	36	33	0
0	3	35	121	0
0	4	34	437	0
0	5	33	1327	0
0	6	32	3355	0
0	7	31	7943	0
0	8	30	16469	0
0	9	29	30781	0
0	10	28	55022	0
0	11	27	88549	0
0	12	26	133000	0
0	13	25	173092	0
0	14	24	205086	0
0	15	23	232205	0
0	16	22	257793	0
0	17	21	273911	0
0	18	20	259328	0
0	19	19	239158	0
0	20	18	190226	0
0	21	17	137530	0
0	22	16	100106	0
0	23	15	65935	0
0	24	14	42198	0
0	25	13	30753	0
0	26	12	19659	0
0	27	11	11741	0
0	28	10	6899	0
0	29	9	0	98
0	30	8	0	132
0	31	7	0	90
0	32	6	0	55
0	33	5	0	40
0	34	4	0	19
0	35	3	0	13
0	36	2	0	7
0	37	1	0	4
0	38	0	0	5
