phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000150,38562,38520,42,42,0,0,19279.054543,1.1007653210,1.1007653210,0
0,4.000263,76089,76047,42,52,0,0,18762.441911,1.1007653210,1.1007653210,0
0,6.000350,113789,113741,48,68,0,0,18849.181663,1.1007653210,1.1007653210,0
0,8.000439,151783,151721,62,90,0,0,18996.155317,1.1007653210,1.1007653210,0
0,10.000538,189500,189438,62,109,0,0,18857.558461,1.1007653210,1.1007653210,0
0,12.000669,227487,227421,66,140,0,0,18992.255124,1.1007653210,1.1007653210,0
0,14.000771,265001,264935,66,149,0,0,18756.045233,1.1007653210,1.1007653210,0
0,16.000860,303001,302929,72,176,0,0,18999.155203,1.1007653210,1.1007653210,0
0,18.000954,340629,340547,82,197,0,0,18813.119029,1.1007653210,1.1007653210,0
0,20.001067,378325,378239,86,216,0,0,18846.933226,1.1007653210,1.1007653210,0
0,22.001260,416209,416122,87,242,0,0,18940.171715,1.1007653210,1.1007653210,0
0,24.001379,454164,454074,90,273,0,0,18976.375223,1.1007653210,1.1007653210,0
0,26.001515,491982,491890,92,296,0,0,18907.713075,1.1007653210,1.1007653210,0
0,28.001617,530038,529942,96,327,0,0,19027.027405,1.1007653210,1.1007653210,0
0,30.001728,567816,567720,96,348,0,0,18887.953192,1.1007653210,1.1007653210,0
0,32.001823,605402,605306,96,364,0,0,18792.105721,1.1007653210,1.1007653210,0
0,34.001930,642833,642737,96,372,0,0,18714.501020,1.1007653210,1.1007653210,0
0,36.002050,680991,680893,98,403,0,0,19077.853793,1.1007653210,1.1007653210,0
0,38.002152,718791,718693,98,424,0,0,18899.037170,1.1007653210,1.1007653210,0
0,40.002244,757029,756931,98,461,0,0,19118.120127,1.1007653210,1.1007653210,0
0,42.002359,794635,794523,112,478,0,0,18801.915863,1.1007653210,1.1007653210,0
0,44.002475,833681,833513,168,546,2,0,19521.871646,1.1007653210,1.1007653210,0
0,46.002571,871902,871696,206,588,2,0,19109.578985,1.1007653210,1.1007653210,0
0,48.002684,911969,911729,240,702,2,0,20032.372939,1.1007653210,1.1007653210,0
0,50.002803,951083,950810,273,783,2,0,19555.829163,1.1007653210,1.1007653210,0
0,52.002901,990543,990261,282,887,2,0,19729.033879,1.1007653210,1.1007653210,0
0,54.003018,1028951,1028633,318,982,2,0,19202.876315,1.1007653210,1.1007653210,0
0,56.003132,1066688,1066326,362,1096,3,0,18867.429679,0.9972162334,0.9972162334,1
0,58.003234,1104102,1103731,371,1208,4,0,18706.041951,0.9972162334,0.9972162334,1
0,60.003335,1145484,1145111,373,1550,4,0,20689.959947,0.9972162334,0.9972162334,1
0,62.003446,1184568,1184165,403,1725,4,0,19540.913525,0.9972162334,0.9972162334,1
0,64.003548,1223153,1222744,409,1877,4,0,19291.515033,0.9972162334,0.9972162334,1
0,66.003675,1260466,1260057,409,1920,4,0,18655.313335,0.9972162334,0.9972162334,1
