phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	37	5	0
0	2	36	23	0
0	3	35	99	0
0	4	34	379	0
0	5	33	1157	0
0	6	32	3165	0
0	7	31	7889	0
0	8	30	17749	0
0	9	29	34709	0
0	10	28	62871	0
0	11	27	107085	0
0	12	26	178715	0
0	13	25	261139	0
0	14	24	352987	0
0	15	23	426769	0
0	16	22	472369	0
0	17	21	492847	0
0	18	20	458871	0
0	19	19	429975	0
0	20	18	382737	0
0	21	17	336489	0
0	22	16	258941	0
0	23	15	192060	0
0	24	14	134136	0
0	25	13	93673	0
0	26	12	62193	0
0	27	11	36777	0
0	28	10	21781	0
0	29	9	0	267
0	30	8	0	279
0	31	7	0	156
0	32	6	0	84
0	33	5	0	52
0	34	4	0	16
0	35	3	0	9
0	36	2	0	7
0	37	1	0	2
0	38	0	0	4
1	0	-1	1	0
1	1	37	5	0
1	2	36	23	0
1	3	35	97	0
1	4	34	315	0
1	5	33	941	0
1	6	32	2501	0
1	7	31	6179	0
1	8	30	14497	0
1	9	29	29849	0
1	10	28	54717	0
1	11	27	92985	0
1	12	26	162109	0
1	13	25	238841	0
1	14	24	321965	0
1	15	23	384335	0
1	16	22	427585	0
1	17	21	436875	0
1	18	20	456449	0
1	19	19	435909	0
1	20	18	406203	0
1	21	17	337453	0
1	22	16	268643	0
1	23	15	209587	0
1	24	14	152883	0
1	25	13	105493	0
1	26	12	63927	0
1	27	11	38929	0
1	28	10	23049	0
1	29	9	0	187
1	30	8	0	167
1	31	7	0	86
1	32	6	0	33
1	33	5	0	12
1	34	4	0	4
1	35	3	0	0
1	36	2	0	1
1	37	1	0	1
1	38	0	0	2
