phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	37	1	0	0	5	0	0	1.4114408493041992	0	2.9357227675222264	-2	2	875	-0.99885714285714289	0
0	2	36	2	1	0	23	0	0	1.4114408493041992	0	2.980105317892499	-2	2	769	-0.99869960988296491	0
0	3	35	3	2	0	99	0	0	1.4114408493041992	0	2.7665476514581036	-2	2	673	-0.99851411589895989	0
0	4	34	4	3	0	363	0	0	1.4114408493041992	0	3.1035369972727374	-3	3	579	-0.99827288428324701	0
0	5	33	5	4	0	999	0	0	1.4114408493041992	0	2.9240377231882344	-2	2	495	-0.99797979797979797	0
0	6	32	6	5	0	2322	0	0	1.4114408493041992	0	2.8000441418341104	-2	2	421	-0.99762470308788598	0
0	7	31	7	6	0	4938	0	0	1.4114408493041992	0	2.7776895190353716	-2	2	353	-0.99716713881019825	0
0	8	30	8	7	0	9616	0	0	1.4114408493041992	0	2.655344665307048	-2	2	295	-0.99661016949152548	0
0	9	29	9	8	0	16456	0	0	1.4114408493041992	0	2.4335664909093282	-2	2	245	-0.99591836734693873	0
0	10	28	10	9	0	26280	0	0	1.4114408493041992	0	2.3731056945416871	-2	2	201	-0.99502487562189057	0
0	11	27	240503	10	-1	39178	0	0.25979654241938738	1.4114408493041992	0	2.3308517821586925	-2	2	19	-1	0
0	12	26	416987	240503	1	57650	0.25979654241938738	0.34255725487055938	1.4114408493041992	0.42174355089555066	2.1570864819357265	-1	2	9	-1	0
0	13	25	416988	416987	1	74284	0.34255725487055938	0.34879888703261563	1.4114408493041992	0.85525662379606548	1.8941519648352558	-1	2	5	-1	0
0	14	24	416989	416988	-1	88474	0.34879888703261563	0.36152317589224903	1.4114408493041992	-0.80170638543855499	1.812113727275158	-2	1	3	-1	0
0	15	23	416990	416989	0	94544	0.36152317589224903	0.36226931824342928	1.4114408493041992	0.04432898826205732	1.6628558277880545	-1	1	1	-1	0
0	16	22	877898	416990	1	92357	0.36226931824342928	0.51680375774876652	1.4114408493041992	0.39645930320650757	1.5725960051431922	-1	1	0	0	0
0	17	21	877899	877898	-1	85055	0.51680375774876652	0.55424238026003458	1.4114408493041992	-0.71206117409175307	1.4075497333139722	-2	0	0	0	0
0	18	20	877900	877899	0	70361	0.55424238026003458	0.57001323513195024	1.4114408493041992	0.17157660912304354	1.2649435832793126	-1	1	0	0	0
0	19	19	877901	877900	-1	58929	0.57001323513195024	0.5701813657111876	1.4114408493041992	-0.98171670693394053	1.2934196257674628	-2	0	0	0	0
0	20	18	877902	877901	0	46904	0.5701813657111876	0.5860788740277636	1.4114408493041992	0.17285191751347917	1.2574034795812086	-1	1	0	0	0
0	21	17	877903	877902	1	37072	0.5860788740277636	0.62646451682435578	1.4114408493041992	0.72061424269547103	1.2630280369404385	0	1	0	0	0
0	22	16	877904	877903	0	25841	0.62646451682435578	0.69262001812134888	1.4114408493041992	-0.32008487397340402	1.1025808633426484	-1	0	0	0	0
0	23	15	877905	877904	-1	17643	0.69262001812134888	0.76025748168924467	1.4114408493041992	-1.3186911819575133	1.0389310298180636	-2	-1	0	0	0
0	24	14	877906	877905	1	11606	0.76025748168924467	0.90393307770018338	1.4114408493041992	0.55315390359301575	0.95130135278485928	0	1	0	0	0
0	25	13	877907	877906	0	7591	0.90393307770018338	0.94634341892952167	1.4114408493041992	0.24692562830365183	0.8541843942010523	0	1	0	0	0
0	26	12	877908	877907	-1	4766	0.94634341892952167	0.97765760438129135	1.4114408493041992	-1.2064929294486857	0.79580487622524088	-2	-1	0	0	0
0	27	11	877909	877908	1	2873	0.97765760438129135	0.97995986895032261	1.4114408493041992	1.0505560005090824	0.69395527474202889	1	1	0	0	0
0	28	10	877910	877909	-1	1706	0.97995986895032261	0.99281609095962908	1.4114408493041992	-1.1223145070811391	0.70860157963392556	-1	-1	0	0	0
0	29	9	-1	-1	0	0	0.99281609095962908	1.1094238243114549	1.4114408493041992	-0.36128368760408397	0.68453732161430625	-1	0	0	0	0
0	30	8	-1	-1	1	0	1.1094238243114549	1.1656823720755412	1.4114408493041992	1.2519247970836733	0.58370359943846328	1	1	0	0	0
0	31	7	-1	-1	0	0	1.1656823720755412	1.2363936353039506	1.4114408493041992	-0.2511741526122806	0.46825767188342249	0	0	0	0	0
0	32	6	-1	-1	2	0	1.2363936353039506	1.303407578518412	1.4114408493041992	1.7612400757403233	0.38588371179207287	2	2	0	0	0
0	33	5	-1	-1	1	0	1.303407578518412	1.3343851299396081	1.4114408493041992	1.1590873728402031	0.29709198066112719	1	1	0	0	0
0	34	4	-1	-1	1	0	1.3343851299396081	1.3360824380992493	1.4114408493041992	0.96226103943562868	0.25427989557612568	1	1	0	0	0
0	35	3	-1	-1	1	0	1.3360824380992493	1.3417716870731542	1.4114408493041992	0.9379247421125847	0.22592117043890531	1	1	0	0	0
0	36	2	-1	-1	-2	0	1.3417716870731542	1.3417766214522124	1.4114408493041992	-2.0017228535026677	0.20471628408471662	-2	-2	0	0	0
0	37	1	-1	-1	2	0	1.3417766214522124	1.3773924780548681	1.4114408493041992	1.8591466534152372	0.19699281528320656	2	2	0	0	0
0	38	0	-1	-1	3	0	1.3773924780548681	1.3776473999023438	1.4114408493041992	3.0134391619476446	0.15531622616886381	3	3	0	0	0
