phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000210,38089,38051,38,25,1,0,19042.000485,1.0676454227,1.0676454227,0
0,4.000340,75360,75321,39,26,1,0,18634.287523,1.0676454227,1.0676454227,0
0,6.000467,112994,112953,41,39,1,0,18815.809909,1.0676454227,1.0676454227,0
0,8.000589,151051,151006,45,68,1,0,19027.332911,1.0676454227,1.0676454227,0
0,10.000705,189736,189677,59,119,1,0,19341.381904,1.0676454227,1.0676454227,0
0,12.000813,227613,227551,62,144,1,0,18937.479317,1.0676454227,1.0676454227,0
0,14.000925,266461,266386,75,203,1,0,19422.910278,1.0676454227,1.0676454227,0
0,16.001053,304083,304008,75,219,1,0,18809.792599,1.0676454227,1.0676454227,0
0,18.001169,341970,341883,87,245,1,0,18942.408179,1.0676454227,1.0676454227,0
0,20.001292,379589,379502,87,263,1,0,18808.340729,1.0676454227,1.0676454227,0
0,22.001417,417732,417645,87,298,1,0,19070.302890,1.0676454227,1.0676454227,0
0,24.001519,457538,457423,115,395,1,0,19901.989785,1.0676454227,1.0676454227,0
0,26.001607,496330,496209,121,460,1,0,19395.143404,1.0676454227,1.0676454227,0
0,28.001784,534177,534054,123,490,1,0,18921.827963,1.0676454227,1.0676454227,0
0,30.001897,572854,572722,132,550,1,0,19337.405638,1.0676454227,1.0676454227,0
0,32.002018,611074,610932,142,591,1,0,19108.844956,1.0676454227,1.0676454227,0
0,34.002233,649016,648871,145,622,1,0,18968.957954,1.0676454227,1.0676454227,0
0,36.002349,688127,687963,164,700,1,0,19554.369581,1.0676454227,1.0676454227,0
0,38.002471,726382,726208,174,757,1,0,19126.335636,1.0676454227,1.0676454227,0
0,40.002589,764694,764513,181,808,1,0,19154.869192,1.0676454227,1.0676454227,0
0,42.002702,802558,802364,194,844,1,0,18930.928311,1.0676454227,1.0676454227,0
0,44.002814,840530,840336,194,902,1,0,18984.932809,1.0676454227,1.0676454227,0
0,46.002930,879634,879420,214,1020,2,0,19550.874329,1.0547869298,1.0547869298,1
0,48.003042,922094,921822,272,1587,3,0,21228.803640,1.0547869298,1.0547869298,1
0,50.003142,963285,962979,306,1906,3,0,20594.470132,1.0547869298,1.0547869298,1
0,52.003270,1001114,1000800,314,1981,3,0,18913.290051,1.0547869298,1.0547869298,1
0,54.003399,1040092,1039756,336,2104,3,0,19487.741433,1.0547869298,1.0547869298,1
0,56.003520,1079785,1079429,356,2317,3,0,19845.306880,1.0547869298,1.0547869298,1
0,58.003639,1118743,1118381,362,2430,3,0,19477.834524,1.0547869298,1.0547869298,1
0,60.003743,1157762,1157388,374,2528,3,0,19508.485334,1.0547869298,1.0547869298,1
0,62.003839,1198141,1197753,388,2727,3,0,20188.535341,1.0547869298,1.0547869298,1
0,64.003959,1236675,1236271,404,2845,3,0,19265.843317,1.0547869298,1.0547869298,1
0,66.004070,1274830,1274424,406,2930,3,0,19076.438768,1.0547869298,1.0547869298,1
0,68.004165,1314139,1313731,408,3095,3,0,19653.567183,1.0547869298,1.0547869298,1
0,70.004272,1353389,1352977,412,3204,3,0,19623.952326,1.0547869298,1.0547869298,1
0,72.004372,1391637,1391225,412,3284,3,0,19123.042863,1.0547869298,1.0547869298,1
0,74.004483,1430892,1430474,418,3409,3,0,19626.408183,1.0547869298,1.0547869298,1
0,76.004584,1470027,1469601,426,3565,3,0,19566.515247,1.0547869298,1.0547869298,1
0,78.004701,1508281,1507855,426,3692,3,0,19125.881700,1.0547869298,1.0547869298,1
0,80.004818,1547126,1546690,436,3857,3,0,19421.364578,1.0547869298,1.0547869298,1
0,82.004946,1586650,1586178,472,4018,3,0,19760.731816,1.0547869298,1.0547869298,1
0,84.005050,1625518,1625046,472,4088,3,0,19432.991049,1.0547869298,1.0547869298,1
0,86.005177,1664550,1664076,474,4189,3,0,19514.758774,1.0547869298,1.0547869298,1
0,88.005305,1703007,1702527,480,4258,3,0,19227.268945,1.0547869298,1.0547869298,1
0,90.005431,1742068,1741576,492,4358,3,0,19529.271111,1.0547869298,1.0547869298,1
0,92.005549,1780631,1780133,498,4461,3,0,19280.368686,1.0547869298,1.0547869298,1
0,94.005670,1819767,1819253,514,4590,3,0,19566.812353,1.0547869298,1.0547869298,1
0,96.005785,1858336,1857812,524,4751,3,0,19283.387618,1.0547869298,1.0547869298,1
0,98.005895,1898198,1897658,540,4963,3,0,19929.903218,1.0547869298,1.0547869298,1
0,100.005980,1938583,1938021,562,5273,3,0,20191.650103,1.0547869298,1.0547869298,1
0,102.006081,1977782,1977196,586,5505,3,0,19598.508737,1.0547869298,1.0547869298,1
