phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	37	7	0
0	2	36	31	0
0	3	35	137	0
0	4	34	511	0
0	5	33	1561	0
0	6	32	4411	0
0	7	31	10553	0
0	8	30	25327	0
0	9	29	54007	0
0	10	28	105100	0
0	11	27	184904	0
0	12	26	299433	0
0	13	25	418792	0
0	14	24	550369	0
0	15	23	713952	0
0	16	22	797927	0
0	17	21	912956	0
0	18	20	942980	0
0	19	19	895812	0
0	20	18	764373	0
0	21	17	618725	0
0	22	16	510287	0
0	23	15	410699	0
0	24	14	304403	0
0	25	13	208946	0
0	26	12	128142	0
0	27	11	79094	0
0	28	10	44331	0
0	29	9	0	461
0	30	8	0	363
0	31	7	0	198
0	32	6	0	101
0	33	5	0	28
0	34	4	0	4
0	35	3	0	1
0	36	2	0	0
0	37	1	0	0
0	38	0	0	9
