phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	37	5	0
0	2	36	21	0
0	3	35	65	0
0	4	34	183	0
0	5	33	521	0
0	6	32	1317	0
0	7	31	2983	0
0	8	30	6541	0
0	9	29	12429	0
0	10	28	22241	0
0	11	27	38186	0
0	12	26	57147	0
0	13	25	77611	0
0	14	24	105699	0
0	15	23	128629	0
0	16	22	149549	0
0	17	21	164065	0
0	18	20	164936	0
0	19	19	162559	0
0	20	18	141654	0
0	21	17	121060	0
0	22	16	96758	0
0	23	15	75017	0
0	24	14	57369	0
0	25	13	40253	0
0	26	12	24380	0
0	27	11	14969	0
0	28	10	8710	0
0	29	9	0	81
0	30	8	0	74
0	31	7	0	39
0	32	6	0	19
0	33	5	0	19
0	34	4	0	10
0	35	3	0	7
0	36	2	0	3
0	37	1	0	0
0	38	0	0	7
1	0	-1	1	0
1	1	37	5	0
1	2	36	17	0
1	3	35	59	0
1	4	34	173	0
1	5	33	445	0
1	6	32	1085	0
1	7	31	2363	0
1	8	30	5027	0
1	9	29	9119	0
1	10	28	15039	0
1	11	27	24305	0
1	12	26	35727	0
1	13	25	45839	0
1	14	24	61373	0
1	15	23	77731	0
1	16	22	90225	0
1	17	21	106215	0
1	18	20	110997	0
1	19	19	104619	0
1	20	18	94283	0
1	21	17	80061	0
1	22	16	65999	0
1	23	15	51195	0
1	24	14	36313	0
1	25	13	22217	0
1	26	12	12945	0
1	27	11	7151	0
1	28	10	4107	0
1	29	9	0	41
1	30	8	0	30
1	31	7	0	15
1	32	6	0	11
1	33	5	0	8
1	34	4	0	6
1	35	3	0	1
1	36	2	0	0
1	37	1	0	0
1	38	0	0	2
