phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	37	1	0	0	5	0	0	1.3353672027587891	0	2.3546568552304952	-2	2	3160	-0.99872913466349822	0.15139021566729499
0	2	36	2	1	0	21	0	0	1.3353672027587891	0	2.3615318379679495	-2	2	2998	-0.998660462153654	0.15139021566729499
0	3	35	3	2	0	65	0	0	1.3353672027587891	0	2.7475833160058349	-2	2	2054	-0.99901853239369731	0.15139021566729499
0	4	34	4	3	0	183	0	0	1.3353672027587891	0	2.5027347546403624	-2	2	1922	-0.99895112671001796	0.15139021566729499
0	5	33	5	4	0	521	0	0	1.3353672027587891	0	2.5800155384594943	-2	2	1794	-0.99887629071162454	0.15139021566729499
0	6	32	6	5	0	1313	0	0	1.3353672027587891	0	2.5420795558050151	-2	2	1670	-0.99879285361476322	0.15139021566729499
0	7	31	7	6	0	2905	0	0	1.3353672027587891	0	2.458177095818292	-2	2	1238	-1	0
0	8	30	8	7	0	6141	0	0	1.3353672027587891	0	2.5580709553032115	-2	2	924	-1	0
0	9	29	9	8	0	11315	0	0	1.3353672027587891	0	2.3326120989784664	-2	2	676	-1	0
0	10	28	10	9	0	19623	0	0	1.3353672027587891	0	2.3534779897279545	-2	2	490	-1	0
0	11	27	11	10	0	32582	0	0	1.3353672027587891	0	2.3443723581648261	-2	2	324	-1	0
0	12	26	12	11	0	47225	0	0	1.3353672027587891	0	2.1412335465563221	-2	2	224	-1	0
0	13	25	13	12	0	62109	0	0	1.3353672027587891	0	2.0279818596565948	-2	2	166	-1	0
0	14	24	14	13	0	82113	0	0	1.3353672027587891	0	2.1154577757761146	-2	2	82	-1	0
0	15	23	15	14	0	97231	0	0	1.3353672027587891	0	1.9507459279119417	-1	1	42	-1	0
0	16	22	1121617	15	-1	110227	0	0.35848921010194335	1.3353672027587891	0	1.9300222175036907	-1	1	11	-1	0
0	17	21	1121618	1121617	0	118065	0.35848921010194335	0.38966324346870729	1.3353672027587891	0.28666350392011225	1.6047081929958271	-1	1	6	-1	0
0	18	20	1121619	1121618	0	116412	0.38966324346870729	0.44775994573043315	1.3353672027587891	-0.36792463827534366	1.4844334583968919	-1	1	3	-1	0
0	19	19	1121620	1121619	0	112842	0.44775994573043315	0.44783330930969939	1.3353672027587891	-0.013124831007129377	1.443656553263911	-1	1	3	-1	0
0	20	18	1121621	1121620	0	97212	0.44783330930969939	0.49961296238011615	1.3353672027587891	0.31740562907575109	1.3140973210014897	0	1	2	-1	0
0	21	17	1121622	1121621	0	82492	0.49961296238011615	0.62053891574249287	1.3353672027587891	0.48548636656989902	1.2763111783352001	0	1	1	-1	0
0	22	16	1121623	1121622	0	65619	0.62053891574249287	0.66233668477525531	1.3353672027587891	0.27140963807303425	1.1224049671776599	0	1	1	-1	0
0	23	15	1121624	1121623	0	50950	0.66233668477525531	0.66516267264051054	1.3353672027587891	0.070132995691136957	1.082317354660884	-1	1	1	-1	0
0	24	14	1121625	1121624	0	39065	0.66516267264051054	0.66525086138235268	1.3353672027587891	-0.012433819202965804	1.0839310428174149	-1	1	1	-1	0
0	25	13	1121626	1121625	0	27584	0.66525086138235268	0.66923129420326144	1.3353672027587891	-0.077845661275016562	1.0100534752989074	-1	0	1	-1	0
0	26	12	1121627	1121626	0	16942	0.66923129420326144	0.67089315882879874	1.3353672027587891	-0.044403521623707184	0.88899847515013708	0	0	1	-1	0
0	27	11	1217599	1121627	-1	10597	0.67089315882879874	0.88008080335797501	1.3353672027587891	-0.49324289017773387	0.9031727922926539	-1	0	0	0	0
0	28	10	1217600	1217599	0	6241	0.88008080335797501	0.94171802295619977	1.3353672027587891	0.26724646342138575	0.72632799788141222	0	0	0	0	0
0	29	9	-1	-1	0	0	0.94171802295619977	1.0231930077318376	1.3353672027587891	-0.29164404417237877	0.64105551878883138	0	0	0	0	0
0	30	8	-1	-1	0	0	1.0231930077318376	1.081289929275228	1.3353672027587891	-0.24088567065591743	0.55838392394233594	0	0	0	0	0
0	31	7	-1	-1	1	0	1.081289929275228	1.0930896897405236	1.3353672027587891	0.89933461314031049	0.46711786947874201	1	1	0	0	0
0	32	6	-1	-1	0	0	1.0930896897405236	1.0945825627501609	1.3353672027587891	0.033919236134858054	0.43210688246753659	0	0	0	0	0
0	33	5	-1	-1	0	0	1.0945825627501609	1.1089122337296191	1.3353672027587891	-0.10696920764129894	0.43848532082641101	0	0	0	0	0
0	34	4	-1	-1	0	0	1.1089122337296191	1.1096895798538053	1.3353672027587891	-0.02450415827985571	0.41823800820180729	0	0	0	0	0
0	35	3	-1	-1	0	0	1.1096895798538053	1.1108502536791951	1.3353672027587891	-0.027339934622075856	0.38122961079004752	0	0	0	0	0
0	36	2	-1	-1	1	0	1.1108502536791951	1.218496046962148	1.3353672027587891	0.72983816716938044	0.39016654573518433	1	1	0	0	0
0	37	1	-1	-1	-1	0	1.218496046962148	1.2545045643563415	1.3353672027587891	-1.159790827546864	0.28787430027498151	-1	-1	0	0	0
0	38	0	-1	-1	0	0	1.2545045643563415	1.2545151710510254	1.3353672027587891	0.0027400654064886018	0.23924609042036046	0	0	0	0	0
