phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	37	29	0	-1	7	0	0.060049137275811557	0.67885637283325195	0	3.3622930548861927	-3	3	2383	-1	0
0	2	36	187	29	-1	35	0.060049137275811557	0.087439151862919909	0.67885637283325195	-0.37296789390372836	2.9803779283565635	-3	2	1103	-1	0
0	3	35	188	187	0	141	0.087439151862919909	0.08853104482576836	0.67885637283325195	-0.12262958982751597	2.853988542223076	-2	2	741	-1	0
0	4	34	128901	188	1	487	0.08853104482576836	0.11864976834164116	0.67885637283325195	0.37496236154117935	2.7671557112155836	-2	3	346	-1	0
0	5	33	128902	128901	0	1421	0.11864976834164116	0.13318282715695953	0.67885637283325195	0.41310270777515662	2.5648007876777297	-2	2	212	-1	0
0	6	32	128903	128902	0	3847	0.13318282715695953	0.14314897221684117	0.67885637283325195	-0.3332218775510169	2.4656779696553026	-2	2	119	-1	0
0	7	31	128904	128903	-1	9065	0.14314897221684117	0.16797462190550419	0.67885637283325195	-0.5014326132965059	2.31599372173994	-2	1	58	-1	0
0	8	30	128905	128904	0	20761	0.16797462190550419	0.16816928063593872	0.67885637283325195	0.04517545051364049	2.3143324448175284	-2	2	47	-1	0
0	9	29	128906	128905	0	43632	0.16816928063593872	0.17417217537447069	0.67885637283325195	0.24290771465921326	2.2404661386163962	-1	2	33	-1	0
0	10	28	128907	128906	1	86626	0.17417217537447069	0.17536748233855337	0.67885637283325195	0.89095369797435175	2.2406863614008521	-1	3	24	-1	0
0	11	27	128908	128907	0	163100	0.17536748233855337	0.18351681428355979	0.67885637283325195	-0.28377555931714921	2.2305344252723476	-2	1	13	-1	0
0	12	26	128909	128908	1	267827	0.18351681428355979	0.18643181091570932	0.67885637283325195	0.84515083895154819	2.0185584731309718	-1	2	8	-1	0
0	13	25	128910	128909	-1	428352	0.18643181091570932	0.2121670035751306	0.67885637283325195	-0.53077822283582154	2.052505368622819	-2	1	4	-1	0
0	14	24	128911	128910	0	589340	0.2121670035751306	0.22946384876434009	0.67885637283325195	-0.34419439821336018	1.7878632719674425	-2	1	2	-1	0
0	15	23	128912	128911	0	716060	0.22946384876434009	0.23093770072163933	0.67885637283325195	-0.092320938727778426	1.6120785605035934	-1	1	2	-1	0
0	16	22	128913	128912	-1	829354	0.23093770072163933	0.23542423164688803	0.67885637283325195	-1.1585486307168158	1.5841880987802319	-2	0	2	-1	0
0	17	21	128914	128913	-1	929930	0.23542423164688803	0.24880418525259318	0.67885637283325195	-0.72552274336877631	1.5801293683532363	-2	0	1	-1	0
0	18	20	7713842	128914	0	882840	0.24880418525259318	0.3270519911817994	0.67885637283325195	-0.57890232837523914	1.3571560671163905	-1	0	0	0	0
0	19	19	7713843	7713842	0	779794	0.3270519911817994	0.32953154728427247	0.67885637283325195	-0.098970642153276597	1.1788811966176123	-1	1	0	0	0
0	20	18	7713844	7713843	1	625289	0.32953154728427247	0.37369525881125781	0.67885637283325195	1.3892561474073557	1.0947562245498803	1	2	0	0	0
0	21	17	7713845	7713844	1	465238	0.37369525881125781	0.37517598250982565	0.67885637283325195	0.93200561538078608	0.97611419795104282	0	1	0	0	0
0	22	16	7713846	7713845	-1	333260	0.37517598250982565	0.37677298924629954	0.67885637283325195	-1.0697598008123681	0.9619671292701889	-2	-1	0	0	0
0	23	15	7713847	7713846	-1	221886	0.37677298924629954	0.3770914453455419	0.67885637283325195	-1.0296082716304864	0.91190939351407452	-1	-1	0	0	0
0	24	14	7713848	7713847	0	140650	0.3770914453455419	0.42881300616559181	0.67885637283325195	0.36566058494277615	0.8832359138042003	0	1	0	0	0
0	25	13	7713849	7713848	0	82848	0.42881300616559181	0.44172170441282926	0.67885637283325195	0.17367587146634234	0.76437404394823505	0	0	0	0	0
0	26	12	7713850	7713849	-2	49155	0.44172170441282926	0.443210916582231	0.67885637283325195	-2.0605086322784545	0.76354840406427593	-2	-2	0	0	0
0	27	11	7713851	7713850	1	28420	0.443210916582231	0.44365969259540833	0.67885637283325195	0.96693007672075681	0.75778831523503343	1	1	0	0	0
0	28	10	7713852	7713851	-1	14500	0.44365969259540833	0.45375688065561154	0.67885637283325195	-0.86168972255985254	0.66752851710173822	-1	-1	0	0	0
0	29	9	-1	-1	0	0	0.45375688065561154	0.4713614227145948	0.67885637283325195	-0.19658943673550983	0.70296721323553013	0	0	0	0	0
0	30	8	-1	-1	-1	0	0.4713614227145948	0.47501555325998673	0.67885637283325195	-1.0842589668982414	0.63493295134542904	-1	-1	0	0	0
0	31	7	-1	-1	2	0	0.47501555325998673	0.52605454994043643	0.67885637283325195	2.30439898329697	0.60832786716229315	2	2	0	0	0
0	32	6	-1	-1	2	0	0.52605454994043643	0.59292513775951994	0.67885637283325195	1.683841830989069	0.47791548787642307	2	2	0	0	0
0	33	5	-1	-1	3	0	0.59292513775951994	0.61543196189167493	0.67885637283325195	2.8279058956591658	0.33626712486841037	3	3	0	0	0
0	34	4	-1	-1	-1	0	0.61543196189167493	0.62969519381761974	0.67885637283325195	-0.86444070872897028	0.28585680725895296	-1	-1	0	0	0
0	35	3	-1	-1	0	0	0.62969519381761974	0.63724383434544751	0.67885637283325195	-0.095067815788458659	0.24261088871619935	0	0	0	0	0
0	36	2	-1	-1	2	0	0.63724383434544751	0.64171690770299006	0.67885637283325195	1.9336122773168691	0.20248686935686616	2	2	0	0	0
0	37	1	-1	-1	-1	0	0.64171690770299006	0.66911561751178428	0.67885637283325195	-1.1709265194252003	0.19900418763308281	-1	-1	0	0	0
0	38	0	-1	-1	2	0	0.66911561751178428	0.6777031421661377	0.67885637283325195	2.0995805658987825	0.10605640671526298	2	2	0	0	0
