phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	39	0
0	3	36	171	0
0	4	35	535	0
0	5	34	1552	0
0	6	33	4160	0
0	7	32	9537	0
0	8	31	21439	0
0	9	30	43520	0
0	10	29	82008	0
0	11	28	143445	0
0	12	27	226100	0
0	13	26	344475	0
0	14	25	463552	0
0	15	24	588555	0
0	16	23	749621	0
0	17	22	814222	0
0	18	21	926433	0
0	19	20	933304	0
0	20	19	839889	0
0	21	18	726904	0
0	22	17	611346	0
0	23	16	472039	0
0	24	15	368541	0
0	25	14	254590	0
0	26	13	169831	0
0	27	12	101285	0
0	28	11	65679	0
0	29	10	36688	0
0	30	9	0	210
0	31	8	0	148
0	32	7	0	95
0	33	6	0	37
0	34	5	0	18
0	35	4	0	8
0	36	3	0	5
0	37	2	0	2
0	38	1	0	2
0	39	0	0	7
