phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	38	30	0	-1	7	0	0.14407496930602265	1.5358943939208984	0	3.2650242388824706	-3	3	2781	-0.99959241476476268	1.3093871749259516
0	2	37	184	30	-1	35	0.14407496930602265	0.20224882766186814	1.5358943939208984	-0.4139991753011879	2.8663270309017541	-3	2	2543	-0.99955426876162212	1.3093871749259516
0	3	36	3224	184	1	151	0.20224882766186814	0.28227760010223268	1.5358943939208984	0.26730165978157266	2.9910408389097416	-2	3	1102	-1	0
0	4	35	3225	3224	0	527	0.28227760010223268	0.29263478308263569	1.5358943939208984	-0.23769113157309149	2.6150172281358057	-2	2	748	-1	0
0	5	34	3226	3225	0	1787	0.29263478308263569	0.31341907166782046	1.5358943939208984	-0.37147875727384422	2.8730773254708586	-3	2	408	-1	0
0	6	33	3227	3226	0	4629	0.31341907166782046	0.32590958106170392	1.5358943939208984	0.26086298427914562	2.5807291873472269	-2	2	269	-1	0
0	7	32	3228	3227	0	10645	0.32590958106170392	0.32944656337220546	1.5358943939208984	0.14096597600620078	2.6072808711916551	-2	2	180	-1	0
0	8	31	3229	3228	0	24438	0.32944656337220546	0.33338661105529166	1.5358943939208984	0.1544536886551762	2.7027247525412643	-2	2	108	-1	0
0	9	30	3230	3229	0	50648	0.33338661105529166	0.33460826716210046	1.5358943939208984	-0.081375000298739869	2.553056735052583	-2	2	71	-1	0
0	10	29	3934153	3230	-1	93499	0.33460826716210046	0.42642614667282619	1.5358943939208984	-0.34131437308721141	2.3825267658216336	-2	2	33	-1	0
0	11	28	3934154	3934153	0	154170	0.42642614667282619	0.42650004092029664	1.5358943939208984	0.017423170576603621	2.1349087234570736	-2	2	29	-1	0
0	12	27	3934155	3934154	1	218880	0.42650004092029664	0.42863625693612467	1.5358943939208984	0.91523653571299157	1.9316528986101651	-1	2	27	-1	0
0	13	26	4561754	3934155	0	269729	0.42863625693612467	0.53194038815891986	1.5358943939208984	-0.53153304777800836	1.7401867883473863	-2	1	13	-1	0
0	14	25	4561755	4561754	0	323303	0.53194038815891986	0.53220987168026002	1.5358943939208984	-0.027369359146302844	1.6705344269123115	-1	1	12	-1	0
0	15	24	4561756	4561755	1	359817	0.53220987168026002	0.55372483151778262	1.5358943939208984	0.76562886758419879	1.6007829945414072	0	2	8	-1	0
0	16	23	4561757	4561756	0	429580	0.55372483151778262	0.56730447041711507	1.5358943939208984	-0.20611242458606435	1.7528844842694336	-1	1	6	-1	0
0	17	22	4561758	4561757	-1	448092	0.56730447041711507	0.5673444220893703	1.5358943939208984	-0.98994298766489008	1.5659268652539173	-2	0	6	-1	0
0	18	21	4561759	4561758	0	432628	0.5673444220893703	0.56745051718894868	1.5358943939208984	-0.015561128116915181	1.4868064359878754	-1	1	5	-1	0
0	19	20	4561760	4561759	-1	410478	0.56745051718894868	0.57587021835393792	1.5358943939208984	-1.1397611454022714	1.4989092550554624	-2	0	5	-1	0
0	20	19	4561761	4561760	1	353306	0.57587021835393792	0.61227540633660249	1.5358943939208984	0.73087122197686072	1.3820367301859382	0	2	4	-1	0
0	21	18	4561762	4561761	1	306803	0.61227540633660249	0.70291355497623931	1.5358943939208984	0.56208036386545368	1.3979297016785903	0	1	2	-1	0
0	22	17	4561763	4561762	1	251474	0.70291355497623931	0.71768745932370748	1.5358943939208984	0.82957047512226501	1.2797192345131567	0	2	2	-1	0
