phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	37	0
0	3	36	141	0
0	4	35	495	0
0	5	34	1515	0
0	6	33	4181	0
0	7	32	10573	0
0	8	31	23129	0
0	9	30	50739	0
0	10	29	98939	0
0	11	28	170588	0
0	12	27	260535	0
0	13	26	389448	0
0	14	25	501730	0
0	15	24	638420	0
0	16	23	770088	0
0	17	22	821569	0
0	18	21	782926	0
0	19	20	690118	0
0	20	19	626605	0
0	21	18	564970	0
0	22	17	490268	0
0	23	16	365622	0
0	24	15	272789	0
0	25	14	178245	0
0	26	13	107851	0
0	27	12	62974	0
0	28	11	32769	0
0	29	10	17481	0
0	30	9	0	225
0	31	8	0	148
0	32	7	0	71
0	33	6	0	40
0	34	5	0	19
0	35	4	0	10
0	36	3	0	3
0	37	2	0	0
0	38	1	0	0
0	39	0	0	5
1	0	-1	1	0
1	1	38	7	0
1	2	37	35	0
1	3	36	129	0
1	4	35	393	0
1	5	34	1021	0
1	6	33	2759	0
1	7	32	6531	0
1	8	31	12929	0
1	9	30	25303	0
1	10	29	44085	0
1	11	28	71201	0
1	12	27	113197	0
1	13	26	157857	0
1	14	25	212389	0
1	15	24	249571	0
1	16	23	283253	0
1	17	22	307955	0
1	18	21	314505	0
1	19	20	311745	0
1	20	19	296587	0
1	21	18	275691	0
1	22	17	222951	0
1	23	16	162197	0
1	24	15	117205	0
1	25	14	78305	0
1	26	13	49845	0
1	27	12	35497	0
1	28	11	22397	0
1	29	10	12617	0
1	30	9	0	65
1	31	8	0	48
1	32	7	0	28
1	33	6	0	15
1	34	5	0	7
1	35	4	0	2
1	36	3	0	2
1	37	2	0	0
1	38	1	0	0
1	39	0	0	2
