phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	38	1	0	0	7	0	0	1.3551688194274902	0	3.4669642713457076	-3	3	6471	-0.99966177838836567	1.8580962737997255
0	2	37	2	1	0	37	0	0	1.3551688194274902	0	3.1842608394257677	-3	3	4120	-0.99975488649461153	1.8580962737997255
0	3	36	3	2	0	141	0	0	1.3551688194274902	0	2.7773208800293272	-2	2	2925	-1	0
0	4	35	4	3	0	453	0	0	1.3551688194274902	0	2.9934298275505462	-2	2	1789	-1	0
0	5	34	5	4	0	1209	0	0	1.3551688194274902	0	2.9105803557103163	-2	2	1031	-1	0
0	6	33	6	5	0	3053	0	0	1.3551688194274902	0	2.8554794176006264	-2	2	513	-1	0
0	7	32	7	6	0	7217	0	0	1.3551688194274902	0	2.8247675066157725	-2	2	199	-1	0
0	8	31	8	7	0	15129	0	0	1.3551688194274902	0	2.5933847607290419	-2	2	79	-1	0
0	9	30	2775553	8	-1	32103	0	0.1791080206153888	1.3551688194274902	0	2.750674384368665	-2	2	24	-1	0
0	10	29	2775554	2775553	0	61203	0.1791080206153888	0.22910254431846264	1.3551688194274902	0.49126102660385218	2.3826814344470733	-1	2	12	-1	0
0	11	28	2775555	2775554	0	103844	0.22910254431846264	0.28871125482198196	1.3551688194274902	0.49557361800115507	2.1539483794028933	-1	2	6	-1	0
0	12	27	2775556	2775555	0	156973	0.28871125482198196	0.33366031221237863	1.3551688194274902	-0.39884113597852483	1.9427254956212916	-2	1	3	-1	0
0	13	26	4785069	2775556	-1	233519	0.33366031221237863	0.45832875548055507	1.3551688194274902	-0.32715196430307042	1.9260152191425217	-2	1	1	-1	0
0	14	25	4785070	4785069	-1	301006	0.45832875548055507	0.4657177460772437	1.3551688194274902	-0.85405102009304656	1.6079258136698971	-2	0	1	-1	0
0	15	24	4785071	4785070	0	384599	0.4657177460772437	0.49780993088713316	1.3551688194274902	0.31061569374519377	1.6352523579331759	-1	1	1	-1	0
0	16	23	4951304	4785071	0	467273	0.49780993088713316	0.58990845028162475	1.3551688194274902	0.513443122938118	1.5665611226011165	-1	2	0	0	0
0	17	22	4951305	4951304	0	503063	0.58990845028162475	0.59673478761769783	1.3551688194274902	-0.12737549046978175	1.3486417741123158	-1	1	0	0	0
0	18	21	4951306	4951305	0	484752	0.59673478761769783	0.5974692678701522	1.3551688194274902	0.038312627007227817	1.2311494510035295	-1	1	0	0	0
0	19	20	4951307	4951306	0	431596	0.5974692678701522	0.63115344024812148	1.3551688194274902	0.24639561807543683	1.1686071913704319	0	1	0	0	0
0	20	19	4951308	4951307	-1	396405	0.63115344024812148	0.63170215725726186	1.3551688194274902	-1.033168736301576	1.2048378708668521	-2	0	0	0	0
0	21	18	4951309	4951308	1	361766	0.63170215725726186	0.68425348989023893	1.3551688194274902	1.3303321429334487	1.2256549670674333	1	2	0	0	0
0	22	17	4951310	4951309	1	317828	0.68425348989023893	0.70450765505957491	1.3551688194274902	1.2019613830443252	1.1623716792788972	1	2	0	0	0
0	23	16	4951311	4951310	-1	239564	0.70450765505957491	0.70450900800333294	1.3551688194274902	-1.0014483433324566	1.0044055312994855	-2	0	0	0	0
0	24	15	4951312	4951311	-1	180116	0.70450900800333294	0.85132002396732531	1.3551688194274902	-0.51329300777413045	1.0246257240390491	-1	0	0	0	0
0	25	14	4951313	4951312	0	118683	0.85132002396732531	0.86013562189956994	1.3551688194274902	0.10649937097588227	0.80513974888017603	0	0	0	0	0
0	26	13	4951314	4951313	0	72633	0.86013562189956994	0.87010545854182786	1.3551688194274902	0.10713677423323163	0.75493873148493762	0	0	0	0	0
0	27	12	4951315	4951314	-1	42898	0.87010545854182786	0.87020031124459496	1.3551688194274902	-1.0102195130576759	0.73081017188645359	-1	-1	0	0	0
0	28	11	4951316	4951315	1	22361	0.87020031124459496	0.99551257190961107	1.3551688194274902	1.3384741141953564	0.66586386461570723	1	2	0	0	0
0	29	10	4951317	4951316	-1	11897	0.99551257190961107	1.0426049555597163	1.3551688194274902	-1.2175782150897958	0.60128985620501385	-1	-1	0	0	0
0	30	9	-1	-1	2	0	1.0426049555597163	1.0793475989722043	1.3551688194274902	1.7948017208766944	0.59849137871917457	2	2	0	0	0
0	31	8	-1	-1	3	0	1.0793475989722043	1.082190334134798	1.3551688194274902	2.9483536922509597	0.50872715008138214	3	3	0	0	0
0	32	7	-1	-1	-1	0	1.082190334134798	1.1476923073312233	1.3551688194274902	-0.75711353553567884	0.49583859868330743	-1	-1	0	0	0
