phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000302,38467,38437,30,39,0,0,19230.098342,1.0886251192,1.0886251192,0
0,4.000468,76003,75973,30,50,0,0,18766.435667,1.0886251192,1.0886251192,0
0,6.000592,113409,113379,30,56,0,0,18701.848387,1.0886251192,1.0886251192,0
0,8.000706,151725,151687,38,96,1,0,19156.900576,1.0405391975,1.0405391975,1
0,10.000890,189276,189237,39,108,1,0,18773.772391,1.0405391975,1.0405391975,1
0,12.001060,226907,226866,41,129,1,0,18813.900865,1.0405391975,1.0405391975,1
0,14.001185,264896,264852,44,169,1,0,18993.319565,1.0405391975,1.0405391975,1
0,16.001303,302270,302226,44,178,1,0,18685.892982,1.0405391975,1.0405391975,1
0,18.001454,339657,339613,44,192,1,0,18692.086673,1.0405391975,1.0405391975,1
0,20.001621,377248,377196,52,233,1,0,18793.932774,1.0405391975,1.0405391975,1
0,22.001744,414701,414649,52,252,1,0,18725.353765,1.0405391975,1.0405391975,1
0,24.001854,452000,451948,52,258,1,0,18648.472395,1.0405391975,1.0405391975,1
0,26.001961,489614,489562,52,294,1,0,18805.995515,1.0405391975,1.0405391975,1
0,28.002071,527309,527256,53,334,1,0,18846.459101,1.0405391975,1.0405391975,1
0,30.002224,565132,565079,53,369,1,0,18910.054128,1.0405391975,1.0405391975,1
0,32.002341,602803,602750,53,392,1,0,18834.399299,1.0405391975,1.0405391975,1
0,34.002453,640932,640878,54,435,1,0,19063.436737,1.0405391975,1.0405391975,1
0,36.002552,678759,678704,55,467,1,0,18912.560642,1.0405391975,1.0405391975,1
0,38.002629,716203,716148,55,478,1,0,18721.278912,1.0405391975,1.0405391975,1
0,40.002707,753724,753669,55,500,1,0,18759.767140,1.0405391975,1.0405391975,1
0,42.002782,791175,791119,56,527,1,0,18724.796228,1.0405391975,1.0405391975,1
0,44.002859,829417,829361,56,611,1,0,19120.263487,1.0405391975,1.0405391975,1
0,46.002999,866924,866863,61,659,1,0,18752.185912,1.0405391975,1.0405391975,1
0,48.003157,904584,904521,63,688,1,0,18828.513291,1.0405391975,1.0405391975,1
0,50.003308,942161,942094,67,741,1,0,18787.087136,1.0405391975,1.0405391975,1
0,52.003490,979879,979812,67,762,1,0,18857.276850,1.0405391975,1.0405391975,1
0,54.003652,1016808,1016741,67,777,1,0,18463.012490,1.0405391975,1.0405391975,1
0,56.003799,1054982,1054913,69,813,1,0,19085.590749,1.0405391975,1.0405391975,1
0,58.003929,1092887,1092812,75,847,1,0,18951.272867,1.0405391975,1.0405391975,1
0,60.004078,1130568,1130493,75,873,1,0,18839.095762,1.0405391975,1.0405391975,1
0,62.004222,1168434,1168359,75,912,1,0,18931.634546,1.0405391975,1.0405391975,1
0,64.004394,1206197,1206120,77,959,1,0,18879.880474,1.0405391975,1.0405391975,1
0,66.004527,1244326,1244248,78,1010,1,0,19063.230017,1.0405391975,1.0405391975,1
0,68.004623,1282144,1282064,80,1068,1,0,18908.093820,1.0405391975,1.0405391975,1
0,70.004700,1319535,1319455,80,1084,1,0,18694.776755,1.0405391975,1.0405391975,1
0,72.004820,1357564,1357483,81,1165,1,0,19013.357126,1.0405391975,1.0405391975,1
0,74.004997,1395927,1395831,96,1294,1,0,19179.810834,1.0405391975,1.0405391975,1
0,76.005178,1433141,1433045,96,1295,1,0,18605.312154,1.0405391975,1.0405391975,1
0,78.005302,1470861,1470763,98,1337,1,0,18858.829744,1.0405391975,1.0405391975,1
0,80.005593,1508436,1508334,102,1348,1,0,18784.766328,1.0405391975,1.0405391975,1
0,82.005751,1546205,1546096,109,1368,1,0,18883.011745,1.0405391975,1.0405391975,1
0,84.005921,1583852,1583741,111,1387,1,0,18821.895330,1.0405391975,1.0405391975,1
0,86.006086,1621346,1621235,111,1398,1,0,18745.455768,1.0405391975,1.0405391975,1
0,88.006236,1659191,1659076,115,1420,1,0,18921.083293,1.0405391975,1.0405391975,1
0,90.006358,1696753,1696638,115,1435,1,0,18779.856354,1.0405391975,1.0405391975,1
0,92.006485,1734493,1734366,127,1456,1,0,18868.797143,1.0405391975,1.0405391975,1
0,94.006609,1772489,1772362,127,1485,1,0,18996.821086,1.0405391975,1.0405391975,1
0,96.006730,1810234,1810103,131,1504,1,0,18871.362047,1.0405391975,1.0405391975,1
0,98.006843,1847952,1847821,131,1524,1,0,18857.928794,1.0405391975,1.0405391975,1
0,100.006952,1885452,1885321,131,1539,1,0,18748.985549,1.0405391975,1.0405391975,1
0,102.007037,1923475,1923344,131,1568,1,0,19010.687692,1.0405391975,1.0405391975,1
0,104.007149,1961193,1961061,132,1589,1,0,18857.945247,1.0405391975,1.0405391975,1
0,106.007243,1999243,1999109,134,1619,1,0,19024.104459,1.0405391975,1.0405391975,1
0,108.007340,2035900,2035766,134,1649,1,0,18327.608958,1.0405391975,1.0405391975,1
0,110.007469,2073641,2073503,138,1671,1,0,18869.289535,1.0405391975,1.0405391975,1
0,112.007555,2111087,2110949,138,1685,1,0,18722.190200,1.0405391975,1.0405391975,1
0,114.007705,2148859,2148720,139,1709,1,0,18884.580408,1.0405391975,1.0405391975,1
0,116.007826,2186308,2186169,139,1724,1,0,18723.370251,1.0405391975,1.0405391975,1
0,118.007931,2224036,2223890,146,1748,1,0,18863.012814,1.0405391975,1.0405391975,1
0,120.008024,2261746,2261593,153,1770,1,0,18854.121370,1.0405391975,1.0405391975,1
0,122.008115,2299455,2299292,163,1797,1,0,18853.641811,1.0405391975,1.0405391975,1
0,124.008229,2336694,2336531,163,1797,1,0,18618.440862,1.0405391975,1.0405391975,1
0,126.008347,2373973,2373810,163,1798,1,0,18638.397809,1.0405391975,1.0405391975,1
0,128.008511,2411360,2411197,163,1808,1,0,18691.970754,1.0405391975,1.0405391975,1
0,130.008655,2449076,2448909,167,1837,1,0,18856.640832,1.0405391975,1.0405391975,1
0,132.008817,2486752,2486584,168,1861,1,0,18836.468765,1.0405391975,1.0405391975,1
0,134.008938,2524414,2524246,168,1882,1,0,18829.864644,1.0405391975,1.0405391975,1
0,136.009073,2562040,2561871,169,1908,1,0,18811.732174,1.0405391975,1.0405391975,1
0,138.009229,2599656,2599487,169,1936,1,0,18806.530401,1.0405391975,1.0405391975,1
0,140.009367,2637554,2637383,171,1974,1,0,18947.695830,1.0405391975,1.0405391975,1
0,142.009498,2675396,2675225,171,2008,1,0,18919.758921,1.0405391975,1.0405391975,1
0,144.009639,2713045,2712874,171,2039,1,0,18823.169983,1.0405391975,1.0405391975,1
0,146.009746,2750913,2750741,172,2075,1,0,18932.990644,1.0405391975,1.0405391975,1
0,148.009876,2788548,2788376,172,2096,1,0,18816.279858,1.0405391975,1.0405391975,1
0,150.009989,2826753,2826581,172,2142,1,0,19101.414142,1.0405391975,1.0405391975,1
0,152.010106,2864558,2864382,176,2183,1,0,18901.393805,1.0405391975,1.0405391975,1
0,154.010264,2902365,2902189,176,2215,1,0,18902.011703,1.0405391975,1.0405391975,1
0,156.010408,2940646,2940467,179,2262,1,0,19139.122969,1.0405391975,1.0405391975,1
0,158.010548,2978830,2978649,181,2313,1,0,19090.656266,1.0405391975,1.0405391975,1
0,160.010714,3016973,3016790,183,2366,1,0,19069.918780,1.0405391975,1.0405391975,1
0,162.010879,3054335,3054152,183,2382,1,0,18679.465360,1.0405391975,1.0405391975,1
0,164.011040,3092018,3091834,184,2403,1,0,18839.980725,1.0405391975,1.0405391975,1
0,166.011159,3129815,3129631,184,2446,1,0,18897.372460,1.0405391975,1.0405391975,1
0,168.011281,3168387,3168198,189,2508,1,0,19284.825342,1.0405391975,1.0405391975,1
0,170.011400,3206324,3206131,193,2553,1,0,18967.375690,1.0405391975,1.0405391975,1
0,172.011531,3244653,3244458,195,2613,1,0,19163.240678,1.0405391975,1.0405391975,1
0,174.011622,3282964,3282765,199,2677,1,0,19154.628024,1.0405391975,1.0405391975,1
0,176.011708,3321162,3320961,201,2741,1,0,19098.177184,1.0405391975,1.0405391975,1
0,178.011807,3359116,3358915,201,2798,1,0,18976.058474,1.0405391975,1.0405391975,1
0,180.011881,3397400,3397198,202,2869,1,0,19141.294997,1.0405391975,1.0405391975,1
0,182.011957,3435112,3434910,202,2929,1,0,18855.282029,1.0405391975,1.0405391975,1
0,184.012035,3472826,3472620,206,2980,1,0,18856.272157,1.0405391975,1.0405391975,1
0,186.012130,3510865,3510654,211,3048,1,0,19018.590483,1.0405391975,1.0405391975,1
0,188.012253,3548830,3548615,215,3102,1,0,18981.331054,1.0405391975,1.0405391975,1
0,190.012398,3587570,3587336,234,3189,1,0,19368.598604,1.0405391975,1.0405391975,1
0,192.012579,3625245,3625011,234,3258,1,0,18835.798845,1.0405391975,1.0405391975,1
0,194.012695,3663663,3663426,237,3339,1,0,19207.883378,1.0405391975,1.0405391975,1
0,196.012818,3702021,3701779,242,3415,1,0,19177.815760,1.0405391975,1.0405391975,1
0,198.012919,3739557,3739309,248,3448,1,0,18767.058166,1.0405391975,1.0405391975,1
0,200.013074,3777837,3777586,251,3527,1,0,19138.512880,1.0405391975,1.0405391975,1
0,202.013235,3816091,3815838,253,3588,1,0,19125.461787,1.0405391975,1.0405391975,1
0,204.013384,3854611,3854356,255,3688,1,0,19258.562993,1.0405391975,1.0405391975,1
0,206.013557,3892495,3892239,256,3795,2,0,18940.368401,1.0379753608,1.0379753608,2
0,208.013648,3930417,3930154,263,3896,2,0,18960.133475,1.0379753608,1.0379753608,2
0,210.013741,3968610,3968342,268,4012,2,0,19095.612722,1.0379753608,1.0379753608,2
0,212.013907,4004249,4003971,278,4068,2,0,17818.019233,1.0379753608,1.0379753608,2
0,214.014041,4041864,4041585,279,4096,2,0,18806.238750,1.0379753608,1.0379753608,2
0,216.014198,4080500,4080217,283,4201,2,0,19316.489170,1.0379753608,1.0379753608,2
0,218.014361,4118242,4117958,284,4262,2,0,18869.461214,1.0379753608,1.0379753608,2
0,220.014506,4156857,4156568,289,4365,2,0,19306.096592,1.0379753608,1.0379753608,2
0,222.014653,4194865,4194574,291,4434,2,0,19002.606444,1.0379753608,1.0379753608,2
0,224.014778,4232627,4232336,291,4497,2,0,18879.816151,1.0379753608,1.0379753608,2
0,226.014879,4270208,4269917,291,4534,2,0,18789.553749,1.0379753608,1.0379753608,2
0,228.014992,4307983,4307692,291,4603,2,0,18886.435825,1.0379753608,1.0379753608,2
0,230.015102,4345897,4345603,294,4650,2,0,18955.958834,1.0379753608,1.0379753608,2
0,232.015204,4384188,4383891,297,4720,2,0,19144.515254,1.0379753608,1.0379753608,2
0,234.015327,4422060,4421763,297,4794,2,0,18934.842579,1.0379753608,1.0379753608,2
0,236.015444,4461140,4460837,303,4925,2,0,19538.858178,1.0379753608,1.0379753608,2
0,238.015560,4499603,4499297,306,5036,2,0,19230.384513,1.0379753608,1.0379753608,2
0,240.015664,4537713,4537378,335,5144,2,0,19054.001818,1.0379753608,1.0379753608,2
0,242.015777,4576298,4575963,335,5269,2,0,19291.416739,1.0379753608,1.0379753608,2
0,244.015905,4615731,4615372,359,5451,2,0,19715.232222,1.0379753608,1.0379753608,2
0,246.016016,4654320,4653957,363,5553,2,0,19293.433536,1.0379753608,1.0379753608,2
0,248.016119,4693010,4692629,381,5675,2,0,19343.997981,1.0379753608,1.0379753608,2
0,250.016236,4732748,4732361,387,5861,2,0,19867.842132,1.0379753608,1.0379753608,2
0,252.016342,4770976,4770587,389,5940,2,0,19112.983247,1.0379753608,1.0379753608,2
0,254.016432,4809109,4808710,399,6080,2,0,19065.640845,1.0379753608,1.0379753608,2
0,256.016525,4847756,4847355,401,6200,2,0,19322.607238,1.0379753608,1.0379753608,2
0,258.016744,4886977,4886570,407,6380,2,0,19608.353003,1.0379753608,1.0379753608,2
0,260.016904,4925761,4925350,411,6536,2,0,19390.448260,1.0379753608,1.0379753608,2
0,262.017012,4963449,4963033,416,6667,4,0,18842.980256,1.0214687610,1.0214687610,3
0,264.017106,5005162,5004705,457,7098,4,0,20855.517424,1.0214687610,1.0214687610,3
0,266.017207,5041960,5041497,463,7155,4,0,18398.074448,1.0214687610,1.0214687610,3
0,268.017325,5079172,5078709,463,7163,4,0,18604.902404,1.0214687610,1.0214687610,3
0,270.017439,5116495,5116032,463,7172,4,0,18660.433370,1.0214687610,1.0214687610,3
0,272.017556,5153915,5153452,463,7179,4,0,18708.906670,1.0214687610,1.0214687610,3
0,274.017650,5191332,5190869,463,7187,4,0,18707.619283,1.0214687610,1.0214687610,3
0,276.017817,5228549,5228086,463,7190,4,0,18606.948525,1.0214687610,1.0214687610,3
0,278.017973,5265669,5265206,463,7193,4,0,18558.549325,1.0214687610,1.0214687610,3
0,280.018107,5303090,5302627,463,7203,4,0,18709.251176,1.0214687610,1.0214687610,3
0,282.018240,5340426,5339963,463,7211,4,0,18666.759193,1.0214687610,1.0214687610,3
0,284.018381,5377807,5377344,463,7221,4,0,18689.177937,1.0214687610,1.0214687610,3
0,286.018551,5415156,5414693,463,7226,4,0,18672.919347,1.0214687610,1.0214687610,3
0,288.018807,5452300,5451837,463,7229,4,0,18569.615986,1.0214687610,1.0214687610,3
0,290.018967,5489702,5489239,463,7241,4,0,18699.507144,1.0214687610,1.0214687610,3
0,292.019138,5527022,5526559,463,7247,4,0,18658.403615,1.0214687610,1.0214687610,3
0,294.019297,5564455,5563990,465,7256,4,0,18715.014440,1.0214687610,1.0214687610,3
0,296.019430,5602012,5601547,465,7270,4,0,18777.249238,1.0214687610,1.0214687610,3
0,298.019567,5639515,5639050,465,7280,4,0,18750.215263,1.0214687610,1.0214687610,3
0,300.019687,5676844,5676379,465,7288,4,0,18663.379787,1.0214687610,1.0214687610,3
0,302.019860,5714077,5713612,465,7294,4,0,18614.892427,1.0214687610,1.0214687610,3
0,304.020042,5751594,5751129,465,7310,4,0,18756.794351,1.0214687610,1.0214687610,3
0,306.020220,5788987,5788522,465,7319,4,0,18694.837861,1.0214687610,1.0214687610,3
0,308.020344,5826728,5826259,469,7341,4,0,18869.328120,1.0214687610,1.0214687610,3
0,310.020470,5864442,5863973,469,7361,4,0,18855.808662,1.0214687610,1.0214687610,3
0,312.020582,5902229,5901760,469,7381,4,0,18892.444829,1.0214687610,1.0214687610,3
0,314.020678,5939636,5939167,469,7392,4,0,18702.606109,1.0214687610,1.0214687610,3
0,316.020799,5977105,5976636,469,7403,4,0,18733.360974,1.0214687610,1.0214687610,3
