phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	38	1	0	0	7	0	0	1.4521207809448242	0	3.1115881829391885	-3	3	2169	-0.99903254003799935	0.96271797823595606
0	2	37	2	1	0	37	0	0	1.4521207809448242	0	3.4140304482217623	-3	3	1983	-0.9989417949280992	0.96271797823595606
0	3	36	3	2	0	153	0	0	1.4521207809448242	0	3.1509278980881921	-3	3	1779	-0.9988204493212034	0.96271797823595606
0	4	35	4	3	0	525	0	0	1.4521207809448242	0	3.1519619630063676	-3	3	1609	-0.99869582308416449	0.96271797823595606
0	5	34	5	4	0	1499	0	0	1.4521207809448242	0	3.1908200273400267	-3	3	1429	-0.9985315460758718	0.96271797823595606
0	6	33	57732	5	-1	3713	0	0.15910124852624047	1.4521207809448242	0	3.0210963515663649	-3	3	239	-0.99540409766703219	0.96271797823595606
0	7	32	57733	57732	0	8675	0.15910124852624047	0.17470086821013003	1.4521207809448242	0.30876958079724415	2.8111242762732167	-2	3	198	-0.99445242092131658	0.96271797823595606
0	8	31	57734	57733	0	17629	0.17470086821013003	0.21388223038897333	1.4521207809448242	0.45188482911890576	2.5802087093069139	-2	3	171	-0.99357648738257709	0.96271797823595606
0	9	30	57735	57734	0	30317	0.21388223038897333	0.23602207035553527	1.4521207809448242	0.30055340342165116	2.247690820917251	-1	2	120	-1	0
0	10	29	57736	57735	0	50090	0.23602207035553527	0.2393684657484163	1.4521207809448242	0.11793362310563955	2.2481921555115125	-2	2	96	-1	0
0	11	28	57737	57736	0	74290	0.2393684657484163	0.25349671917117061	1.4521207809448242	-0.22752593392002005	2.1080102763363433	-2	1	68	-1	0
0	12	27	57738	57737	0	115746	0.25349671917117061	0.25677815571029478	1.4521207809448242	0.11997671221908524	2.2930126338519026	-2	2	49	-1	0
0	13	26	57739	57738	0	164150	0.25677815571029478	0.27101105880750942	1.4521207809448242	-0.2357012701523222	2.1600379422524236	-2	1	33	-1	0
0	14	25	57740	57739	0	216062	0.27101105880750942	0.2894215030840146	1.4521207809448242	-0.25795321240414731	2.066112325033183	-2	1	24	-1	0
0	15	24	2692346	57740	-1	247499	0.2894215030840146	0.38392101061979955	1.4521207809448242	-0.47718878227634648	1.8338500700158507	-2	1	12	-1	0
0	16	23	2699668	2692346	0	259337	0.38392101061979955	0.48519446584800552	1.4521207809448242	-0.51081889451496632	1.6589961542960061	-2	1	7	-1	0
0	17	22	2699669	2699668	0	265711	0.48519446584800552	0.4988240676531725	1.4521207809448242	0.18820340992480977	1.5851946348697634	-1	1	5	-1	0
0	18	21	2699670	2699669	1	256472	0.4988240676531725	0.5340258285162286	1.4521207809448242	0.70873035974893051	1.5157482416523804	0	2	3	-1	0
0	19	20	2699671	2699670	0	244719	0.5340258285162286	0.5340408415943253	1.4521207809448242	0.0060733453271840637	1.5018857736950963	-1	1	3	-1	0
0	20	19	2699672	2699671	0	213537	0.5340408415943253	0.54250739168481543	1.4521207809448242	-0.13443181045056943	1.3998743479920581	-1	1	2	-1	0
0	21	18	2699673	2699672	1	169993	0.54250739168481543	0.55483931707618417	1.4521207809448242	0.84944634603002334	1.2930171295249659	0	2	1	-1	0
0	22	17	2699674	2699673	0	130273	0.55483931707618417	0.57313400223357336	1.4521207809448242	-0.17905810520334139	1.2539951667236457	-1	1	1	-1	0
0	23	16	2707362	2699674	0	90662	0.57313400223357336	0.85556785099554133	1.4521207809448242	0.64414452758288043	1.1363604778986882	0	1	0	0	0
0	24	15	2707363	2707362	1	61703	0.85556785099554133	0.93457578637011607	1.4521207809448242	0.66390369561702811	0.92353396487290718	0	1	0	0	0
0	25	14	2707364	2707363	-1	37485	0.93457578637011607	0.93461107232692253	1.4521207809448242	-0.99372422717667774	0.76004677650614938	-1	-1	0	0	0
0	26	13	2707365	2707364	0	21992	0.93461107232692253	0.93462312070760789	1.4521207809448242	-0.0035781919994328708	0.74158092541022513	0	0	0	0	0
0	27	12	2707366	2707365	-1	13171	0.93462312070760789	0.99579048938069303	1.4521207809448242	-0.74441735621940763	0.74340530237779157	-1	-1	0	0	0
0	28	11	2707367	2707366	1	7607	0.99579048938069303	1.0322287913717763	1.4521207809448242	1.1865561833095231	0.6601919613189281	1	1	0	0	0
0	29	10	2707368	2707367	2	4317	1.0322287913717763	1.0351798435625126	1.4521207809448242	2.0521581020605173	0.62216006231922694	2	2	0	0	0
0	30	9	-1	-1	-1	0	1.0351798435625126	1.117394254960044	1.4521207809448242	-0.72704240716646595	0.61469329063833988	-1	-1	0	0	0
0	31	8	-1	-1	0	0	1.117394254960044	1.130379938456092	1.4521207809448242	-0.10623133436133279	0.53934330857483981	0	0	0	0	0
0	32	7	-1	-1	-1	0	1.130379938456092	1.1507155603229691	1.4521207809448242	-0.86068641744775021	0.55413786747480553	-1	-1	0	0	0
0	33	6	-1	-1	0	0	1.1507155603229691	1.150870588260217	1.4521207809448242	0.011604802264464788	0.51169143298165076	0	0	0	0	0
0	34	5	-1	-1	0	0	1.150870588260217	1.1585944133883406	1.4521207809448242	-0.074037544987961473	0.46238044643175169	0	0	0	0	0
0	35	4	-1	-1	0	0	1.1585944133883406	1.2804088731039109	1.4521207809448242	0.28504704150117782	0.44247697482156817	0	0	0	0	0
0	36	3	-1	-1	1	0	1.2804088731039109	1.2912438504103416	1.4521207809448242	0.91727139713747552	0.32933803784753879	1	1	0	0	0
0	37	2	-1	-1	0	0	1.2912438504103416	1.3479100415442224	1.4521207809448242	0.18552011342622068	0.3125905724698021	0	0	0	0	0
0	38	1	-1	-1	0	0	1.3479100415442224	1.3521517061754174	1.4521207809448242	0.050264866531485916	0.24914524814050742	0	0	0	0	0
0	39	0	-1	-1	-1	0	1.3521517061754174	1.3603229522705078	1.4521207809448242	-0.92681498225157599	0.25598285212836319	-1	-1	0	0	0
