phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000232,38535,38499,36,39,1,0,19264.765037,1.0971305675,1.0971305675,0
0,4.000361,76203,76154,49,53,1,0,18832.786745,1.0971305675,1.0971305675,0
0,6.000485,113524,113475,49,54,1,0,18659.342850,1.0971305675,1.0971305675,0
0,8.000599,150850,150801,49,56,1,0,18661.937632,1.0971305675,1.0971305675,0
0,10.000689,188134,188085,49,57,1,0,18641.161623,1.0971305675,1.0971305675,0
0,12.000768,226318,226264,54,87,1,0,19091.239376,1.0971305675,1.0971305675,0
0,14.000851,264762,264708,54,129,1,0,19221.203445,1.0971305675,1.0971305675,0
0,16.000927,303007,302941,66,163,1,0,19121.779568,1.0971305675,1.0971305675,0
0,18.001040,340824,340752,72,184,1,0,18907.424583,1.0971305675,1.0971305675,0
0,20.001143,378168,378096,72,188,1,0,18671.040803,1.0971305675,1.0971305675,0
0,22.001219,415427,415355,72,190,1,0,18628.790327,1.0971305675,1.0971305675,0
0,24.001326,453027,452955,72,202,1,0,18798.995354,1.0971305675,1.0971305675,0
0,26.001412,490488,490416,72,208,1,0,18729.695204,1.0971305675,1.0971305675,0
0,28.001502,528221,528147,74,223,1,0,18865.653875,1.0971305675,1.0971305675,0
0,30.001583,566384,566308,76,255,1,0,19080.726305,1.0971305675,1.0971305675,0
0,32.001653,603713,603637,76,258,1,0,18663.850321,1.0971305675,1.0971305675,0
0,34.001726,641295,641219,76,270,1,0,18790.307042,1.0971305675,1.0971305675,0
0,36.001838,679200,679124,76,294,1,0,18951.445011,1.0971305675,1.0971305675,0
0,38.001946,716961,716885,76,313,1,0,18879.475647,1.0971305675,1.0971305675,0
0,40.002064,754437,754359,78,322,1,0,18736.899938,1.0971305675,1.0971305675,0
0,42.002180,792140,792046,94,337,1,0,18850.399316,1.0971305675,1.0971305675,0
0,44.002290,829733,829636,97,348,1,0,18795.471418,1.0971305675,1.0971305675,0
0,46.002391,867108,867006,102,359,1,0,18686.554853,1.0971305675,1.0971305675,0
0,48.002480,904800,904695,105,378,1,0,18845.159958,1.0971305675,1.0971305675,0
0,50.002567,942115,942010,105,384,1,0,18656.685151,1.0971305675,1.0971305675,0
0,52.002682,979886,979778,108,406,1,0,18884.422474,1.0971305675,1.0971305675,0
0,54.002803,1016503,1016395,108,411,1,0,18307.391963,1.0971305675,1.0971305675,0
0,56.002930,1053825,1053716,109,417,1,0,18659.813245,1.0971305675,1.0971305675,0
0,58.003047,1091372,1091262,110,430,1,0,18772.396803,1.0971305675,1.0971305675,0
0,60.003155,1129139,1129021,118,451,1,0,18882.481668,1.0971305675,1.0971305675,0
0,62.003235,1166677,1166555,122,462,1,0,18768.253136,1.0971305675,1.0971305675,0
0,64.003318,1204694,1204566,128,496,1,0,19007.710268,1.0971305675,1.0971305675,0
0,66.003402,1242422,1242294,128,521,1,0,18863.208311,1.0971305675,1.0971305675,0
0,68.003509,1280824,1280693,131,566,1,0,19199.968366,1.0971305675,1.0971305675,0
0,70.003626,1318400,1318262,138,583,1,0,18786.902291,1.0971305675,1.0971305675,0
0,72.003707,1356372,1356223,149,616,1,0,18985.231487,1.0971305675,1.0971305675,0
0,74.003799,1395269,1395101,168,682,1,0,19447.607442,1.0971305675,1.0971305675,0
