phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	41	0
0	3	36	167	0
0	4	35	581	0
0	5	34	1665	0
0	6	33	4154	0
0	7	32	10916	0
0	8	31	24452	0
0	9	30	50612	0
0	10	29	93295	0
0	11	28	165348	0
0	12	27	268870	0
0	13	26	382358	0
0	14	25	565105	0
0	15	24	765165	0
0	16	23	912148	0
0	17	22	980883	0
0	18	21	1005932	0
0	19	20	913179	0
0	20	19	762149	0
0	21	18	613733	0
0	22	17	458894	0
0	23	16	346462	0
0	24	15	242884	0
0	25	14	168297	0
0	26	13	113998	0
0	27	12	69478	0
0	28	11	47019	0
0	29	10	31131	0
0	30	9	0	474
0	31	8	0	282
0	32	7	0	165
0	33	6	0	85
0	34	5	0	38
0	35	4	0	21
0	36	3	0	9
0	37	2	0	0
0	38	1	0	0
0	39	0	0	6
1	0	-1	1	0
1	1	38	7	0
1	2	37	35	0
1	3	36	133	0
1	4	35	463	0
1	5	34	1397	0
1	6	33	3883	0
1	7	32	9051	0
1	8	31	18053	0
1	9	30	35547	0
1	10	29	58867	0
1	11	28	98722	0
1	12	27	144083	0
1	13	26	205922	0
1	14	25	247664	0
1	15	24	315333	0
1	16	23	374356	0
1	17	22	402849	0
1	18	21	443544	0
1	19	20	433810	0
1	20	19	375333	0
1	21	18	306044	0
1	22	17	233958	0
1	23	16	166237	0
1	24	15	113626	0
1	25	14	75102	0
1	26	13	50364	0
1	27	12	31482	0
1	28	11	17313	0
1	29	10	9623	0
1	30	9	0	105
1	31	8	0	75
1	32	7	0	48
1	33	6	0	30
1	34	5	0	20
1	35	4	0	8
1	36	3	0	0
1	37	2	0	0
1	38	1	0	0
1	39	0	0	6
2	0	-1	1	0
2	1	38	5	0
2	2	37	27	0
2	3	36	107	0
2	4	35	357	0
2	5	34	1085	0
2	6	33	2971	0
2	7	32	6897	0
2	8	31	13795	0
2	9	30	25817	0
2	10	29	43603	0
2	11	28	71929	0
2	12	27	109149	0
2	13	26	146903	0
2	14	25	205387	0
2	15	24	272291	0
2	16	23	320727	0
2	17	22	368285	0
2	18	21	373437	0
2	19	20	335431	0
2	20	19	299515	0
2	21	18	256581	0
2	22	17	187547	0
2	23	16	131847	0
2	24	15	90505	0
2	25	14	62563	0
2	26	13	41285	0
2	27	12	24691	0
2	28	11	13601	0
2	29	10	7555	0
2	30	9	0	39
2	31	8	0	22
2	32	7	0	15
2	33	6	0	1
2	34	5	0	0
2	35	4	0	0
2	36	3	0	0
2	37	2	0	0
2	38	1	0	0
2	39	0	0	2
