phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000252,38108,38044,64,27,0,0,19051.098028,1.1269470920,1.1269470920,0
0,4.000423,75807,75740,67,43,0,0,18847.890418,1.1269470920,1.1269470920,0
0,6.000560,113189,113122,67,49,0,0,18689.714961,1.1269470920,1.1269470920,0
0,8.000726,150766,150699,67,59,0,0,18786.942018,1.1269470920,1.1269470920,0
0,10.000893,188422,188353,69,71,0,0,18826.434704,1.1269470920,1.1269470920,0
0,12.001150,226321,226239,82,92,0,0,18947.061977,1.1269470920,1.1269470920,0
0,14.001229,263537,263455,82,93,0,0,18607.262166,1.1269470920,1.1269470920,0
0,16.001316,300839,300757,82,95,0,0,18650.192754,1.1269470920,1.1269470920,0
0,18.001431,338403,338315,88,105,0,0,18780.916613,1.1269470920,1.1269470920,0
0,20.001547,375973,375882,91,116,0,0,18783.914346,1.1269470920,1.1269470920,0
0,22.001665,413368,413277,91,122,0,0,18696.390818,1.1269470920,1.1269470920,0
0,24.001778,450918,450827,91,134,0,0,18773.939920,1.1269470920,1.1269470920,0
0,26.001914,489059,488963,96,166,1,0,19069.204200,1.0947823907,1.0947823907,1
0,28.002027,527070,526967,103,198,1,0,19004.425490,1.0947823907,1.0947823907,1
0,30.002136,565093,564985,108,240,1,0,19010.463036,1.0947823907,1.0947823907,1
0,32.002255,603041,602933,108,291,1,0,18972.872177,1.0947823907,1.0947823907,1
0,34.002371,640965,640856,109,326,2,0,18960.904041,1.0947823907,1.0947823907,1
0,36.002500,679193,679080,113,363,2,0,19112.771049,1.0947823907,1.0947823907,1
0,38.002624,717283,717164,119,397,2,0,19043.816998,1.0947823907,1.0947823907,1
0,40.002738,755494,755370,124,454,2,0,19104.409855,1.0947823907,1.0947823907,1
0,42.002855,793152,793028,124,482,2,0,18827.900837,1.0947823907,1.0947823907,1
0,44.002973,831433,831309,124,540,2,0,19139.363237,1.0947823907,1.0947823907,1
0,46.003085,868766,868642,124,558,2,0,18665.456685,1.0947823907,1.0947823907,1
0,48.003202,906531,906402,129,608,2,0,18881.393399,1.0947823907,1.0947823907,1
0,50.003323,945258,945124,134,671,2,0,19362.335017,1.0947823907,1.0947823907,1
0,52.003458,983433,983292,141,749,2,0,19086.211423,1.0947823907,1.0947823907,1
0,54.003589,1020521,1020376,145,795,2,0,18542.786931,1.0947823907,1.0947823907,1
0,56.003699,1058071,1057926,145,816,2,0,18773.964653,1.0947823907,1.0947823907,1
0,58.003808,1096099,1095950,149,853,2,0,19012.963984,1.0947823907,1.0947823907,1
0,60.003922,1134189,1134035,154,902,2,0,19043.909660,1.0947823907,1.0947823907,1
0,62.004021,1172249,1172093,156,961,2,0,19029.062676,1.0947823907,1.0947823907,1
0,64.004133,1209771,1209615,156,997,2,0,18759.947117,1.0947823907,1.0947823907,1
0,66.004267,1247860,1247704,156,1047,2,0,19043.225323,1.0947823907,1.0947823907,1
0,68.004452,1285408,1285248,160,1083,2,0,18772.265527,1.0947823907,1.0947823907,1
0,70.004626,1323387,1323227,160,1159,2,0,18987.845247,1.0947823907,1.0947823907,1
0,72.004815,1361162,1361002,160,1181,2,0,18885.721588,1.0947823907,1.0947823907,1
0,74.004983,1399363,1399195,168,1218,2,0,19098.892656,1.0947823907,1.0947823907,1
0,76.005147,1437185,1437013,172,1240,2,0,18909.445483,1.0947823907,1.0947823907,1
0,78.005307,1474538,1474366,172,1249,2,0,18675.011051,1.0947823907,1.0947823907,1
0,80.005480,1512766,1512590,176,1288,2,0,19112.345110,1.0947823907,1.0947823907,1
0,82.005671,1550837,1550661,176,1323,2,0,19033.684986,1.0947823907,1.0947823907,1
0,84.005837,1588518,1588341,177,1347,2,0,18838.934485,1.0947823907,1.0947823907,1
0,86.006033,1626557,1626379,178,1380,2,0,19017.632640,1.0947823907,1.0947823907,1
0,88.006195,1664091,1663913,178,1396,2,0,18765.478748,1.0947823907,1.0947823907,1
0,90.006357,1701822,1701631,191,1424,2,0,18863.975470,1.0947823907,1.0947823907,1
0,92.006481,1740223,1740028,195,1476,2,0,19199.312023,1.0947823907,1.0947823907,1
0,94.006597,1778801,1778605,196,1534,2,0,19287.880580,1.0947823907,1.0947823907,1
0,96.006717,1816735,1816533,202,1573,2,0,18965.855999,1.0947823907,1.0947823907,1
0,98.006834,1855534,1855331,203,1636,2,0,19398.366098,1.0947823907,1.0947823907,1
0,100.006930,1893539,1893334,205,1676,2,0,19001.588275,1.0947823907,1.0947823907,1
0,102.007098,1931532,1931327,205,1719,2,0,18994.907866,1.0947823907,1.0947823907,1
0,104.007269,1969933,1969728,205,1779,2,0,19198.854466,1.0947823907,1.0947823907,1
0,106.007434,2006472,2006265,207,1810,2,0,18267.998060,1.0947823907,1.0947823907,1
0,108.007601,2044861,2044654,207,1867,2,0,19192.898535,1.0947823907,1.0947823907,1
0,110.007761,2083399,2083184,215,1937,2,0,19267.450830,1.0947823907,1.0947823907,1
0,112.007910,2121876,2121654,222,2009,2,0,19237.073273,1.0947823907,1.0947823907,1
0,114.008050,2159736,2159514,222,2065,2,0,18928.671501,1.0947823907,1.0947823907,1
0,116.008198,2197817,2197593,224,2125,2,0,19039.088947,1.0947823907,1.0947823907,1
0,118.008371,2236232,2236008,224,2199,2,0,19205.845849,1.0947823907,1.0947823907,1
0,120.008508,2274125,2273901,224,2251,2,0,18945.201126,1.0947823907,1.0947823907,1
0,122.008628,2312194,2311970,224,2300,2,0,19033.356133,1.0947823907,1.0947823907,1
0,124.008742,2351610,2351378,232,2417,2,0,19706.879782,1.0947823907,1.0947823907,1
0,126.008860,2389852,2389618,234,2492,2,0,19119.872597,1.0947823907,1.0947823907,1
0,128.009000,2428124,2427885,239,2560,2,0,19134.652997,1.0947823907,1.0947823907,1
0,130.009110,2466391,2466149,242,2620,2,0,19132.455224,1.0947823907,1.0947823907,1
0,132.009224,2504309,2504067,242,2696,2,0,18957.915588,1.0947823907,1.0947823907,1
0,134.009346,2542329,2542085,244,2759,2,0,19008.839948,1.0947823907,1.0947823907,1
0,136.009482,2580613,2580369,244,2847,2,0,19140.701495,1.0947823907,1.0947823907,1
0,138.009614,2619200,2618952,248,2941,2,0,19292.222816,1.0947823907,1.0947823907,1
