phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	38	7	0
0	2	37	43	0
0	3	36	221	0
0	4	35	780	0
0	5	34	1882	0
0	6	33	4629	0
0	7	32	10575	0
0	8	31	21593	0
0	9	30	40174	0
0	10	29	68916	0
0	11	28	109729	0
0	12	27	179366	0
0	13	26	278671	0
0	14	25	389395	0
0	15	24	507753	0
0	16	23	632548	0
0	17	22	700886	0
0	18	21	824831	0
0	19	20	893799	0
0	20	19	893919	0
0	21	18	848969	0
0	22	17	745733	0
0	23	16	598643	0
0	24	15	465442	0
0	25	14	312957	0
0	26	13	195668	0
0	27	12	134347	0
0	28	11	82500	0
0	29	10	53047	0
0	30	9	0	1071
0	31	8	0	937
0	32	7	0	536
0	33	6	0	253
0	34	5	0	100
0	35	4	0	44
0	36	3	0	19
0	37	2	0	7
0	38	1	0	4
0	39	0	0	8
1	0	-1	1	0
1	1	38	5	0
1	2	37	27	0
1	3	36	101	0
1	4	35	341	0
1	5	34	1031	0
1	6	33	2783	0
1	7	32	6801	0
1	8	31	16269	0
1	9	30	35629	0
1	10	29	69089	0
1	11	28	118723	0
1	12	27	199653	0
1	13	26	310905	0
1	14	25	417459	0
1	15	24	491187	0
1	16	23	596239	0
1	17	22	630891	0
1	18	21	630995	0
1	19	20	604457	0
1	20	19	545717	0
1	21	18	498551	0
1	22	17	450509	0
1	23	16	361467	0
1	24	15	268875	0
1	25	14	189283	0
1	26	13	123363	0
1	27	12	81897	0
1	28	11	50147	0
1	29	10	28289	0
1	30	9	0	315
1	31	8	0	205
1	32	7	0	85
1	33	6	0	30
1	34	5	0	16
1	35	4	0	8
1	36	3	0	2
1	37	2	0	0
1	38	1	0	0
1	39	0	0	2
