phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	38	1	0	0	7	0	0	0.74146270751953125	0	3.4951270685799876	-3	3	26567	-0.99979402329249689	4.6408018502508872
0	2	37	2	1	0	43	0	0	0.74146270751953125	0	3.3241267887889179	-3	3	26441	-0.99979304174621864	4.6408018502508872
0	3	36	3	2	0	221	0	0	0.74146270751953125	0	3.3141607300742866	-3	3	26313	-0.99979203499455649	4.6408018502508872
0	4	35	4	3	0	774	0	0	0.74146270751953125	0	3.4456077470958406	-3	3	11139	-1	0
0	5	34	5	4	0	1734	0	0	0.74146270751953125	0	3.1262511095130221	-3	3	6685	-1	0
0	6	33	6	5	0	3807	0	0	0.74146270751953125	0	3.0023728031078738	-3	3	3771	-1	0
0	7	32	7	6	0	7917	0	0	0.74146270751953125	0	2.9156870850090923	-2	2	1909	-1	0
0	8	31	8	7	0	15159	0	0	0.74146270751953125	0	2.7455850944135718	-2	2	751	-1	0
0	9	30	9	8	0	26751	0	0	0.74146270751953125	0	2.5996008831569948	-2	2	296	-1	0
0	10	29	10	9	0	43721	0	0	0.74146270751953125	0	2.4943419570873426	-2	2	118	-1	0
0	11	28	3781319	10	-1	67403	0	0.1287514678227499	0.74146270751953125	0	2.3997641543099557	-2	2	36	-1	0
0	12	27	4850383	3781319	-1	107853	0.1287514678227499	0.19670594053500245	0.74146270751953125	-0.2269810580658343	2.3211811553203989	-2	2	12	-1	0
0	13	26	5640589	4850383	0	166152	0.19670594053500245	0.24238001144343121	0.74146270751953125	0.61497164616487199	2.1238387907029366	-1	2	5	-1	0
0	14	25	5640590	5640589	0	233149	0.24238001144343121	0.24301578600397108	0.74146270751953125	-0.066553169914961643	1.8646762045092293	-1	1	3	-1	0
0	15	24	5640591	5640590	0	308349	0.24301578600397108	0.24633758557510305	0.74146270751953125	-0.14451045334945034	1.7701986702297128	-1	1	2	-1	0
0	16	23	5640592	5640591	0	393141	0.24633758557510305	0.26689026999617943	0.74146270751953125	0.349238037369619	1.7141338970522477	-1	2	1	-1	0
0	17	22	6276834	5640592	-1	448816	0.26689026999617943	0.37015967009538453	0.74146270751953125	-0.2933756551361637	1.5147955633090191	-1	1	0	0	0
0	18	21	6276835	6276834	0	545765	0.37015967009538453	0.3893448641718284	0.74146270751953125	-0.32824603992304152	1.444044736436211	-1	1	0	0	0
0	19	20	6276836	6276835	0	612303	0.3893448641718284	0.39896946321402876	0.74146270751953125	-0.21742728290879926	1.3151240876669688	-1	1	0	0	0
0	20	19	6276837	6276836	0	633379	0.39896946321402876	0.39939520461699579	0.74146270751953125	0.042807829826630922	1.2141609830685047	-1	1	0	0	0
0	21	18	6276838	6276837	-1	621113	0.39939520461699579	0.39951477413275188	0.74146270751953125	-0.97811671461532557	1.1704643690733731	-2	0	0	0	0
0	22	17	6276839	6276838	1	562026	0.39951477413275188	0.40063707411095112	0.74146270751953125	0.93700606296208455	1.0995735044987516	0	2	0	0	0
0	23	16	6276840	6276839	1	463504	0.40063707411095112	0.40868538739603288	0.74146270751953125	0.84312387144197398	1.0208702591774808	0	1	0	0	0
0	24	15	6276841	6276840	-1	369394	0.40868538739603288	0.40920017784540791	0.74146270751953125	-0.96091427060827594	0.99375617514239156	-1	0	0	0	0
0	25	14	6276842	6276841	0	253516	0.40920017784540791	0.46810226060158827	0.74146270751953125	0.36669684858218421	0.87092856609718861	0	1	0	0	0
0	26	13	6276843	6276842	-1	161562	0.46810226060158827	0.47191120609015097	0.74146270751953125	-0.91203695315916256	0.74518777775322698	-1	-1	0	0	0
0	27	12	6276844	6276843	2	112963	0.47191120609015097	0.47396285388294729	0.74146270751953125	2.0723396686822353	0.82917459878895061	2	2	0	0	0
0	28	11	6276845	6276844	0	70471	0.47396285388294729	0.47605899528737311	0.74146270751953125	-0.066309819997036779	0.74908195468878358	0	0	0	0	0
0	29	10	6276846	6276845	-1	45870	0.47605899528737311	0.4842557358037306	0.74146270751953125	-0.85986081918026225	0.7974298300752114	-1	-1	0	0	0
0	30	9	-1	-1	0	0	0.4842557358037306	0.48723496099578278	0.74146270751953125	-0.079633919757277516	0.73992516060784419	0	0	0	0	0
0	31	8	-1	-1	0	0	0.48723496099578278	0.48791907334657514	0.74146270751953125	-0.035013328145411665	0.67496484320780015	0	0	0	0	0
0	32	7	-1	-1	-1	0	0.48791907334657514	0.5098898832696086	0.74146270751953125	-1.177582982967404	0.60326019324531399	-1	-1	0	0	0
0	33	6	-1	-1	1	0	0.5098898832696086	0.62108446595794686	0.74146270751953125	1.369203365202988	0.53280419109732635	1	1	0	0	0
0	34	5	-1	-1	2	0	0.62108446595794686	0.62418412764377995	0.74146270751953125	2.0593058942342082	0.36958531664254857	2	2	0	0	0
0	35	4	-1	-1	0	0	0.62418412764377995	0.62564885298751705	0.74146270751953125	0.039899899720604731	0.35702863981707428	0	0	0	0	0
0	36	3	-1	-1	0	0	0.62564885298751705	0.66841059754455301	0.74146270751953125	-0.20820606198867816	0.34264620064500839	0	0	0	0	0
0	37	2	-1	-1	1	0	0.66841059754455301	0.67029153412925302	0.74146270751953125	0.95538930882771333	0.27801501847001509	1	1	0	0	0
0	38	1	-1	-1	1	0	0.67029153412925302	0.67354793257687084	0.74146270751953125	0.94853102000466494	0.24061841132986975	1	1	0	0	0
0	39	0	-1	-1	1	0	0.67354793257687084	0.67365169525146484	0.74146270751953125	0.99021489306607569	0.25033820288273556	1	1	0	0	0
