phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	39	1	0	0	7	0	0	1.5818829536437988	0	3.3092765042186905	-3	3	5460	-0.99979656759087343	1.1119700699903787
0	2	38	181	1	-1	35	0	0.16481496306353519	1.5818829536437988	0	3.0980530794866423	-3	3	5302	-0.9997905052897339	1.1119700699903787
0	3	37	182	181	0	141	0.16481496306353519	0.21061705405718142	1.5818829536437988	0.49119960953182679	2.7321887850905449	-2	3	505	-1	0
0	4	36	117361	182	-1	472	0.21061705405718142	0.26059304520481863	1.5818829536437988	-0.46020058041912243	2.827564648861725	-3	2	210	-1	0
0	5	35	117362	117361	0	1206	0.26059304520481863	0.26059670949062069	1.5818829536437988	0.004889941782572591	2.9363517403720412	-2	2	80	-1	0
0	6	34	117363	117362	0	2722	0.26059670949062069	0.27293411806512202	1.5818829536437988	-0.26964987749101366	2.7905300937897288	-3	2	30	-1	0
0	7	33	117364	117363	0	6270	0.27293411806512202	0.29040118299573464	1.5818829536437988	-0.32291981168516953	2.7954135037153756	-3	2	11	-1	0
0	8	32	5149018	117364	-1	13040	0.29040118299573464	0.45422247164130541	1.5818829536437988	-0.069338481084806475	2.6130681010776278	-2	2	3	-1	0
0	9	31	5149019	5149018	0	26598	0.45422247164130541	0.47230014427269146	1.5818829536437988	0.31528229131640684	2.4901040804515584	-2	2	1	-1	0
0	10	30	5854751	5149019	0	48947	0.47230014427269146	0.65810955063065757	1.5818829536437988	0.95195635230153708	2.3262856845061308	-1	3	0	0	0
0	11	29	5854752	5854751	0	86248	0.65810955063065757	0.65909380689048125	1.5818829536437988	-0.068331829709177741	2.093397417819669	-2	2	0	0	0
0	12	28	5854753	5854752	-1	148571	0.65909380689048125	0.68980958756337185	1.5818829536437988	-0.61194924118267291	2.1269584060564464	-2	1	0	0	0
