phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	7	0
0	2	38	41	0
0	3	37	183	0
0	4	36	725	0
0	5	35	2868	0
0	6	34	8117	0
0	7	33	19394	0
0	8	32	42259	0
0	9	31	85316	0
0	10	30	150253	0
0	11	29	242138	0
0	12	28	373002	0
0	13	27	492940	0
0	14	26	653811	0
0	15	25	764387	0
0	16	24	866710	0
0	17	23	908525	0
0	18	22	928185	0
0	19	21	807526	0
0	20	20	734391	0
0	21	19	621311	0
0	22	18	464338	0
0	23	17	327457	0
0	24	16	210397	0
0	25	15	135554	0
0	26	14	77104	0
0	27	13	43437	0
0	28	12	23547	0
0	29	11	11066	0
0	30	10	4939	0
0	31	9	0	19
0	32	8	0	22
0	33	7	0	16
0	34	6	0	9
0	35	5	0	5
0	36	4	0	2
0	37	3	0	1
0	38	2	0	0
0	39	1	0	0
0	40	0	0	1
