phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000301,38064,38045,19,26,0,0,19028.639016,1.1189466783,1.1189466783,0
0,4.000434,75494,75471,23,29,0,0,18713.752775,1.1189466783,1.1189466783,0
0,6.000553,113045,113022,23,37,0,0,18774.386238,1.1189466783,1.1189466783,0
0,8.000672,150597,150574,23,47,0,0,18774.881205,1.1189466783,1.1189466783,0
0,10.000770,187824,187801,23,47,0,0,18612.585405,1.1189466783,1.1189466783,0
0,12.000881,225097,225074,23,48,0,0,18635.464325,1.1189466783,1.1189466783,0
0,14.001009,262567,262544,23,56,0,0,18733.807940,1.1189466783,1.1189466783,0
0,16.001128,299924,299901,23,61,0,0,18677.383812,1.1189466783,1.1189466783,0
0,18.001242,337210,337187,23,62,0,0,18641.939274,1.1189466783,1.1189466783,0
0,20.001359,374966,374943,23,77,0,0,18876.890067,1.1189466783,1.1189466783,0
0,22.001467,412614,412591,23,91,0,0,18822.986373,1.1189466783,1.1189466783,0
0,24.001560,450086,450063,23,98,0,0,18735.126194,1.1189466783,1.1189466783,0
0,26.001677,487451,487428,23,103,0,0,18681.411612,1.1189466783,1.1189466783,0
0,28.001788,524761,524738,23,106,0,0,18653.967279,1.1189466783,1.1189466783,0
0,30.001873,562241,562218,23,112,0,0,18739.200220,1.1189466783,1.1189466783,0
0,32.001969,599541,599518,23,113,0,0,18649.103733,1.1189466783,1.1189466783,0
0,34.002060,636959,636936,23,119,0,0,18708.150294,1.1189466783,1.1189466783,0
0,36.002178,674778,674755,23,137,0,0,18908.380321,1.1189466783,1.1189466783,0
0,38.002300,712067,712044,23,140,0,0,18643.367220,1.1189466783,1.1189466783,0
0,40.002523,749372,749349,23,141,0,0,18650.422940,1.1189466783,1.1189466783,0
0,42.002644,786847,786824,23,146,0,0,18736.362234,1.1189466783,1.1189466783,0
0,44.002779,824178,824155,23,149,0,0,18664.241508,1.1189466783,1.1189466783,0
0,46.002992,861865,861840,25,165,0,0,18841.491987,1.1189466783,1.1189466783,0
0,48.003310,899163,899138,25,170,0,0,18646.036185,1.1189466783,1.1189466783,0
0,50.003429,936590,936565,25,176,0,0,18712.384658,1.1189466783,1.1189466783,0
0,52.003538,974328,974303,25,191,0,0,18867.976988,1.1189466783,1.1189466783,0
0,54.003638,1010896,1010871,25,192,0,0,18283.085361,1.1189466783,1.1189466783,0
0,56.003756,1048544,1048519,25,205,0,0,18822.882410,1.1189466783,1.1189466783,0
0,58.003877,1086224,1086199,25,219,0,0,18838.865514,1.1189466783,1.1189466783,0
0,60.003987,1123590,1123565,25,222,0,0,18681.969493,1.1189466783,1.1189466783,0
0,62.004075,1160873,1160848,25,223,0,0,18640.679363,1.1189466783,1.1189466783,0
0,64.004191,1198377,1198352,25,231,0,0,18750.912719,1.1189466783,1.1189466783,0
0,66.004303,1235894,1235867,27,242,0,0,18757.453456,1.1189466783,1.1189466783,0
0,68.004489,1273277,1273242,35,246,0,0,18689.757722,1.1189466783,1.1189466783,0
0,70.004607,1310827,1310792,35,255,0,0,18773.899577,1.1189466783,1.1189466783,0
0,72.004751,1348148,1348113,35,257,0,0,18659.152688,1.1189466783,1.1189466783,0
0,74.004899,1385442,1385407,35,258,0,0,18645.619991,1.1189466783,1.1189466783,0
0,76.005014,1422867,1422832,35,264,0,0,18711.426656,1.1189466783,1.1189466783,0
0,78.005232,1460220,1460185,35,268,0,0,18674.459843,1.1189466783,1.1189466783,0
0,80.005346,1497437,1497402,35,269,0,0,18607.444874,1.1189466783,1.1189466783,0
0,82.005459,1534904,1534869,35,276,0,0,18732.438367,1.1189466783,1.1189466783,0
0,84.005567,1572178,1572143,35,277,0,0,18635.992529,1.1189466783,1.1189466783,0
0,86.005681,1609360,1609325,35,278,0,0,18589.939556,1.1189466783,1.1189466783,0
0,88.005798,1646879,1646844,35,285,0,0,18758.403459,1.1189466783,1.1189466783,0
0,90.005906,1684254,1684219,35,291,0,0,18686.492013,1.1189466783,1.1189466783,0
0,92.005997,1721679,1721644,35,297,0,0,18711.652624,1.1189466783,1.1189466783,0
0,94.006084,1759111,1759076,35,303,0,0,18715.178516,1.1189466783,1.1189466783,0
0,96.006212,1796827,1796792,35,320,0,0,18856.798992,1.1189466783,1.1189466783,0
0,98.006326,1834392,1834356,36,334,0,0,18781.425045,1.1189466783,1.1189466783,0
0,100.006442,1871650,1871614,36,336,0,0,18627.916433,1.1189466783,1.1189466783,0
0,102.006556,1908958,1908922,36,339,0,0,18652.937538,1.1189466783,1.1189466783,0
0,104.006677,1946232,1946196,36,340,0,0,18635.872427,1.1189466783,1.1189466783,0
0,106.006784,1983630,1983593,37,348,0,0,18698.000900,1.1189466783,1.1189466783,0
0,108.006879,2019782,2019745,37,356,0,0,18075.142154,1.1189466783,1.1189466783,0
0,110.007063,2057419,2057382,37,369,0,0,18816.771755,1.1189466783,1.1189466783,0
0,112.007179,2094639,2094602,37,370,0,0,18608.921604,1.1189466783,1.1189466783,0
0,114.007300,2132293,2132256,37,385,0,0,18825.862993,1.1189466783,1.1189466783,0
0,116.007415,2169979,2169942,37,400,0,0,18841.908648,1.1189466783,1.1189466783,0
0,118.007526,2207658,2207621,37,414,0,0,18838.454767,1.1189466783,1.1189466783,0
0,120.007637,2245386,2245347,39,430,0,0,18862.955256,1.1189466783,1.1189466783,0
0,122.007778,2282813,2282774,39,435,0,0,18712.185506,1.1189466783,1.1189466783,0
0,124.007898,2320096,2320057,39,436,0,0,18640.374942,1.1189466783,1.1189466783,0
0,126.007998,2357573,2357534,39,446,0,0,18737.562616,1.1189466783,1.1189466783,0
0,128.008228,2394764,2394725,39,447,0,0,18593.368382,1.1189466783,1.1189466783,0
0,130.008349,2432605,2432566,39,467,0,0,18919.349581,1.1189466783,1.1189466783,0
0,132.008472,2469907,2469868,39,471,0,0,18649.854806,1.1189466783,1.1189466783,0
0,134.008585,2507755,2507716,39,492,0,0,18922.928858,1.1189466783,1.1189466783,0
0,136.008712,2545205,2545166,39,501,0,0,18723.816149,1.1189466783,1.1189466783,0
0,138.008920,2582508,2582469,39,507,0,0,18649.554152,1.1189466783,1.1189466783,0
0,140.009025,2619915,2619876,39,516,0,0,18702.523027,1.1189466783,1.1189466783,0
0,142.009114,2657148,2657109,39,518,0,0,18615.675121,1.1189466783,1.1189466783,0
0,144.009232,2694711,2694672,39,528,0,0,18780.391459,1.1189466783,1.1189466783,0
0,146.009329,2732305,2732266,39,541,0,0,18796.082779,1.1189466783,1.1189466783,0
0,148.009448,2769525,2769486,39,542,0,0,18608.897079,1.1189466783,1.1189466783,0
0,150.009592,2807028,2806989,39,551,0,0,18750.152380,1.1189466783,1.1189466783,0
0,152.009730,2844588,2844549,39,563,0,0,18778.695538,1.1189466783,1.1189466783,0
0,154.009838,2882069,2882030,39,573,0,0,18739.490213,1.1189466783,1.1189466783,0
0,156.009937,2919418,2919379,39,578,0,0,18673.574892,1.1189466783,1.1189466783,0
0,158.010055,2957047,2957008,39,595,0,0,18813.396039,1.1189466783,1.1189466783,0
0,160.010260,2994402,2994363,39,602,0,0,18675.581205,1.1189466783,1.1189466783,0
0,162.010378,3031787,3031748,39,609,0,0,18691.393890,1.1189466783,1.1189466783,0
0,164.010491,3069057,3069018,39,610,0,0,18633.952912,1.1189466783,1.1189466783,0
0,166.010607,3106347,3106308,39,615,0,0,18643.915064,1.1189466783,1.1189466783,0
0,168.010720,3143557,3143518,39,619,0,0,18603.953695,1.1189466783,1.1189466783,0
0,170.010836,3180978,3180939,39,625,0,0,18709.416977,1.1189466783,1.1189466783,0
0,172.010957,3218302,3218263,39,629,0,0,18660.867659,1.1189466783,1.1189466783,0
0,174.011129,3255761,3255722,39,639,0,0,18727.891845,1.1189466783,1.1189466783,0
0,176.011215,3293344,3293305,39,650,0,0,18790.686636,1.1189466783,1.1189466783,0
0,178.011343,3330680,3330641,39,654,0,0,18666.804904,1.1189466783,1.1189466783,0
0,180.011589,3367946,3367907,39,656,0,0,18630.710025,1.1189466783,1.1189466783,0
0,182.011701,3405273,3405234,39,657,0,0,18662.453410,1.1189466783,1.1189466783,0
0,184.011816,3443132,3443093,39,677,0,0,18928.413291,1.1189466783,1.1189466783,0
0,186.011932,3480457,3480418,39,681,0,0,18661.421752,1.1189466783,1.1189466783,0
0,188.012212,3517973,3517934,39,689,0,0,18755.372419,1.1189466783,1.1189466783,0
0,190.012304,3555574,3555535,39,702,0,0,18799.629455,1.1189466783,1.1189466783,0
0,192.012430,3593201,3593162,39,718,0,0,18812.317138,1.1189466783,1.1189466783,0
0,194.012543,3630812,3630773,39,731,0,0,18804.440708,1.1189466783,1.1189466783,0
0,196.012666,3668092,3668053,39,732,0,0,18638.848799,1.1189466783,1.1189466783,0
0,198.012779,3705425,3705376,49,735,0,0,18665.452700,1.1189466783,1.1189466783,0
0,200.012898,3742873,3742824,49,743,0,0,18722.880091,1.1189466783,1.1189466783,0
0,202.013035,3780319,3780270,49,753,0,0,18721.715952,1.1189466783,1.1189466783,0
0,204.013157,3817643,3817594,49,756,0,0,18660.862546,1.1189466783,1.1189466783,0
0,206.013245,3854930,3854881,49,761,0,0,18642.686750,1.1189466783,1.1189466783,0
0,208.013345,3892286,3892237,49,766,0,0,18677.061627,1.1189466783,1.1189466783,0
0,210.013457,3929850,3929801,49,778,0,0,18780.948718,1.1189466783,1.1189466783,0
0,212.013566,3967724,3967675,49,801,0,0,18935.966305,1.1189466783,1.1189466783,0
0,214.013695,4003138,4003083,55,820,0,0,17705.859327,1.1189466783,1.1189466783,0
0,216.013821,4040690,4040635,55,833,0,0,18774.819468,1.1189466783,1.1189466783,0
0,218.013934,4078330,4078274,56,847,0,0,18818.938941,1.1189466783,1.1189466783,0
0,220.014148,4115655,4115598,57,850,0,0,18660.497962,1.1189466783,1.1189466783,0
0,222.014252,4153041,4152984,57,858,0,0,18692.030856,1.1189466783,1.1189466783,0
0,224.014341,4190627,4190570,57,872,0,0,18792.165111,1.1189466783,1.1189466783,0
0,226.014457,4228124,4228065,59,882,0,0,18747.412303,1.1189466783,1.1189466783,0
0,228.014571,4265357,4265296,61,885,0,0,18615.437766,1.1189466783,1.1189466783,0
0,230.014685,4302800,4302739,61,892,0,0,18720.428452,1.1189466783,1.1189466783,0
0,232.014799,4340626,4340565,61,916,0,0,18911.920252,1.1189466783,1.1189466783,0
0,234.014918,4377938,4377877,61,919,0,0,18654.892356,1.1189466783,1.1189466783,0
0,236.015031,4415207,4415146,61,921,0,0,18633.451626,1.1189466783,1.1189466783,0
0,238.015245,4452539,4452478,61,930,0,0,18664.004221,1.1189466783,1.1189466783,0
0,240.015508,4489767,4489706,61,937,0,0,18611.546672,1.1189466783,1.1189466783,0
0,242.015685,4527269,4527208,61,947,0,0,18749.344602,1.1189466783,1.1189466783,0
0,244.015797,4564756,4564695,61,960,0,0,18742.449917,1.1189466783,1.1189466783,0
0,246.015911,4602161,4602099,62,967,0,0,18701.435879,1.1189466783,1.1189466783,0
0,248.016027,4639482,4639419,63,972,0,0,18659.419256,1.1189466783,1.1189466783,0
0,250.016139,4677333,4677270,63,994,0,0,18924.431905,1.1189466783,1.1189466783,0
0,252.016259,4714806,4714743,63,1007,0,0,18735.382781,1.1189466783,1.1189466783,0
0,254.016381,4752360,4752297,63,1020,0,0,18775.853105,1.1189466783,1.1189466783,0
0,256.016504,4789770,4789707,63,1031,0,0,18703.844205,1.1189466783,1.1189466783,0
0,258.016642,4827278,4827212,66,1040,0,0,18752.711932,1.1189466783,1.1189466783,0
0,260.016767,4864639,4864573,66,1045,0,0,18679.330851,1.1189466783,1.1189466783,0
0,262.017057,4902072,4902006,66,1051,0,0,18713.782272,1.1189466783,1.1189466783,0
0,264.017178,4939754,4939688,66,1070,0,0,18839.865407,1.1189466783,1.1189466783,0
0,266.017295,4977021,4976955,66,1074,0,0,18632.404405,1.1189466783,1.1189466783,0
0,268.017413,5014507,5014439,68,1087,0,0,18741.894462,1.1189466783,1.1189466783,0
0,270.017529,5051877,5051809,68,1093,0,0,18683.924301,1.1189466783,1.1189466783,0
0,272.017642,5089197,5089129,68,1098,0,0,18658.939752,1.1189466783,1.1189466783,0
0,274.017758,5126762,5126694,68,1111,0,0,18781.413148,1.1189466783,1.1189466783,0
0,276.017869,5163968,5163900,68,1118,0,0,18601.968874,1.1189466783,1.1189466783,0
0,278.017979,5201295,5201227,68,1121,0,0,18662.471315,1.1189466783,1.1189466783,0
0,280.018095,5238649,5238581,68,1127,0,0,18675.913435,1.1189466783,1.1189466783,0
0,282.018338,5276170,5276102,68,1140,0,0,18758.225115,1.1189466783,1.1189466783,0
0,284.018461,5313845,5313777,68,1156,0,0,18836.344626,1.1189466783,1.1189466783,0
0,286.018583,5351140,5351072,68,1162,0,0,18646.363187,1.1189466783,1.1189466783,0
0,288.018726,5388579,5388511,68,1172,0,0,18718.158526,1.1189466783,1.1189466783,0
0,290.018865,5425999,5425931,68,1180,0,0,18708.701251,1.1189466783,1.1189466783,0
0,292.019067,5463171,5463103,68,1185,0,0,18584.120932,1.1189466783,1.1189466783,0
0,294.019190,5500421,5500353,68,1187,0,0,18623.851020,1.1189466783,1.1189466783,0
0,296.019321,5538044,5537976,68,1203,0,0,18810.269084,1.1189466783,1.1189466783,0
0,298.019438,5575614,5575546,68,1217,0,0,18783.905387,1.1189466783,1.1189466783,0
0,300.019553,5613249,5613181,68,1234,0,0,18816.416184,1.1189466783,1.1189466783,0
0,302.019670,5650505,5650437,68,1241,0,0,18626.907727,1.1189466783,1.1189466783,0
0,304.019804,5687822,5687754,68,1251,0,0,18657.251597,1.1189466783,1.1189466783,0
0,306.019926,5725078,5725010,68,1257,0,0,18626.863948,1.1189466783,1.1189466783,0
0,308.020041,5762331,5762263,68,1260,0,0,18625.427594,1.1189466783,1.1189466783,0
0,310.020167,5799659,5799591,68,1267,0,0,18662.821965,1.1189466783,1.1189466783,0
0,312.020287,5837117,5837049,68,1281,0,0,18727.877554,1.1189466783,1.1189466783,0
0,314.020400,5874365,5874297,68,1285,0,0,18622.947580,1.1189466783,1.1189466783,0
0,316.020532,5911591,5911523,68,1288,0,0,18611.778518,1.1189466783,1.1189466783,0
0,318.020649,5949018,5948948,70,1295,0,0,18712.403940,1.1189466783,1.1189466783,0
0,320.020771,5986522,5986452,70,1305,0,0,18750.856666,1.1189466783,1.1189466783,0
0,322.020883,6024003,6023933,70,1315,0,0,18739.445203,1.1189466783,1.1189466783,0
0,324.021002,6061437,6061365,72,1326,0,0,18715.887032,1.1189466783,1.1189466783,0
0,326.021133,6098988,6098916,72,1338,0,0,18774.270708,1.1189466783,1.1189466783,0
0,328.021250,6136614,6136539,75,1356,0,0,18811.903106,1.1189466783,1.1189466783,0
0,330.021366,6173772,6173697,75,1360,0,0,18577.920112,1.1189466783,1.1189466783,0
0,332.021479,6211043,6210968,75,1366,0,0,18634.444089,1.1189466783,1.1189466783,0
0,334.021591,6248716,6248641,75,1384,0,0,18835.453493,1.1189466783,1.1189466783,0
0,336.021702,6286189,6286114,75,1393,0,0,18735.457025,1.1189466783,1.1189466783,0
