phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	7	0
0	2	38	39	0
0	3	37	153	0
0	4	36	541	0
0	5	35	1519	0
0	6	34	4071	0
0	7	33	9476	0
0	8	32	19298	0
0	9	31	37181	0
0	10	30	71384	0
0	11	29	123519	0
0	12	28	187939	0
0	13	27	270379	0
0	14	26	366817	0
0	15	25	440874	0
0	16	24	509558	0
0	17	23	540994	0
0	18	22	535006	0
0	19	21	490354	0
0	20	20	412501	0
0	21	19	309125	0
0	22	18	233302	0
0	23	17	166325	0
0	24	16	109041	0
0	25	15	64413	0
0	26	14	35719	0
0	27	13	19995	0
0	28	12	11279	0
0	29	11	5643	0
0	30	10	2878	0
0	31	9	0	55
0	32	8	0	47
0	33	7	0	58
0	34	6	0	41
0	35	5	0	25
0	36	4	0	21
0	37	3	0	16
0	38	2	0	6
0	39	1	0	4
0	40	0	0	4
1	0	-1	1	0
1	1	39	5	0
1	2	38	19	0
1	3	37	73	0
1	4	36	239	0
1	5	35	707	0
1	6	34	1757	0
1	7	33	4155	0
1	8	32	8513	0
1	9	31	16739	0
1	10	30	29903	0
1	11	29	47179	0
1	12	28	66665	0
1	13	27	91509	0
1	14	26	115389	0
1	15	25	134667	0
1	16	24	152581	0
1	17	23	166495	0
1	18	22	159219	0
1	19	21	157625	0
1	20	20	144749	0
1	21	19	118575	0
1	22	18	93789	0
1	23	17	67443	0
1	24	16	48245	0
1	25	15	33447	0
1	26	14	20967	0
1	27	13	12485	0
1	28	12	6793	0
1	29	11	3687	0
1	30	10	1835	0
1	31	9	0	9
1	32	8	0	10
1	33	7	0	7
1	34	6	0	1
1	35	5	0	0
1	36	4	0	0
1	37	3	0	0
1	38	2	0	0
1	39	1	0	0
1	40	0	0	2
