phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	39	7	0
0	2	38	33	0
0	3	37	130	0
0	4	36	425	0
0	5	35	1291	0
0	6	34	3768	0
0	7	33	9323	0
0	8	32	19997	0
0	9	31	39992	0
0	10	30	71338	0
0	11	29	127046	0
0	12	28	213310	0
0	13	27	334096	0
0	14	26	468615	0
0	15	25	588540	0
0	16	24	727587	0
0	17	23	800604	0
0	18	22	887366	0
0	19	21	896647	0
0	20	20	868991	0
0	21	19	768542	0
0	22	18	652674	0
0	23	17	503542	0
0	24	16	382195	0
0	25	15	265945	0
0	26	14	166319	0
0	27	13	101688	0
0	28	12	56892	0
0	29	11	29176	0
0	30	10	13841	0
0	31	9	0	20
0	32	8	0	19
0	33	7	0	15
0	34	6	0	14
0	35	5	0	6
0	36	4	0	1
0	37	3	0	1
0	38	2	0	0
0	39	1	0	0
0	40	0	0	4
