phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000306,38268,38239,29,36,2,0,19130.574294,1.0804978269,1.0804978269,2
0,4.000398,76111,76082,29,65,2,0,18920.630540,1.0804978269,1.0804978269,2
0,6.000520,113687,113657,30,83,3,0,18786.855618,1.0804978269,1.0804978269,2
0,8.000643,151565,151535,30,107,3,0,18937.831195,1.0804978269,1.0804978269,2
0,10.000758,189442,189412,30,139,3,0,18937.414924,1.0804978269,1.0804978269,2
0,12.000869,226971,226941,30,153,3,0,18763.454256,1.0804978269,1.0804978269,2
0,14.000981,264477,264447,30,170,3,0,18751.947013,1.0804978269,1.0804978269,2
0,16.001102,302057,302027,30,194,3,0,18788.866120,1.0804978269,1.0804978269,2
0,18.001241,339591,339561,30,217,3,0,18765.698740,1.0804978269,1.0804978269,2
0,20.001357,377133,377103,30,232,3,0,18769.910332,1.0804978269,1.0804978269,2
0,22.001476,414482,414452,30,247,3,0,18673.384881,1.0804978269,1.0804978269,2
0,24.001583,451945,451915,30,263,3,0,18730.503996,1.0804978269,1.0804978269,2
0,26.001689,489259,489229,30,277,3,0,18656.010616,1.0804978269,1.0804978269,2
0,28.001776,526401,526371,30,287,3,0,18570.191500,1.0804978269,1.0804978269,2
0,30.001869,563689,563659,30,293,3,0,18643.134064,1.0804978269,1.0804978269,2
0,32.001968,601035,601005,30,300,3,0,18672.072904,1.0804978269,1.0804978269,2
0,34.002066,638324,638294,30,312,3,0,18643.589456,1.0804978269,1.0804978269,2
0,36.002291,675579,675549,30,320,3,0,18625.399558,1.0804978269,1.0804978269,2
0,38.002399,712743,712713,30,325,3,0,18580.994870,1.0804978269,1.0804978269,2
0,40.002520,750079,750049,30,333,3,0,18666.876450,1.0804978269,1.0804978269,2
0,42.002653,787484,787454,30,342,3,0,18701.255899,1.0804978269,1.0804978269,2
0,44.002773,824753,824723,30,350,3,0,18633.381457,1.0804978269,1.0804978269,2
0,46.002984,861888,861858,30,358,3,0,18565.541790,1.0804978269,1.0804978269,2
0,48.003104,899199,899169,30,367,3,0,18654.380868,1.0804978269,1.0804978269,2
0,50.003234,936613,936583,30,379,3,0,18705.785012,1.0804978269,1.0804978269,2
0,52.003339,974107,974077,30,385,3,0,18746.016959,1.0804978269,1.0804978269,2
0,54.003428,1010800,1010770,30,394,3,0,18345.678068,1.0804978269,1.0804978269,2
0,56.003697,1048253,1048223,30,409,3,0,18723.983169,1.0804978269,1.0804978269,2
0,58.003813,1086074,1086043,31,428,3,0,18909.407169,1.0804978269,1.0804978269,2
0,60.003938,1123528,1123497,31,436,3,0,18725.823634,1.0804978269,1.0804978269,2
0,62.004086,1161109,1161078,31,447,3,0,18789.109117,1.0804978269,1.0804978269,2
0,64.004175,1198586,1198555,31,456,3,0,18737.669256,1.0804978269,1.0804978269,2
0,66.004290,1236507,1236476,31,477,3,0,18959.412005,1.0804978269,1.0804978269,2
0,68.004463,1274100,1274069,31,490,3,0,18794.876997,1.0804978269,1.0804978269,2
0,70.004638,1311737,1311706,31,500,3,0,18816.847683,1.0804978269,1.0804978269,2
0,72.004755,1349481,1349448,33,517,3,0,18870.892816,1.0804978269,1.0804978269,2
0,74.004866,1387015,1386982,33,527,3,0,18765.960741,1.0804978269,1.0804978269,2
0,76.004959,1424425,1424392,33,534,3,0,18704.137047,1.0804978269,1.0804978269,2
0,78.005052,1462012,1461979,33,548,3,0,18792.624640,1.0804978269,1.0804978269,2
0,80.005146,1499414,1499381,33,555,3,0,18700.117242,1.0804978269,1.0804978269,2
0,82.005268,1536707,1536674,33,558,3,0,18645.364600,1.0804978269,1.0804978269,2
0,84.005395,1573929,1573896,33,562,3,0,18609.815950,1.0804978269,1.0804978269,2
0,86.005498,1611557,1611524,33,575,3,0,18813.033621,1.0804978269,1.0804978269,2
0,88.005659,1649142,1649109,33,588,3,0,18790.985146,1.0804978269,1.0804978269,2
0,90.005811,1686384,1686351,33,589,3,0,18619.588300,1.0804978269,1.0804978269,2
0,92.005980,1723642,1723609,33,590,3,0,18627.419110,1.0804978269,1.0804978269,2
0,94.006166,1761088,1761055,33,598,3,0,18721.265465,1.0804978269,1.0804978269,2
0,96.006284,1798464,1798431,33,607,3,0,18686.890840,1.0804978269,1.0804978269,2
0,98.006446,1836172,1836139,33,625,3,0,18852.477059,1.0804978269,1.0804978269,2
0,100.006600,1873707,1873674,33,635,3,0,18766.058982,1.0804978269,1.0804978269,2
0,102.006726,1911327,1911292,35,650,3,0,18808.815844,1.0804978269,1.0804978269,2
0,104.006823,1949061,1949025,36,668,3,0,18866.077543,1.0804978269,1.0804978269,2
0,106.006924,1986465,1986429,36,675,3,0,18701.059935,1.0804978269,1.0804978269,2
0,108.007012,2022898,2022862,36,694,3,0,18215.700668,1.0804978269,1.0804978269,2
