phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000251,38493,38477,16,37,1,0,19243.582948,1.0878438121,1.0878438121,0
0,4.000469,76332,76316,16,54,1,0,18917.438945,1.0878438121,1.0878438121,0
0,6.000560,114108,114086,22,73,1,0,18887.138964,1.0878438121,1.0878438121,0
0,8.000683,151638,151616,22,82,1,0,18763.851540,1.0878438121,1.0878438121,0
0,10.000796,189351,189323,28,96,1,0,18855.434432,1.0878438121,1.0878438121,0
0,12.000912,227369,227325,44,121,1,0,19007.894767,1.0878438121,1.0878438121,0
0,14.001035,264646,264602,44,121,1,0,18637.349712,1.0878438121,1.0878438121,0
0,16.001149,301929,301885,44,122,1,0,18640.437803,1.0878438121,1.0878438121,0
0,18.001266,339126,339082,44,122,1,0,18597.411428,1.0878438121,1.0878438121,0
0,20.001391,376307,376263,44,122,1,0,18589.346708,1.0878438121,1.0878438121,0
0,22.001508,414308,414258,50,148,1,0,18999.379740,1.0878438121,1.0878438121,0
0,24.001642,451646,451596,50,152,1,0,18667.753265,1.0878438121,1.0878438121,0
0,26.001778,489003,488953,50,153,1,0,18677.233366,1.0878438121,1.0878438121,0
0,28.001889,526337,526287,50,156,1,0,18665.959569,1.0878438121,1.0878438121,0
0,30.001984,563804,563753,51,162,1,0,18732.614182,1.0878438121,1.0878438121,0
0,32.002100,601018,600967,51,162,1,0,18605.920075,1.0878438121,1.0878438121,0
0,34.002222,638305,638254,51,163,1,0,18642.363273,1.0878438121,1.0878438121,0
0,36.002343,675522,675471,51,163,1,0,18607.372217,1.0878438121,1.0878438121,0
0,38.002459,713288,713236,52,180,1,0,18881.906483,1.0878438121,1.0878438121,0
0,40.002581,750588,750536,52,181,1,0,18648.859967,1.0878438121,1.0878438121,0
0,42.002702,788532,788471,61,203,1,0,18970.855185,1.0878438121,1.0878438121,0
0,44.002824,826138,826071,67,216,1,0,18801.849722,1.0878438121,1.0878438121,0
0,46.002940,863733,863664,69,228,1,0,18796.414159,1.0878438121,1.0878438121,0
0,48.003056,901149,901080,69,233,1,0,18706.913287,1.0878438121,1.0878438121,0
