phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000229,38761,38660,101,46,0,0,19377.780343,1.2290514217,1.2290514217,0
0,4.000325,76038,75937,101,47,0,0,18637.608023,1.2290514217,1.2290514217,0
0,6.000448,113837,113734,103,64,0,0,18898.335588,1.2290514217,1.2290514217,0
0,8.000557,151110,151000,110,66,0,0,18635.487077,1.2290514217,1.2290514217,0
0,10.000693,188426,188316,110,67,0,0,18656.730923,1.2290514217,1.2290514217,0
0,12.000844,225639,225529,110,67,0,0,18605.097194,1.2290514217,1.2290514217,0
0,14.000976,263491,263358,133,83,0,0,18924.750796,1.2290514217,1.2290514217,0
0,16.001119,302527,302336,191,139,2,0,19516.597723,1.2050637300,1.2050637300,1
0,18.001230,342508,342269,239,275,3,0,19989.389529,1.1096689918,1.1096689918,2
0,20.001361,381641,381401,240,399,3,0,19565.218165,1.1096689918,1.1096689918,2
0,22.001488,420034,419793,241,489,3,0,19195.289478,1.1096689918,1.1096689918,2
0,24.001591,458218,457973,245,540,3,0,19091.011572,1.1096689918,1.1096689918,2
0,26.001706,495813,495566,247,569,3,0,18796.424957,1.1096689918,1.1096689918,2
0,28.001948,533157,532910,247,569,3,0,18669.737181,1.1096689918,1.1096689918,2
0,30.002070,571064,570817,247,596,3,0,18952.342391,1.1096689918,1.1096689918,2
0,32.002201,608394,608147,247,601,3,0,18663.776888,1.1096689918,1.1096689918,2
0,34.002309,646731,646476,255,690,3,0,19167.463261,1.1096689918,1.1096689918,2
0,36.002425,684540,684285,255,735,3,0,18903.407137,1.1096689918,1.1096689918,2
0,38.002539,723419,723163,256,834,3,0,19438.389825,1.1096689918,1.1096689918,2
0,40.002657,762044,761778,266,936,3,0,19311.363159,1.1096689918,1.1096689918,2
0,42.002779,799753,799486,267,967,3,0,18853.346703,1.1096689918,1.1096689918,2
0,44.002886,837941,837674,267,1042,3,0,19092.985074,1.1096689918,1.1096689918,2
0,46.003008,876770,876501,269,1154,3,0,19413.310779,1.1096689918,1.1096689918,2
0,48.003142,914516,914245,271,1187,3,0,18871.736905,1.1096689918,1.1096689918,2
